dataset,outcome,scaling,lag,model,beta,se,p,sig,mean_y,n
hh,owns_plough,raw,3,M3,-0.0020185121330266935,0.004762959399578323,0.6735709312308207,,0.6262130856725451,8172
hh,owns_plough,raw,3,M4,-0.002217512716892843,0.00599896371516176,0.7132366191175203,,0.6262130856725451,8172
hh,owns_plough,raw,5,M2,-0.029185981184267185,0.10272053155265988,0.7775080245744387,,0.6262130856725451,8172
hh,owns_plough,raw,5,M3,-0.11290750145233977,0.15251425773619623,0.4626458759644523,,0.6262130856725451,8172
hh,owns_plough,raw,5,M4,-0.12381291190957769,0.19169168491566033,0.5213601655680897,,0.6262130856725451,8172
hh,owns_powered_machinery,lin,0,M2,-0.04560840704300895,0.020924200767288757,0.03411462118646188,**,0.027131378482729833,8172
hh,owns_powered_machinery,lin,0,M3,-0.04126833073341467,0.018957361252214894,0.034334596048267045,**,0.027131378482729833,8172
hh,owns_powered_machinery,lin,0,M4,-0.047693817018699104,0.02847170759213872,0.1002799727168408,,0.027131378482729833,8172
hh,owns_powered_machinery,lin,1,M2,0.006634267701343802,0.009659152214999819,0.4954229880537603,,0.027131378482729833,8172
hh,owns_powered_machinery,lin,1,M3,0.00667515583226226,0.009520710075145494,0.48654487195025975,,0.027131378482729833,8172
hh,owns_powered_machinery,lin,1,M4,0.012813846020669824,0.011358869768625365,0.2647746025366106,,0.027131378482729833,8172
hh,owns_powered_machinery,lin,2,M2,0.0011097609164002122,0.003234931847583937,0.733024236431276,,0.027131378482729833,8172
hh,owns_powered_machinery,lin,2,M3,0.0011518601052750224,0.0032109425464729273,0.7213384711650592,,0.027131378482729833,8172
hh,owns_powered_machinery,lin,2,M4,0.00322535360939945,0.0035982495305705788,0.37443933409392116,,0.027131378482729833,8172
hh,owns_powered_machinery,lin,3,M2,0.0049239389888756585,0.0030956267724869323,0.1181289576303947,,0.027131378482729833,8172
hh,owns_powered_machinery,lin,3,M3,0.004687525009516574,0.002960933810613002,0.11982702678997474,,0.027131378482729833,8172
hh,owns_powered_machinery,lin,3,M4,0.00644328709680787,0.0042206863032930066,0.13329088139025888,,0.027131378482729833,8172
hh,owns_powered_machinery,lin,5,M2,0.12642253492765398,0.09254826597869503,0.17817063430836913,,0.027131378482729833,8172
hh,owns_powered_machinery,lin,5,M3,0.12247712307352106,0.0896685425877145,0.17821118750707038,,0.027131378482729833,8172
hh,owns_powered_machinery,lin,5,M4,0.1783109903310481,0.12413378545263626,0.157230928513007,,0.027131378482729833,8172
hh,owns_powered_machinery,log,0,M2,-0.03907934289789086,0.023572427859452946,0.10373893550643593,,0.027131378482729833,8172
hh,owns_powered_machinery,log,0,M3,-0.035817512180138504,0.020457170251778727,0.08622969386477669,*,0.027131378482729833,8172
hh,owns_powered_machinery,log,0,M4,-0.0700690082215746,0.03726724010975559,0.06603535284570165,*,0.027131378482729833,8172
hh,owns_powered_machinery,log,1,M2,0.0025623776281032337,0.011073124059363122,0.8179636992277047,,0.027131378482729833,8172
hh,owns_powered_machinery,log,1,M3,0.002862864290071199,0.0102258547759175,0.7806841528626706,,0.027131378482729833,8172
hh,owns_powered_machinery,log,1,M4,0.01863278361224956,0.015578279378450783,0.2374233099880123,,0.027131378482729833,8172
hh,owns_powered_machinery,log,2,M2,-1.964952217704541e-4,0.0037223321064985947,0.9581152884886721,,0.027131378482729833,8172
hh,owns_powered_machinery,log,2,M3,-4.1673458548679475e-5,0.003441076139526189,0.9903865591833885,,0.027131378482729833,8172
hh,owns_powered_machinery,log,2,M4,0.004666202107304754,0.004822666593091499,0.338017515006809,,0.027131378482729833,8172
hh,owns_powered_machinery,log,3,M2,0.0036333907555515027,0.0034684166453155855,0.2999791358182987,,0.027131378482729833,8172
hh,owns_powered_machinery,log,3,M3,0.003464646111590049,0.0031875811497478063,0.2823900471039913,,0.027131378482729833,8172
hh,owns_powered_machinery,log,3,M4,0.009299470218273322,0.005803141673392341,0.11547521613368832,,0.027131378482729833,8172
hh,owns_powered_machinery,log,5,M2,0.08791043885405081,0.10264990972094956,0.39593978857653356,,0.027131378482729833,8172
hh,owns_powered_machinery,log,5,M3,0.08515457964308032,0.0959784371832274,0.37929135731030317,,0.027131378482729833,8172
hh,owns_powered_machinery,log,5,M4,0.2503927982222478,0.16775229375753709,0.1419441840912619,,0.027131378482729833,8172
hh,owns_powered_machinery,raw,0,M2,-0.006798469935447344,0.0028496663760395934,0.020956063193451894,**,0.027131378482729833,8172
hh,owns_powered_machinery,raw,0,M3,-0.00914080020877961,0.004198993388214639,0.034334592279022365,**,0.027131378482729833,8172
hh,owns_powered_machinery,raw,0,M4,-0.010564024393850064,0.006306389959930846,0.10027996750808206,,0.027131378482729833,8172
hh,owns_powered_machinery,raw,1,M2,3.8522126331643966e-4,0.0013810000974675645,0.7814619712926493,,0.027131378482729833,8172
hh,owns_powered_machinery,raw,1,M3,0.001478525172721355,0.002108805970004257,0.4865448399578519,,0.027131378482729833,8172
hh,owns_powered_machinery,raw,1,M4,0.0028382249608851352,0.0025159524214681257,0.2647745911128457,,0.027131378482729833,8172
hh,owns_powered_machinery,raw,2,M2,-6.242002238557027e-5,4.7051417303795246e-4,0.8950028686575413,,0.027131378482729833,8172
hh,owns_powered_machinery,raw,2,M3,2.5513324391110496e-4,7.112132648330533e-4,0.7213384705822536,,0.027131378482729833,8172
hh,owns_powered_machinery,raw,2,M4,7.14405269667133e-4,7.970004937355428e-4,0.37443933279371966,,0.027131378482729833,8172
hh,owns_powered_machinery,raw,3,M2,6.155220235293535e-4,4.3020641202196666e-4,0.1588458409569298,,0.027131378482729833,8172
hh,owns_powered_machinery,raw,3,M3,0.0010382714499083644,6.558371624093434e-4,0.11982703387719082,,0.027131378482729833,8172
hh,owns_powered_machinery,raw,3,M4,0.001427167006596767,9.348682075239543e-4,0.13329088274404885,,0.027131378482729833,8172
hh,owns_powered_machinery,raw,5,M2,0.015503844752168039,0.013184839951650401,0.24532282428884933,,0.027131378482729833,8172
hh,owns_powered_machinery,raw,5,M3,0.027128281955815993,0.019861286807347306,0.17821114596856266,,0.027131378482729833,8172
hh,owns_powered_machinery,raw,5,M4,0.03949530083561339,0.027495226881422,0.1572309230631032,,0.027131378482729833,8172
hh,owns_storage_struct,lin,0,M2,0.8346380115303713,0.3262861153923747,0.013671120668230518,**,0.2385474277366169,8172
hh,owns_storage_struct,lin,0,M3,0.7375990048415726,0.2846864425865551,0.012574856315109363,**,0.2385474277366169,8172
hh,owns_storage_struct,lin,0,M4,0.5103778922379054,0.27488034199794176,0.06936684443070067,*,0.2385474277366169,8172
hh,owns_storage_struct,lin,1,M2,-0.30501846993966986,0.1838845334334021,0.10355471775327983,,0.2385474277366169,8172
hh,owns_storage_struct,lin,1,M3,-0.3068296346317461,0.18552980645121211,0.10456091056518116,,0.2385474277366169,8172
hh,owns_storage_struct,lin,1,M4,-0.13070018987060963,0.16251647961452215,0.4251504462633654,,0.2385474277366169,8172
hh,owns_storage_struct,lin,2,M2,-0.08669922643776057,0.06117774342639216,0.16276069997512563,,0.2385474277366169,8172
hh,owns_storage_struct,lin,2,M3,-0.08778434733269895,0.06134043964776295,0.1587485768739228,,0.2385474277366169,8172
hh,owns_storage_struct,lin,2,M4,-0.031161067332076985,0.055026954458592216,0.5737831040290446,,0.2385474277366169,8172
hh,owns_storage_struct,lin,3,M2,-0.12854494088232324,0.05732609796716468,0.029497590042247845,**,0.2385474277366169,8172
hh,owns_storage_struct,lin,3,M3,-0.12380957852513931,0.05711470684032011,0.03506518823325368,**,0.2385474277366169,8172
hh,owns_storage_struct,lin,3,M4,-0.0699055780202742,0.04874705958063236,0.15791001496301407,,0.2385474277366169,8172
hh,owns_storage_struct,lin,5,M2,-3.6524266820941307,1.7810093893899468,0.04565791874214995,**,0.2385474277366169,8172
hh,owns_storage_struct,lin,5,M3,-3.5856491315983274,1.7880224692228246,0.050462639170260115,*,0.2385474277366169,8172
hh,owns_storage_struct,lin,5,M4,-1.8806336087540492,1.4978223813024591,0.21522332491406004,,0.2385474277366169,8172
hh,owns_storage_struct,log,0,M2,0.8619622537318552,0.28122296901001725,0.0035344786177501897,***,0.2385474277366169,8172
hh,owns_storage_struct,log,0,M3,0.7901890723917616,0.22317494231807708,8.861904602679737e-4,***,0.2385474277366169,8172
hh,owns_storage_struct,log,0,M4,0.6820466086687752,0.3270582126110707,0.04226374392353648,**,0.2385474277366169,8172
hh,owns_storage_struct,log,1,M2,-0.322228491603866,0.14932330542271965,0.03586217292171497,**,0.2385474277366169,8172
hh,owns_storage_struct,log,1,M3,-0.3436135180909484,0.13731159614518176,0.01571988243904824,**,0.2385474277366169,8172
hh,owns_storage_struct,log,1,M4,-0.10690964380530772,0.1942538338330239,0.5845724918038038,,0.2385474277366169,8172
hh,owns_storage_struct,log,2,M2,-0.09192033190394489,0.051066451677557544,0.07801629646242421,*,0.2385474277366169,8172
hh,owns_storage_struct,log,2,M3,-0.09957902723932179,0.04554364128589223,0.03358776746700627,**,0.2385474277366169,8172
hh,owns_storage_struct,log,2,M4,-0.01897738920600682,0.06519055876673001,0.7721986556313982,,0.2385474277366169,8172
hh,owns_storage_struct,log,3,M2,-0.13453571597657765,0.04389074767765716,0.003532583006701933,***,0.2385474277366169,8172
hh,owns_storage_struct,log,3,M3,-0.13446766066203242,0.04225073328691137,0.002534977845901798,***,0.2385474277366169,8172
hh,owns_storage_struct,log,3,M4,-0.07850626304206187,0.058692847649465654,0.18720962135585034,,0.2385474277366169,8172
hh,owns_storage_struct,log,5,M2,-3.819607370591143,1.3414429502274137,0.0064232652337264246,***,0.2385474277366169,8172
hh,owns_storage_struct,log,5,M3,-3.8646779326975946,1.3073367716909268,0.004780040991394274,***,0.2385474277366169,8172
hh,owns_storage_struct,log,5,M4,-2.04236127622624,1.7698257448354069,0.2541018181672266,,0.2385474277366169,8172
hh,owns_storage_struct,raw,0,M2,0.1382105304025707,0.03441410862011617,2.028164819398483e-4,***,0.2385474277366169,8172
hh,owns_storage_struct,raw,0,M3,0.1633757658141447,0.06305711067913017,0.012574850086545386,**,0.2385474277366169,8172
hh,owns_storage_struct,raw,0,M4,0.11304703294274616,0.060885094330387635,0.06936683607487287,*,0.2385474277366169,8172
hh,owns_storage_struct,raw,1,M2,-0.017856140600221504,0.021602570368827016,0.4124850627341341,,0.2385474277366169,8172
hh,owns_storage_struct,raw,1,M3,-0.06796175998574071,0.041094243630307406,0.10456089937971369,,0.2385474277366169,8172
hh,owns_storage_struct,raw,1,M4,-0.02894966434621596,0.035996867233645334,0.42515043126761265,,0.2385474277366169,8172
hh,owns_storage_struct,raw,2,M2,-0.0024938907471647575,0.007256324977983291,0.7325535350941826,,0.2385474277366169,8172
hh,owns_storage_struct,raw,2,M3,-0.01944394566414545,0.013586706618153147,0.1587485759669215,,0.2385474277366169,8172
hh,owns_storage_struct,raw,2,M4,-0.006902074440962429,0.01218829033278465,0.5737831038180432,,0.2385474277366169,8172
hh,owns_storage_struct,raw,3,M2,-0.014504974131258102,0.006405568997592069,0.028007180784404232,**,0.2385474277366169,8172
hh,owns_storage_struct,raw,3,M3,-0.027423416482437568,0.012650720800229439,0.03506519016598849,**,0.2385474277366169,8172
hh,owns_storage_struct,raw,3,M4,-0.015483856768853338,0.010797314282731368,0.15791001903802454,,0.2385474277366169,8172
hh,owns_storage_struct,raw,5,M2,-0.37083601430830626,0.19967611179230807,0.06930012364495167,*,0.2385474277366169,8172
hh,owns_storage_struct,raw,5,M3,-0.7942095486513916,0.39604110791396907,0.05046262924810775,*,0.2385474277366169,8172
