dataset,outcome,scaling,lag,model,beta,se,p,sig,mean_y,n
nec_cs,share_emp_foreign,raw,1,M3,-8.996352533269578e-7,2.4029865918109573e-4,0.9970233690353434,,0.00540126246385556,75
nec_cs,share_emp_foreign,raw,1,M4,9.794556267347225e-5,2.997827422303445e-4,0.7449280557016301,,0.00540126246385556,75
nec_cs,share_emp_foreign,raw,2,M2,-3.66803931113257e-5,1.3063644750263112e-4,0.7796827018720293,,0.00540126246385556,75
nec_cs,share_emp_foreign,raw,2,M3,3.383884825236895e-7,2.4058918597492872e-4,0.9988817208413611,,0.00540126246385556,75
nec_cs,share_emp_foreign,raw,2,M4,9.907474332955193e-5,2.9999411990033715e-4,0.7422689265708302,,0.00540126246385556,75
nec_cs,share_emp_foreign,raw,3,M2,-3.251567249887714e-5,1.3115229689584243e-4,0.8048996758699882,,0.00540126246385556,75
nec_cs,share_emp_foreign,raw,3,M3,5.215079558382987e-6,2.4173031739480776e-4,0.982848324191745,,0.00540126246385556,75
nec_cs,share_emp_foreign,raw,3,M4,1.0321823083864364e-4,3.011781163028024e-4,0.7329187854223647,,0.00540126246385556,75
nec_cs,share_emp_foreign,raw,5,M2,5.9115983050129085e-5,1.2614491502506705e-4,0.6407459977855113,,0.00540126246385556,75
nec_cs,share_emp_foreign,raw,5,M3,2.915385541366908e-5,2.326841542087916e-4,0.9006451455797948,,0.00540126246385556,75
nec_cs,share_emp_foreign,raw,5,M4,-7.304813274848398e-5,2.907405624124605e-4,0.8024145856482783,,0.00540126246385556,75
nec_cs,share_firms_size_large_51p,lin,0,M2,-6.940286284046926e-4,2.851013884126977e-4,0.017400538730554815,**,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,lin,0,M3,-6.437188497560247e-4,2.385179268217684e-4,0.008689569362906562,***,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,lin,0,M4,-3.873926106731362e-4,2.631073834878938e-4,0.14574552224025683,,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,lin,1,M2,-6.95731442205836e-4,2.8501970419476095e-4,0.017107022445055606,**,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,lin,1,M3,-6.455483076859234e-4,2.38390334566706e-4,0.008476475555452726,***,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,lin,1,M4,-3.887179885033954e-4,2.631624242026144e-4,0.14447698550966423,,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,lin,2,M2,-6.942480724493662e-4,2.850755375061194e-4,0.017356680600293405,**,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,lin,2,M3,-6.442964283928998e-4,2.3843100245791657e-4,0.008609401773212741,***,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,lin,2,M4,-3.8754072309855545e-4,2.6317553141595864e-4,0.1456966619218822,,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,lin,3,M2,-6.917217857437704e-4,2.852280809369751e-4,0.017811254634923914,**,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,lin,3,M3,-6.415675312874059e-4,2.3828474744694517e-4,0.008841734183518007,***,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,lin,3,M4,-0.00038336483989083957,2.6360421378395887e-4,0.15066962910894063,,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,lin,5,M2,7.037292900885314e-4,2.814187214314671e-4,0.014673511679852841,**,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,lin,5,M3,6.588937331918227e-4,2.3733967509764376e-4,0.007027677140152757,***,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,lin,5,M4,3.9683987038166844e-4,2.6292417627837015e-4,0.13605987685743615,,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,log,0,M2,-7.389878845046073e-4,2.8246354891632726e-4,0.010826134011593559,**,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,log,0,M3,-7.163688162636191e-4,2.554803686905326e-4,0.0065045129298032375,***,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,log,0,M4,-2.832160588094546e-4,3.4870824532574836e-4,0.41964932851496417,,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,log,1,M2,-7.411264548633098e-4,2.824145259749569e-4,0.010596414011199104,**,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,log,1,M3,-7.187000796768982e-4,2.5544144216758507e-4,0.006333413809580465,***,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,log,1,M4,-2.8565941131204395e-4,3.4898708254133145e-4,0.4160405192358526,,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,log,2,M2,-7.396762203545939e-4,2.8265939384293514e-4,0.01080815715899889,**,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,log,2,M3,-7.174205035617863e-4,0.00025560580848500703,0.00645504120485247,***,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,log,2,M4,-2.842861506748417e-4,3.493935922609645e-4,0.41881277869722144,,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,log,3,M2,-7.358813268671269e-4,2.830301382871528e-4,0.011303995449054947,**,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,log,3,M3,-7.135566127626652e-4,2.5552809784178273e-4,0.006716640805803138,***,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,log,3,M4,-2.771443698870913e-4,3.514255011974604e-4,0.43319578727697616,,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,log,5,M2,7.533826341349686e-4,2.715703588828807e-4,0.007044101182917503,***,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,log,5,M3,7.328294029166941e-4,2.471220035183034e-4,0.004113804470580136,***,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,log,5,M4,3.0052227093361865e-4,3.3199309943800936e-4,0.3686991736029781,,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,raw,0,M2,1.8573676200947991e-6,2.3859364346160084e-5,0.9381661052763333,,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,raw,0,M3,-1.4258161868202902e-4,5.2830940252594676e-5,0.008689569362906619,***,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,raw,0,M4,-8.580619554044077e-5,5.82774244363289e-5,0.14574552224025564,,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,raw,1,M2,1.7510600170903955e-6,2.3851533710658417e-5,0.9416794682736671,,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,raw,1,M3,-1.4298683762668934e-4,5.280267898563805e-5,0.008476475555452678,***,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,raw,1,M4,-8.609976239260879e-5,5.8289615774521844e-5,0.14447698550966248,,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,raw,2,M2,1.8864133367398777e-6,2.382750689009115e-5,0.9371173807366631,,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,raw,2,M3,-1.4270955045999852e-4,5.2811686790457255e-5,0.008609401773212766,***,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,raw,2,M4,-8.583900195798042e-5,5.8292518979384624e-5,0.14569666192188163,,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,raw,3,M2,2.4897094771581305e-6,2.3826105545782812e-5,0.9170670630090807,,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,raw,3,M3,-1.4210510868131645e-4,5.277929178413972e-5,0.008841734183518007,***,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,raw,3,M4,-8.491405749284842e-5,5.838747072105412e-5,0.15066962910893714,,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,raw,5,M2,2.150859426252032e-6,2.3340348355539605e-5,0.9268332089020196,,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,raw,5,M3,1.4594280570398354e-4,5.256996135147311e-5,0.0070276771401526815,***,0.0028506744122114135,75
nec_cs,share_firms_size_large_51p,raw,5,M4,8.789873265017855e-5,5.823684463895611e-5,0.13605987685743337,,0.0028506744122114135,75
nec_cs,share_firms_size_medium_10_50,lin,0,M2,-0.0037342986026620757,0.001544748208370276,0.018164569890631522,**,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,lin,0,M3,-0.0032353764213198894,0.0014490121140227081,0.02871538062607695,**,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,lin,0,M4,-0.0029168379622595327,0.0020507387023412814,0.15971021479824213,,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,lin,1,M2,-0.0037392902805483616,0.0015455360567696343,0.018072765709573252,**,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,lin,1,M3,-0.0032424791455340075,0.0014491052521264393,0.02838830605144991,**,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,lin,1,M4,-0.002925349248473109,0.0020504474073859223,0.1584556892034848,,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,lin,2,M2,-0.003733904397630613,0.0015445411538616454,0.018161398856735088,**,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,lin,2,M3,-0.0032401329538573327,0.001448190109980565,0.02840240679183076,**,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,lin,2,M4,-0.0029253011531620923,0.0020518764932417805,0.15874812832801924,,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,lin,3,M2,-0.003709426395385929,0.0015391548945465998,0.01850713975779761,**,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,lin,3,M3,-0.0032124982041870412,0.0014442035172163713,0.02930141194075414,**,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,lin,3,M4,-0.0028985311115676295,0.0020586245578909502,0.16389772832470204,,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,lin,5,M2,0.0038674005638589235,0.0015716829709713177,0.01626689655902188,**,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,lin,5,M3,0.0034511157544020042,0.0014945142335235997,0.023846728175582255,**,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,lin,5,M4,0.0030682020899220463,0.002026280205641043,0.13482180948326952,,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,log,0,M2,-0.0027416467921111396,0.0014144189724804217,0.05650071214846756,*,0.04218430838931957,75
nec_cs,share_firms_size_medium_10_50,log,0,M3,-0.0024671580270946443,0.0014567085494244353,0.09471452576609268,*,0.04218430838931957,75
