lgcode,n_firms,rev_total,exp_total,wage_bill_total,value_added_total,profit_proxy_total,cap_total,cap_fixed_total,emp_total,log_rev_total,log_exp_total,log_value_added_total,log_profit_proxy_total,log_cap_total,log_emp_total,mean_rev_per_worker,median_rev_per_worker,p90_rev_per_worker,mean_value_added_per_worker,median_value_added_per_worker,mean_profit_per_worker,median_profit_per_worker,mean_capital_per_worker,median_capital_per_worker,mean_revenue_per_capital,median_revenue_per_capital,mean_profit_margin,median_profit_margin,wage_share_of_revenue,value_added_share_of_revenue,capital_intensity_aggregate,share_positive_revenue,share_positive_capital
70106,836,830485512,532703892,144914280,297781620,297781620,901494097,426933570,2156,20.537521043156872,20.093476279913837,19.511870960392955,19.511870960392955,20.61956405371988,7.676473646389156,362519.78746715223,120000,540000,148017.33713699033,30000,148017.33713699033,30000,375827.2953556209,135000,2.8538575313264656,0.8597091531223268,0.17701607909956388,0.3181818181818182,0.17449344739442005,0.358563293034304,418132.69805194804,0.9497607655502392,0.9521531100478469
70107,497,296006220,211981572,58615716,84024648,84024648,1205022445,852775345,1095,19.505891028959375,19.17200990904722,18.246620754238542,18.246620754238542,20.909764031101435,6.999422467507961,278837.6793633088,144000,511640.1599999999,66892.966316097,30000,66892.966316097,30000,443892.60852654505,75000,3.1974165146211098,1.8,0.33358931126136065,0.23076923076923078,0.19802190643156078,0.28386108913522157,1100477.1187214612,0.9839034205231388,0.9839034205231388
70108,530,350315316,259244328,138314784,91070988,91070988,912890162,768886096,1121,19.674344212590036,19.373281530196277,18.327149859263226,18.327149859263226,20.63212612792681,7.022868086082641,289820.3808383981,180000,480000,113462.86318988843,84000,113462.86318988843,84000,691106.924808784,200000,1.2509599772660598,0.96,0.5455657059742705,0.6,0.3948293942135262,0.25996861638787155,814353.4005352363,0.9981132075471698,0.9981132075471698
70109,375,201598644,163868172,87181080,37730472,37730472,1928522639,291214153,851,19.12178937290874,18.914572839378668,17.44597862830506,17.44597862830506,21.38002007523771,6.747586526829315,196252.70847178923,96000,411383.8153846157,56732.499963459006,24000,56732.499963459006,24000,340892.45078152715,63000,3.2625401356337447,1.8,0.3388309212288244,0.3333333333333333,0.43244874206594364,0.18715637789706563,2266184.064629847,1,1
70201,47,27414300,25361196,9768996,2053104,2053104,53976300,28365000,170,17.126575369504533,17.048730886734855,14.534863839359568,14.534863839359568,17.80405563782639,5.14166355650266,178801.28734901463,90000,432000.00000000047,21330.792116973935,12000,21330.792116973935,12000,329811.6576605213,205000,0.508355400486699,0.41727272727272724,0.2033951069763552,0.17857142857142855,0.35634672415491186,0.0748917170965518,317507.64705882355,0.9361702127659575,0.9361702127659575
70202,741,402387840,270779472,163454292,131608368,131608368,1059406065,818020657,1740,19.8129269600905,19.416815294799935,18.695341169058388,18.695341169058388,20.78097427294088,7.462214939768189,202596.26761319247,140000,360000,79543.36977472018,36000,79543.36977472018,36000,420240.78463351564,200000,1.2970602350212794,0.6,0.35374750305205155,0.3333333333333333,0.40621081392519215,0.3270684521679383,608854.0603448276,0.9541160593792173,0.9527665317139001
70203,256,101664708,83269392,30827160,18395316,18395316,212980174,113988300,713,18.437190789980477,18.23759160864538,16.72760667931626,16.72760667931626,19.17670964422457,6.570882962339584,169515.3332017642,90000,349999.99999999994,44069.28533635676,20000,44069.28533635676,20000,261351.5441382251,150000,1.207575334343125,0.43636363636363634,0.28476859245737285,0.2857142857142857,0.3032238089937759,0.18094102035880533,298709.9214586255,0.95703125,0.984375
70204,442,142167576,120621228,49000416,21546348,21546348,313041368,240530568,1094,18.77251703948993,18.608165854958585,16.885716940207253,16.885716940207253,19.561845909099905,6.9985096422506015,137575.65038686804,54000,300000,29437.86758610505,12000,29437.86758610505,12000,239200.33860302524,80000,1.9053535046563772,0.5564349828054298,0.3201045255614094,0.2222222222222222,0.34466660668111837,0.15155599192322164,286143.84643510054,0.9819004524886877,0.9819004524886877
70205,487,184177260,246850344,67284888,-62673084,-62673084,520919279,333480958,1087,19.03140922682538,19.324292820278053,0,0,20.071105654892815,6.992096427415888,158593.01837383184,90000,360000,36242.7854045954,24000,36242.7854045954,24000,347631.92313510523,80000,2.3846305780031636,1.1061675824175823,0.38444359956075913,0.37436142315300436,0.3653267944153366,-0.3402867650436324,479226.5676172953,0.9650924024640657,0.9691991786447639
70206,1212,1767671592,1201216248,256048728,566455344,566455344,1504428827,1109907814,3583,21.292929033342478,20.906600421287983,20.154908809200062,20.154908809200062,21.13167914683365,8.18423477409482,487342.9090726704,180000,900000,123890.64726167146,40000,123890.64726167146,40000,384838.6803295701,130000,1748.6082250291076,1.2668730650154798,-0.4870730269706297,0.2,0.14485084738523082,0.32045281859120356,419879.6614568797,0.948019801980198,0.9488448844884488
