lgcode,n_firms,emp_total,log_n_firms,log_emp_total,mean_emp_per_firm,median_emp_per_firm,p90_emp_per_firm,share_registered,share_tax_registered,share_keeps_accounts,share_operates_year_round,share_borrowed,share_uses_formal_credit,share_female_led,share_has_foreign_capital,formality_index,n_firms_size_1_worker,n_firms_size_2_9_workers,n_firms_size_10_50_workers,n_firms_size_51plus_workers,share_size_1_worker,share_size_2_9_workers,share_size_10_50_workers,share_size_51plus_workers
20408,821,3056,6.71174039505618,8.025189321890835,3.7222898903775885,2,4,0.292326431181486,0.8125,0.2376847290640394,0.9817295980511571,0.4482758620689655,0.33866995073891626,0.13496143958868895,0,0.5810601895741706,371,425,17,8,0.4518879415347138,0.5176613885505481,0.020706455542021926,0.0097442143727162
20409,681,1284,6.525029657843462,7.158513997329321,1.8854625550660793,1,3,0.1776798825256975,0.8842975206611571,0.10866372980910426,0.9823788546255506,0.2341678939617084,0.12223858615611193,0.07207207207207207,0.0014727540500736377,0.5382549969053774,406,262,13,0,0.5961820851688693,0.38472834067547723,0.01908957415565345,0
20410,844,2267,6.739336627357174,7.7266536648476425,2.6860189573459716,1,4,0.1895734597156398,0.43125,0.22274881516587677,0.9395734597156398,0.3341232227488152,0.18246445497630331,0.08669108669108669,0.001184834123222749,0.4457864336492891,433,392,16,3,0.5130331753554502,0.46445497630331756,0.018957345971563982,0.0035545023696682463
20411,625,2656,6.439350371100098,7.884952945759814,4.2496,2,5,0.17307692307692307,0.48148148148148145,0.06260032102728733,0.9776,0.43980738362760835,0.18138041733547353,0.1272430668841762,0,0.423689681396423,294,311,12,8,0.4704,0.4976,0.0192,0.0128
20412,237,461,5.472270673671475,6.135564891081739,1.9451476793248945,1,2,0.16033755274261605,0.6578947368421053,0.06329113924050633,0.9957805907172996,0.29535864978902954,0.24050632911392406,0.08108108108108109,0,0.4693260048856318,140,89,8,0,0.5907172995780591,0.3755274261603376,0.03375527426160337,0
20413,714,1382,6.5722825426940075,7.232010331664759,1.9355742296918768,1,3,0.15266106442577032,0.7431192660550459,0.06629055007052186,0.9901960784313726,0.22566995768688294,0.18758815232722145,0.17982456140350878,0.0014104372355430183,0.48806673974567766,386,318,10,0,0.5406162464985994,0.44537815126050423,0.014005602240896359,0
20414,756,2098,6.6293632534374485,7.649216319820633,2.7751322751322753,2,3.5,0.21296296296296297,0.8260869565217391,0.12032085561497326,0.9854497354497355,0.24598930481283424,0.09759358288770054,0.14148351648351648,0.001336898395721925,0.5362051276373527,369,367,17,3,0.4880952380952381,0.48544973544973546,0.022486772486772486,0.003968253968253968
20415,1393,4261,7.2399325913204695,8.357493812658563,3.0588657573582196,2,5,0.38837042354630297,0.7911275415896488,0.167531504818384,0.9928212491026561,0.25148367952522255,0.21439169139465875,0.08252063015753938,0.002969561989606533,0.584962679764248,575,761,53,4,0.41277817659727206,0.5463029432878679,0.03804737975592247,0.002871500358937545
20501,2025,6392,7.613818684808629,8.762958920766726,3.1565432098765434,2,4,0.42074074074074075,0.8849765258215962,0.6211211211211212,0.9980246913580247,0.28414207103551775,0.22961480740370185,0.26680562793121415,5.005005005005005e-4,0.7312157697603707,861,1087,69,8,0.42518518518518517,0.5367901234567901,0.034074074074074076,0.003950617283950617
20502,1428,5527,7.264730177929867,8.617581365447506,3.8704481792717087,2,5,0.40854940434477927,0.9347079037800687,0.6630824372759857,0.9957983193277311,0.44404591104734575,0.3744619799139168,0.2523844460748349,0.002152080344332855,0.7505345161821412,494,870,56,8,0.34593837535014005,0.6092436974789915,0.0392156862745098,0.0056022408963585435
20503,829,2664,6.721425700790643,7.887959336599945,3.2135102533172497,2,5,0.3309178743961353,0.7883211678832117,0.31985294117647056,0.9963811821471653,0.40441176470588236,0.35049019607843135,0.2902408111533587,0.0012254901960784314,0.6088682914007457,252,537,39,1,0.3039806996381182,0.6477683956574186,0.047044632086851626,0.0012062726176115801
20504,1767,3595,7.477604243197589,8.18757739559151,2.0345217883418223,1,3,0.3001132502831257,0.8905660377358491,0.29111747851002867,0.8545557441992077,0.2361031518624642,0.20573065902578797,0.15823152995927864,0.010315186246418338,0.5840881276820528,1006,733,24,4,0.5693265421618563,0.41482739105829086,0.013582342954159592,0.0022637238256932655
20505,673,1868,6.513230110912307,7.533158807455563,2.775631500742942,1,3,0.2199108469539376,0.8175675675675675,0.6517189835575485,0.9985141158989599,0.19431988041853512,0.15695067264573992,0.2644757433489828,0,0.6719278784945034,460,190,17,6,0.6835066864784547,0.2823179791976226,0.02526002971768202,0.008915304606240713
20506,1554,4228,7.349230824613334,8.34972083747249,2.720720720720721,2,5,0.3940759819703799,0.6209150326797386,0.41241830065359475,0.9967824967824968,0.30894839973873284,0.26649248856956237,0.16306483300589392,6.531678641410843e-4,0.6060479530215525,520,995,37,2,0.33462033462033464,0.6402831402831403,0.023809523809523808,0.001287001287001287
20507,435,1214,6.077642243349034,7.102499355774649,2.7908045977011495,2,3,0.335632183908046,0.45517241379310347,0.6319444444444444,0.9356321839080459,0.2199074074074074,0.2013888888888889,0.097799511002445,0.013888888888888888,0.58959530651341,205,220,8,2,0.47126436781609193,0.5057471264367817,0.01839080459770115,0.004597701149425287
20508,264,508,5.579729825986222,6.2324480165505225,1.9242424242424243,1,2,0.3143939393939394,0.7710843373493976,0.7346153846153847,1,0.05,0.04230769230769231,0.0873015873015873,0,0.7050234153396804,135,124,5,0,0.5113636363636364,0.4696969696969697,0.01893939393939394,0
