lgcode,new_firms_total,log_new_firms_total,first_founded_year_observed,last_founded_year_observed,n_entry_years_observed,new_firms_1980,new_firms_1983,new_firms_1984,new_firms_1986,new_firms_1987,new_firms_1988,new_firms_1989,new_firms_1990,new_firms_1991,new_firms_1992,new_firms_1993,new_firms_1994,new_firms_1995,new_firms_1996,new_firms_1997,new_firms_1998,new_firms_1999,new_firms_2000,new_firms_2001,new_firms_2002,new_firms_2003,new_firms_2004,new_firms_2005,new_firms_2006,new_firms_2007,new_firms_2008,new_firms_2009,new_firms_2010,new_firms_2011,new_firms_2012,new_firms_2013,new_firms_2014,new_firms_2015,new_firms_2016,new_firms_2017,new_firms_2018,new_firms_1981,new_firms_1982,new_firms_1985,new_firms_1990_1999,new_firms_2000_2009,new_firms_2010_2014,new_firms_2015_2018,new_firms_pre_1990,share_new_1990_1999,share_new_2000_2009,share_new_2010_2014,share_new_2015_2018,share_new_pre_1990,new_agriculture,new_manufacturing,new_construction,new_trade_retail,new_transport,new_hospitality,new_finance_prof_info,new_social_services,new_other_services,new_utilities_mining,share_new_agriculture,share_new_manufacturing,share_new_construction,share_new_trade_retail,share_new_transport,share_new_hospitality,share_new_finance_prof_info,share_new_social_services,share_new_other_services,share_new_utilities_mining
50910,606,6.408528791059498,1984,2018,25,0,0,1,0,0,1,1,0,0,0,2,0,2,0,0,2,0,3,12,1,13,1,7,11,8,22,12,17,17,33,48,40,54,87,189,22,0,0,0,6,90,155,352,3,0.009900990099009901,0.1485148514851485,0.25577557755775576,0.5808580858085809,0.0049504950495049506,11,53,0,378,1,70,2,33,56,2,0.018151815181518153,0.08745874587458746,0,0.6237623762376238,0.0016501650165016502,0.11551155115511551,0.0033003300330033004,0.054455445544554455,0.0924092409240924,0.0033003300330033004
51001,372,5.921578419643816,1980,2018,34,1,1,0,0,0,3,1,0,1,2,5,1,3,5,1,3,1,8,9,4,12,2,3,12,0,19,5,10,20,17,42,31,48,78,18,1,1,2,2,22,74,120,145,11,0.05913978494623656,0.1989247311827957,0.3225806451612903,0.3897849462365591,0.02956989247311828,20,31,0,211,1,48,8,37,15,1,0.053763440860215055,0.08333333333333333,0,0.5672043010752689,0.002688172043010753,0.12903225806451613,0.021505376344086023,0.09946236559139784,0.04032258064516129,0.002688172043010753
51002,5119,8.540909718033554,1980,2018,39,4,14,2,6,4,12,5,5,8,4,52,11,20,21,28,44,24,19,64,28,94,35,78,71,99,135,116,125,215,243,413,400,609,963,1105,26,6,5,6,217,739,1396,2703,64,0.042391092010158234,0.14436413361984762,0.27270951357687045,0.5280328189099434,0.012502441883180308,61,602,5,3073,17,728,116,211,294,12,0.011916389919906232,0.11760109396366478,9.767532721234617e-4,0.6003125610470795,0.0033209611252197693,0.142215276421176,0.02266067591326431,0.04121898808361008,0.057433092400859545,0.002344207853096308
51003,3603,8.189799618728228,1980,2018,39,2,7,6,3,6,9,9,4,10,7,21,14,22,26,16,28,21,22,45,13,97,31,51,53,70,138,68,114,217,218,320,310,397,778,433,7,1,3,6,169,588,1179,1615,52,0.04690535664723841,0.16319733555370525,0.32722731057452126,0.4482375797946156,0.014432417429919511,51,392,0,2282,2,449,57,180,185,5,0.014154870940882597,0.10879822370247016,0,0.633361087982237,5.550929780738274e-4,0.12461837357757424,0.01582014987510408,0.04995836802664446,0.05134610047182903,0.0013877324451845685
51004,463,6.139884552226255,1986,2018,29,0,0,0,2,0,2,1,0,3,3,4,2,5,0,1,0,2,6,3,5,9,3,6,10,8,22,14,8,15,21,42,38,51,94,82,1,0,0,0,20,86,124,228,5,0.04319654427645788,0.1857451403887689,0.2678185745140389,0.4924406047516199,0.01079913606911447,11,49,0,303,1,41,9,35,11,3,0.023758099352051837,0.10583153347732181,0,0.6544276457883369,0.0021598272138228943,0.08855291576673865,0.019438444924406047,0.0755939524838013,0.023758099352051837,0.0064794816414686825
51005,500,6.2166061010848646,1980,2018,32,1,1,0,1,2,0,2,3,0,0,5,1,3,3,2,7,3,1,3,2,15,2,5,15,13,15,12,14,28,44,54,42,63,77,54,7,0,0,0,27,83,182,201,7,0.054,0.166,0.364,0.402,0.014,6,68,0,308,1,45,17,42,13,0,0.012,0.136,0,0.616,0.002,0.09,0.034,0.084,0.026,0
51006,349,5.857933154483459,1980,2017,29,3,0,0,0,0,1,1,0,1,0,3,2,5,2,2,0,3,2,5,0,6,3,11,9,8,7,11,8,17,29,27,30,42,63,44,0,3,1,0,18,62,111,149,9,0.05157593123209169,0.17765042979942694,0.31805157593123207,0.4269340974212034,0.025787965616045846,8,32,0,229,2,23,8,31,13,3,0.022922636103151862,0.09169054441260745,0,0.6561604584527221,0.0057306590257879654,0.0659025787965616,0.022922636103151862,0.08882521489971347,0.03724928366762178,0.008595988538681949
51007,1327,7.191429330036379,1980,2018,37,1,0,1,2,2,6,2,7,3,3,4,4,13,5,6,8,5,10,15,14,24,9,21,24,34,57,29,37,73,85,145,110,175,160,219,10,2,0,2,58,237,450,564,18,0.04370761115297664,0.1785983421250942,0.33911077618688773,0.4250188394875659,0.013564431047475508,29,168,0,701,7,221,51,73,71,6,0.02185380557648832,0.12660135644310475,0,0.5282592313489073,0.0052750565184626974,0.16654107008289373,0.03843255463451394,0.055011303692539565,0.053504144687264506,0.00452147701582517
51008,1213,7.101675971619444,1981,2018,32,0,0,0,0,0,4,3,0,2,0,5,2,10,5,5,6,7,11,17,14,18,11,20,16,17,54,37,23,64,64,105,129,128,227,202,4,1,1,1,42,215,385,561,10,0.03462489694971146,0.17724649629018963,0.3173948887056884,0.4624896949711459,0.008244023083264633,36,136,1,722,1,144,39,54,73,7,0.02967848309975268,0.11211871393239901,8.244023083264633e-4,0.5952184666117065,8.244023083264633e-4,0.11871393239901072,0.03215169002473207,0.04451772464962902,0.060181368507831824,0.005770816158285243
51009,842,6.736966958001855,1981,2018,37,0,1,1,1,0,5,1,1,3,4,6,3,4,3,4,7,4,3,5,3,13,7,9,12,13,30,19,25,30,27,76,65,98,126,211,18,1,1,2,39,114,223,453,13,0.04631828978622328,0.13539192399049882,0.2648456057007126,0.5380047505938242,0.015439429928741092,13,101,2,478,1,102,31,48,50,16,0.015439429928741092,0.11995249406175772,0.0023752969121140144,0.5676959619952494,0.0011876484560570072,0.12114014251781473,0.03681710213776722,0.057007125890736345,0.05938242280285035,0.019002375296912115
