hhid,year,any_shock,n_shocks,total_loss_rs,cope_private_transfer,cope_sell_assets,cope_savings,cope_borrow,cope_gov_transfer,cope_remittance,cope_other_mech,primary_savings,primary_borrow,primary_sell_assets,primary_gov_transfer,primary_private_transfer,primary_remittance,primary_none,shock_type_economic_price,shock_type_natural_disaster,shock_type_other_shock,shock_type_agricultural,shock_type_illness,shock_type_death,shock_type_economic_job
27,2017,1,2,29500,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
28,2016,1,8,240100,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0
29,2017,1,1,250000,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
30,2016,1,3,27500,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
31,2016,1,2,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
31,2017,1,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
32,2016,1,1,200000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
32,2017,1,2,40000,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
34,2016,1,1,30000,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
35,2017,1,1,5500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
37,2016,1,1,300000,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
37,2017,1,1,4200,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
38,2018,1,2,12150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
39,2016,1,2,35000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
40,2016,1,2,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
41,2016,1,1,45000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
42,2016,1,1,80000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
42,2018,1,1,20000,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
43,2016,1,2,97800,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
43,2017,1,2,114450,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
44,2017,1,1,350000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
45,2016,1,2,40000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
46,2016,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,2016,1,2,43800,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
48,2016,1,2,6500,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
48,2018,1,1,15000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
49,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
51,2016,1,1,35000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
52,2016,1,1,8000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52,2017,1,2,19500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
52,2018,1,1,40000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
53,2017,1,1,10500,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
54,2016,1,2,10000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
55,2016,1,6,35900,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0
55,2017,1,1,20000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
56,2016,1,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
57,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
57,2018,1,1,30000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
59,2016,1,1,51000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
60,2016,1,1,15000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
61,2016,1,6,195000,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0
62,2016,1,1,15000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
62,2017,1,1,850,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
63,2016,1,2,450000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
64,2016,1,2,850000,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
64,2017,1,1,30000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
65,2016,1,4,139500,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
65,2017,1,1,9500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
66,2016,1,2,15500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
67,2018,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
68,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
69,2018,1,1,80000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
70,2017,1,1,50000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
