dname,year,native_pop,inmig_count,outmig_count,net_internal_mig_count,mig_in_internal_share,mig_out_internal_share,net_internal_mig_share,mig_out_economic_share,mig_out_noneconomic_share,mig_in_economic_share,mig_in_noneconomic_share,mig_in_temp_share,mig_out_temp_share,net_temp_mig_share,mig_out_temp_economic_share,mig_out_temp_noneconomic_share,mig_in_temp_economic_share,mig_in_temp_noneconomic_share
Humla,2021,5964.731613636017,272.9660338163376,831.4573000967503,-558.4912662804127,0.04576333882186885,0.1393955929544172,-0.09363225413254835,0.026468960840180616,0.10172111613752893,0.023156288094595325,0.022189537392841935,0.049766983591886554,0.1355625351174507,-0.08579555152556416,0.02750309073095978,0.09658581989728107,0.025243750337426457,0.024082841384354417
Ilam,2011,46159,5958,7055,-1097,0.12907558655950085,0.15284126605862344,-0.0237656794991226,NA,NA,NA,NA,0.03520288762841617,0.037582801158224585,-0.0023799135298084168,0.00930149537900123,0.025326246479711236,0.009499821506485264,0.02076474554757844
Ilam,2021,26081.105070352554,4127.96482616663,8699.500764250755,-4571.5359380841255,0.1582741534544506,0.3335556810489533,-0.1752815275945027,0.09827281355867798,0.2047011371429954,0.04076795005049395,0.10895725187237473,0.18425508365318857,0.3497281333399207,-0.16547304968673213,0.10056952872813639,0.21808716935184702,0.04679976315186231,0.12767445960695153
Jajarkot,2011,20865,258,2835,-2577,0.012365204888569374,0.13587347232207045,-0.12350826743350107,NA,NA,NA,NA,0.004803348076282875,0.03647691063870262,-0.031673562562419745,0.00789461168973225,0.024634993104104247,0.0011413896418889999,0.0028534741047224997
Jajarkot,2021,19962.749352157116,685.1984604001045,3755.459473580122,-3070.2610131800175,0.03432385230674972,0.18812335952984943,-0.1537995072230997,0.04586759735329528,0.11761154571097053,0.011470738693141386,0.022035874754172673,0.03685000586449168,0.17896599671049124,-0.14211599084599955,0.0401594194872772,0.11682048430923878,0.012321687907296411,0.023715901828077996
Jhapa,2011,86925,27079,10642,16437,0.31152142651711245,0.12242737992522289,0.18909404659188955,NA,NA,NA,NA,0.048459280997798976,0.03598679383712399,0.012472487160674981,0.008758253851797506,0.024119589141599413,0.014398385913426265,0.030126559060895085
Jhapa,2021,72192.38312578201,32686.505583524704,10801.319848954678,21885.185734570026,0.4527694497433954,0.14961855228044424,0.30315089746295115,0.038257562717322516,0.10067904910762838,0.15204132794325334,0.25584780183217254,0.44097865283842685,0.16638627154660612,0.27459238129182073,0.043669791446299774,0.11090863668902674,0.1470241535517563,0.25438396299778915
Jumla,2011,13001,408,2110,-1702,0.03138220136912545,0.16229520806091838,-0.13091300669179293,NA,NA,NA,NA,0.01552442256720939,0.04036349867474442,-0.024839076107535024,0.01113214691404771,0.025596365013252555,0.0036349867474441497,0.006588413479742522
Jumla,2021,12358.178734719753,545.9021087288857,2506.2829128056765,-1960.3808040767908,0.044173346287280826,0.20280358187120132,-0.15863023558392048,0.05287130790089508,0.12818474384957587,0.010859100535466817,0.029201938648141267,0.04604884403258306,0.19746629537384178,-0.15141745134125872,0.053136697747723005,0.1240238497126859,0.011231149736491298,0.030497964049987142
Kailali,2011,72813,20865,3766,17099,0.28655597214783074,0.05172153324269018,0.23483443890514055,NA,NA,NA,NA,0.053969038578201185,0.02371537061585818,0.030253667962343002,0.005853011885770778,0.01484036219021727,0.012638461365627879,0.0355112678904442
Kailali,2021,70643.3036365509,27149.368304669857,5360.649411648512,21788.718893021345,0.3843162324959949,0.07588333409813676,0.3084328983978581,0.01822789132030049,0.053654384765772445,0.09782573103267594,0.24279960741685921,0.39976413994874177,0.09070484998557138,0.3090592899631704,0.02213157933868674,0.06409254932070478,0.10114434113202905,0.25435750408794844
Kalikot,2011,16456,444,2266,-1822,0.026981040350024306,0.13770053475935828,-0.11071949440933399,NA,NA,NA,NA,0.010881913303437967,0.045321375186846036,-0.034439461883408073,0.010343796711509716,0.02852017937219731,0.003467862481315396,0.00585949177877429
Kalikot,2021,15448.191208273172,520.5813276469707,3285.8748009949923,-2765.2934733480215,0.03369852953193491,0.21270288260254475,-0.17900435307060983,0.059111327581157856,0.13398414974495587,0.003350710756218476,0.028240683281686624,0.03567228751443688,0.21456317261162863,-0.17889088509719175,0.059744456467262785,0.1360139035388097,0.0037559350914536534,0.03109047421294725
Kanchanpur,2011,40288,15149,2478,12671,0.37601767275615566,0.06150714853057983,0.31451052422557585,NA,NA,NA,NA,0.04880350267985204,0.026421076470144182,0.02238242620970786,0.006397674945270627,0.016815127953498904,0.013210538235072091,0.03059183211293123
Kanchanpur,2021,38025.026707828045,18088.306860387325,3513.774802029133,14574.532058358192,0.47569478384254665,0.0924068989886013,0.3832878848539453,0.022327017032721146,0.06409482734944376,0.152953031819164,0.2816691538314778,0.47971046157680125,0.1041481931908709,0.3755622683859304,0.024964164215556982,0.07229144216958536,0.15915418991981936,0.2827207342380571
Kapilbastu,2011,90024,7518,2179,5339,0.08351106371634232,0.024204656536034836,0.059306407180307476,NA,NA,NA,NA,0.018977035490605428,0.01010438413361169,0.008872651356993737,0.002171189979123173,0.0068580375782881006,0.0058977035490605425,0.010521920668058455
Kapilbastu,2021,61749.75738096237,9117.77254319191,3265.7524386048317,5852.020104587078,0.14765681566876804,0.05288688696308421,0.09476992870568383,0.010856262929636727,0.03858701942698882,0.04079428152514924,0.09343448446197822,0.1439512793471318,0.057685992158813086,0.08626528718831873,0.013376894366591976,0.04035195838483994,0.03993647355176181,0.0913418085816872
Kaski,2011,43328,15345,7041,8304,0.3541589734121123,0.16250461595273263,0.19165435745937962,NA,NA,NA,NA,0.11147615271326612,0.045145576073411124,0.06633057663985499,0.011838676787130395,0.02671726898531022,0.02683055775839281,0.07299573278954723
Kaski,2021,39698.975146114826,24745.818298459053,6468.487784683704,18277.33051377535,0.6233364515678391,0.16293840737389284,0.46039804419394625,0.03726046312841543,0.11042944493298254,0.18831149318586757,0.3617335594021079,0.6859531125518074,0.19306574602702012,0.4928873665247872,0.0500664271197361,0.12734794568326893,0.20693774505304505,0.39939029315991986
Kathmandu,2011,102076,99813,11446,88367,0.9778302441318234,0.11213213683921784,0.8656981072926055,NA,NA,NA,NA,0.2089901875246507,0.043516714673295966,0.16547347285135475,0.013708781030011115,0.0205870752608493,0.05293477871135068,0.14059568059854904
Kathmandu,2021,94140.70379787683,123566.40061503649,13648.899231895804,109917.50138314068,1.3125714555983943,0.1449840364610024,1.1675874191373918,0.018112041800545802,0.11321005753816156,0.4281514494772823,0.7704898838416383,1.2099988199652951,0.30803931015905645,0.9019595098062387,0.07452379844297936,0.19875651723296417,0.3900941183099417,0.732688053969606
Kavrepalanchok,2011,91945,12051,14797,-2746,0.13106748599706347,0.16093316656696938,-0.029865680569905923,NA,NA,NA,NA,0.038069496529163006,0.036074762626665605,0.001994733902497407,0.011599377643022421,0.02078512726402298,0.009744275113699833,0.02142344211282215
Kavrepalanchok,2021,34989.78622752428,5642.537542581558,16483.388080984354,-10840.850538402796,0.16126241829231086,0.4710914200446844,-0.30982900175237355,0.15459640467648567,0.2729754533023521,0.0388737416395948,0.11454526973917427,0.20500623505213164,0.47793797645571834,-0.2729317414035867,0.15014183348518179,0.29364042958119835,0.05222109897741298,0.14323797439376312
Khotang,2011,24919,620,15566,-14946,0.02488061318672499,0.6246639110718729,-0.5997832978851478,NA,NA,NA,NA,0.008286311802075523,0.13459337884228387,-0.12630706704020833,0.0312512330821134,0.09375369924634021,0.0016572623604151047,0.00481395257072959
Khotang,2021,18281.449491262436,917.9546296596527,17573.61505290866,-16655.660423249006,0.05021235488457228,0.9612812737473533,-0.9110689188627811,0.3148637739912373,0.5315742466833691,0.00794005614830916,0.04086574885408527,0.057362615888513234,0.8631103011302466,-0.8057476852417332,0.2804122148580966,0.49119543717173714,0.008844418190748682,0.046889071077679055
Lalitpur,2011,36085,18292,4797,13495,0.506914230289594,0.13293612304281557,0.37397810724677844,NA,NA,NA,NA,0.13923732540363956,0.025862249492178503,0.11337507591146107,0.006198563441040353,0.015077586748476535,0.0393273721022763,0.08763847297551987
Lalitpur,2021,32400.965845555067,26977.402711361647,4186.0591156333685,22791.343595728278,0.8326110659772985,0.129195504096605,0.7034155618806935,0.02326648068750949,0.09508429921436128,0.26476104235621484,0.46729294601943344,0.785327896767109,0.16745194491841714,0.6178759518486919,0.03584726528657097,0.11370886417112525,0.2481975803340591,0.45682909382443043
Lamjung,2011,19040,1488,7714,-6226,0.07815126050420168,0.4051470588235294,-0.32699579831932774,NA,NA,NA,NA,0.021821254597872552,0.09489014812605627,-0.07306889352818371,0.02042946614971667,0.06437021572720947,0.0036782980415548264,0.014067004672432647
Lamjung,2021,15091.818108677864,1959.098410487175,8782.573850020766,-6823.475439533591,0.12981195482078361,0.5819427312717708,-0.45213077645098715,0.15292538152899326,0.3594782058017356,0.023469696298116474,0.09213334009918081,0.15222065928207082,0.6013341514389315,-0.4491134921568607,0.1491787609225787,0.3829265082585507,0.02853738657205317,0.10698021446342997
Mahottari,2011,92785,4852,5483,-631,0.052292935280487146,0.059093603491943744,-0.006800668211456593,NA,NA,NA,NA,0.010178248514595712,0.014714544045466288,-0.004536295530870576,0.0031723068974425215,0.008752260397830018,0.0014259881167656937,0.006199948333763886
Mahottari,2021,68037.18787837029,6261.380714178085,9103.815387368202,-2842.434673190117,0.09202879938793947,0.13380646189614778,-0.04177766250820834,0.024942352909675763,0.10329717693969478,0.010230391033664268,0.07880779795981835,0.09877108342019654,0.13852442495764403,-0.03975334153744749,0.025160427070341346,0.10834319333539785,0.010813969829833962,0.08484498646267123
Makwanpur,2011,44476,6985,8951,-1966,0.15705099379440599,0.2012546092274485,-0.04420361543304254,NA,NA,NA,NA,0.03309280416917218,0.06217678893565845,-0.02908398476648627,0.021326919222289038,0.03353377430346763,0.007757065544197234,0.022028462617759068
Makwanpur,2021,41723.55934101343,8678.955211639404,10284.561104744673,-1605.6058931052685,0.20801090196320243,0.2464928991481116,-0.03848199718490914,0.07880455071652634,0.1484198825558209,0.055969771086336384,0.13051313161511116,0.23372407678316787,0.2533982992007535,-0.019674222417585673,0.0797553710689212,0.15638319461871328,0.06264925797122621,0.1475324470466284
Manang,2011,4443,1381,383,998,0.3108260184559982,0.08620301598019356,0.22462300247580463,NA,NA,NA,NA,0.09106271122793841,0.016334960570784828,0.07472775065715359,0.006196019526849418,0.007885843034171986,0.050882463387157344,0.03173113030416823
Manang,2021,366.74402192234993,264.1526186168194,332.02385798096657,-67.87123936414719,0.7202642792436518,0.905328616511888,-0.18506433726823623,0.2755252766374159,0.48548991092685806,0.5290456725694981,0.18580380231003976,0.9237128963880007,1.0892665229577203,-0.16555362656971961,0.38684364160908774,0.5642506028684343,0.6160804193984382,0.3008616241502766
Morang,2011,91974,26092,12227,13865,0.2836888685932981,0.13293974384065063,0.15074912475264748,NA,NA,NA,NA,0.05421509686038744,0.04412380316187931,0.010091293698508128,0.011632153195279448,0.028047205522155422,0.013012692050768203,0.03706969494544645
Morang,2021,88880.75879949331,32136.67087471485,13400.711536049843,18735.95933866501,0.36157061785680944,0.15077179489748277,0.2107988229593267,0.037167291035534185,0.10364585503545895,0.10118193821150637,0.2230603109707334,0.35706222312010805,0.17425566710442056,0.18280655601568746,0.045551387355480456,0.11654173071458625,0.09916263135070064,0.2223612045669652
Mugu,2011,53638,1179,798,381,0.02198068533502368,0.014877512211491853,0.0071031731235318245,NA,NA,NA,NA,0.0073121440382142204,0.004097005327944148,0.0032151387102700717,7.348888480617307e-4,0.00275583318023149,0.0025904831894176007,0.003031416498254639
Mugu,2021,6813.749317139387,272.3279464840889,860.5833560824394,-588.2554095983505,0.03996741497358464,0.126301000525176,-0.08633358555159136,0.030070945058018387,0.0833541108756377,0.016817197550077687,0.021948645180547142,0.041289431110122496,0.1231441947360003,-0.0818547636258778,0.028902322533820527,0.08112526023402016,0.017368460897004664,0.022792269334716366
Mustang,2011,9318,2263,623,1640,0.24286327538098304,0.06685984116763254,0.17600343421335052,NA,NA,NA,NA,0.09192147980369951,0.016232540581351453,0.07568893922234805,0.005096262740656852,0.008305020762551907,0.04190260475651189,0.03699509248773122
Mustang,2021,1052.4533523321152,611.8090279400349,374.9900014400482,236.81902649998665,0.5813170023966732,0.356300828544195,0.22501617385247813,0.13496369446352563,0.18258573818576293,0.3676425535254102,0.19825055465860128,0.6448052537939629,0.4140372717845373,0.23076798200942564,0.1869799192386635,0.1896087613145537,0.40369886604917576,0.2229293105060586
