"dname","year","fxshock_2009","fxshock_2010","fxshock_2011","fxshock_dofe"
"Morang",2020,0.699638060279239,0.721812888279508,0.697396500441471,0.712892772612914
"Morang",2021,0.719569228352928,0.722544848894932,0.694593466060536,0.717770467670291
"Morang",2022,0.696389406844367,0.707720116187707,0.670945685479313,0.701290066212704
"Morang",2023,0.6546681677239,0.683636429470365,0.644612750256975,0.673498425070594
"Mugu",2000,1.04246280479411,1.15551835547871,1.13618757251359,1.13346942947129
"Mugu",2001,0.998423157433771,1.09607749305127,1.08031793126788,1.07665580100666
"Mugu",2002,1.02700800515782,1.0548761223219,1.04026091973917,1.04648244834954
"Mugu",2003,1.05267425065279,1.07891547564909,1.06190721950004,1.07068283885694
"Mugu",2004,1.08919804069322,1.11505600056093,1.09581882312523,1.10674420219097
"Mugu",2005,1.12327097467612,1.14830993707242,1.12994843186823,1.13999296766647
"Mugu",2006,1.08890141949842,1.10130837800344,1.09568501398819,1.09509471874722
"Mugu",2007,1.15826774775606,1.15314158365155,1.17096217943052,1.14935954772201
"Mugu",2008,1.08633209948787,1.07543281554285,1.09869868224356,1.0728156850878
"Mugu",2009,1,1.00447518998014,1.00778029420595,0.999821223214834
"Mugu",2010,1.02606131413122,1,1.03099485831958,1
"Mugu",2011,0.993141374674258,0.956353696290516,1,0.958134541441024
"Mugu",2012,0.868753192052536,0.835796902402377,0.871551115774917,0.837489572366673
"Mugu",2013,0.80174950550077,0.775478412388899,0.806442517200436,0.776399250637364
"Mugu",2014,0.775383388566373,0.759134098225552,0.781268493118453,0.758599883913965
"Mugu",2015,0.797867036728513,0.818024320988629,0.799060007353869,0.81176999132617
"Mugu",2016,0.780196902329389,0.814810968197407,0.779518195190329,0.806378036268417
"Mugu",2017,0.813906767800988,0.859550659135366,0.813710911730761,0.849270292274861
"Mugu",2018,0.758742780150968,0.787294058944371,0.759898276016828,0.77988136986975
"Mugu",2019,0.744106596791892,0.776204528401032,0.74298822742606,0.768306277954378
"Mugu",2020,0.711670694369136,0.746500041296426,0.711149149107511,0.738300595918035
"Mugu",2021,0.913413554259384,0.740012527464927,0.708321970343288,0.764257588656798
"Mugu",2022,0.897319064668651,0.729861603112235,0.688295650958151,0.753271968209518
"Mugu",2023,0.860296372337287,0.710195015565069,0.663429929278491,0.731003873223013
"Mustang",2000,1.11553524447162,1.10136393356566,1.07623083657428,1.10965090729755
"Mustang",2001,1.06218716460386,1.0447020083571,1.03708367491031,1.05389221743213
"Mustang",2002,1.05009779230247,1.0051722997823,1.00225012281867,1.02326210999593
"Mustang",2003,1.07498066290521,1.02751277779947,1.0136268525041,1.0465272185947
"Mustang",2004,1.11152086503761,1.06160318368186,1.03801229189151,1.08154482067328
"Mustang",2005,1.14486964191049,1.09410244099917,1.07256906842908,1.11438423233206
"Mustang",2006,1.09864531024613,1.05923721122172,1.04803235385431,1.07518162781381
"Mustang",2007,1.14874521806591,1.13037260852766,1.12545029504137,1.13855733998136
"Mustang",2008,1.06985041083516,1.06221465058057,1.0417461597626,1.06632310382992
"Mustang",2009,1,0.977579891085356,0.944063797119002,0.987148355958375
"Mustang",2010,0.997065478911474,1,0.963909468038593,1
"Mustang",2011,0.952211396695654,0.970331051002163,0.928571428571428,0.964635778348594
"Mustang",2012,0.83353353307654,0.845942457232998,0.809094506423142,0.842193851558357
