"dname","year","geog_pop_2001","geog_total_mig_2001","geog_intensity_2001","shareshock_index_2001","shareshock_growth_yoy","shareshock_log_yoy","shareshock_growth_dec","shareshock_log_dec","ssiv_index_2001","ssiv_growth_yoy","ssiv_log_yoy","ssiv_growth_dec","ssiv_log_dec","absexp_index_2001","absexp_growth_yoy","absexp_log_yoy","absexp_growth_dec","absexp_log_dec","fxshock","mig_intensity","fxshock_x_mig_intensity","total_migrants"
"Rukum",2019,188086,546,0.00290292738428166,1.48706913636886,0.0293332433197802,0.0287779152529304,0,0,0.00431685371828525,0.000085152275302787,0.0000835401982502685,0,0,811.9397484574,16.0159508526,15.7127417281,0,0,1.48706913636886,0.00290292738428166,0.00431685371828525,546
"Rukum",2020,188086,546,0.00290292738428166,1.56054643890037,0.0487146968296703,0.0475245281201465,0,0,0.0045301529919271,0.000141415227443829,0.000137960254105037,0,0,852.0583556396,26.598224469,25.9483923536,0,0,1.56054643890037,0.00290292738428166,0.0045301529919271,546
"Rukum",2021,188086,546,0.00290292738428166,1.56423093111905,0.00224021577564103,0.0021480001532967,0.551637745210623,0.435166336798901,0.00454084880528588,0.00000650318372180811,0.0000062354884664462,0.00160136431677531,0.00126325627581107,854.070088391,1.2231578135,1.1728080837,301.194208885,237.6008198922,1.56423093111905,0.00290292738428166,0.00454084880528588,546
"Rukum",2022,188086,546,0.00290292738428166,1.64365001997143,0.0499950597104396,0.0483605100318681,0,0,0.00477139665315016,0.000145132027912232,0.000140387048889338,0,0,897.4329109044,27.2973026019,26.4048384774,0,0,1.64365001997143,0.00290292738428166,0.00477139665315016,546
"Rukum",2023,188086,546,0.00290292738428166,1.73150436307161,0.0515070479785714,0.0499326200152015,0,0,0.00502643143156375,0.000149521220060504,0.000144950770011059,0,0,945.4013822371,28.1228481963,27.2632105283,0,0,1.73150436307161,0.00290292738428166,0.00502643143156375,546
"Rupandehi",2000,705240,6102,0.00865237366003063,0.909997518925172,0,0,0,0,0.00787363856344138,0,0,0,0,5552.8048604814,0,0,0,0,0.909997518925172,0.00865237366003063,0.00787363856344138,6102
"Rupandehi",2001,705240,6102,0.00865237366003063,0.941822353326778,0.0345073046066863,0.0331546002129138,0,0,0.00814899892235267,0.000298570093457546,0.000286865989591061,0,0,5747,210.56357271,202.3093704992,0,0,0.941822353326778,0.00865237366003063,0.00814899892235267,6102
"Rupandehi",2002,705240,6102,0.00865237366003063,0.982521661050967,0.0406993077241888,0.0397387052672402,0,0,0.00850114454048693,0.000352145618134252,0.00034383412673799,0,0,5995.347175733,248.347175733,242.4855795407,0,0,0.982521661050967,0.00865237366003063,0.00850114454048693,6102
"Rupandehi",2003,705240,6102,0.00865237366003063,0.974650972285562,-0.00783407950496559,-0.00834275569352671,0,0,0.00843304440032684,-0.00006778338315935,-0.0000721846396147411,0,0,5947.3202328865,-47.8035531393,-50.9074952419,0,0,0.974650972285562,0.00865237366003063,0.00843304440032684,6102
"Rupandehi",2004,705240,6102,0.00865237366003063,0.95750902053979,-0.0178492218610128,-0.018521478349492,0,0,0.00828472582856021,-0.00015443813708227,-0.000160254751415972,0,0,5842.7200433338,-108.9159517959,-113.0180608886,0,0,0.95750902053979,0.00865237366003063,0.00828472582856021,6102
