"dname","year","population_2001","total_migrants_2001","migrants_per_capita_2001","avg_fx_shock_2001","ssiv_per_capita_2001","total_fx_exposure_2001"
"Kapilbastu",2021,481284,1279,0.00265747458880827,1.56553156141994,0.00416036034245082,2002.3148670561
"Kapilbastu",2022,481284,1279,0.00265747458880827,1.64085048909836,0.00436051847881251,2098.6477755568
"Kapilbastu",2023,481284,1279,0.00265747458880827,1.72329492460149,0.00457961247115071,2204.0942085653
"Kaski",2000,378210,14553,0.0384786229872293,0.962398842835979,0.0370317822368314,14005.790359792
"Kaski",2001,378210,14553,0.0384786229872293,1,0.0384786229872293,14553
"Kaski",2002,378210,14553,0.0384786229872293,1.04161702608645,0.0400799888438595,15158.6525806361
"Kaski",2003,378210,14553,0.0384786229872293,1.03298493918943,0.0397478380265561,15033.0298200238
"Kaski",2004,378210,14553,0.0384786229872293,1.01556946482939,0.0390777145545123,14779.5824216621
"Kaski",2005,378210,14553,0.0384786229872293,0.985845078787728,0.0379339611104884,14347.0034315978
"Kaski",2006,378210,14553,0.0384786229872293,1.00741455277616,0.0387639247681219,14660.9039865514
"Kaski",2007,378210,14553,0.0384786229872293,0.931326708719645,0.0358361693027604,13553.597591997
"Kaski",2008,378210,14553,0.0384786229872293,0.977910559968969,0.0376286517522762,14231.5323792284
"Kaski",2009,378210,14553,0.0384786229872293,1.07043148132432,0.0411887294035398,15577.9893477128
"Kaski",2010,378210,14553,0.0384786229872293,1.02333648456253,0.0393765787785582,14892.6158598385
"Kaski",2011,378210,14553,0.0384786229872293,1.05076626771218,0.0404320390629949,15291.8014940153
"Kaski",2012,378210,14553,0.0384786229872293,1.2080539997171,0.0464842544033286,17580.8098578829
"Kaski",2013,378210,14553,0.0384786229872293,1.30040541741296,0.0500378097871838,18924.8000396108
"Kaski",2014,378210,14553,0.0384786229872293,1.35887825677179,0.0522877641278649,19775.7552707998
"Kaski",2015,378210,14553,0.0384786229872293,1.38897490318111,0.0534458416382293,20213.7517659947
"Kaski",2016,378210,14553,0.0384786229872293,1.44596791614633,0.0556388542970241,21043.1710836775
"Kaski",2017,378210,14553,0.0384786229872293,1.39929368358312,0.0538428940990064,20363.9209771852
"Kaski",2018,378210,14553,0.0384786229872293,1.46552937072771,0.0563915521329428,21327.8489322003
"Kaski",2019,378210,14553,0.0384786229872293,1.50600460292539,0.0579489833329981,21916.8849863732
"Kaski",2020,378210,14553,0.0384786229872293,1.58553299378117,0.0610091263015187,23074.2616584974
"Kaski",2021,378210,14553,0.0384786229872293,1.59277801091251,0.0612879045842513,23179.6983928097
"Kaski",2022,378210,14553,0.0384786229872293,1.64829580025264,0.0634241526693549,23987.6487810767
"Kaski",2023,378210,14553,0.0384786229872293,1.73205833379452,0.0666472196179678,25206.6449317116
"Kathmandu",2000,1063821,13492,0.0126825847581501,0.976304348651653,0.0123820626515251,13172.2982720081
"Kathmandu",2001,1063821,13492,0.0126825847581501,1,0.0126825847581501,13492
"Kathmandu",2002,1063821,13492,0.0126825847581501,1.04489161951932,0.0132519265276344,14097.6777305546
"Kathmandu",2003,1063821,13492,0.0126825847581501,1.0547619330418,0.0133771076154729,14230.8480006
"Kathmandu",2004,1063821,13492,0.0126825847581501,1.05445472985837,0.013373211485061,14226.7032152491
"Kathmandu",2005,1063821,13492,0.0126825847581501,1.02545185995839,0.013005380129325,13835.3964945586
"Kathmandu",2006,1063821,13492,0.0126825847581501,1.045287822486,0.0132569514053408,14103.0233009811
"Kathmandu",2007,1063821,13492,0.0126825847581501,0.979081382205648,0.0124172826149499,13209.7660087186
"Kathmandu",2008,1063821,13492,0.0126825847581501,1.02612365727984,0.0130139002557945,13844.4603840196
"Kathmandu",2009,1063821,13492,0.0126825847581501,1.10912882597402,0.014066620343123,14964.3661200415
"Kathmandu",2010,1063821,13492,0.0126825847581501,1.0759538967235,0.0136458764910577,14516.7699745935
"Kathmandu",2011,1063821,13492,0.0126825847581501,1.12108898531989,0.014218306077748,15125.732589936
"Kathmandu",2012,1063821,13492,0.0126825847581501,1.28704925948475,0.0163231113213297,17364.8686089683
"Kathmandu",2013,1063821,13492,0.0126825847581501,1.36944558267155,0.0173681096739062,18476.5598014046
"Kathmandu",2014,1063821,13492,0.0126825847581501,1.42195171556282,0.0180340231546224,19184.9725463736
"Kathmandu",2015,1063821,13492,0.0126825847581501,1.42385789890657,0.0180581984864441,19210.6907720474
"Kathmandu",2016,1063821,13492,0.0126825847581501,1.47605199523723,0.0187201545370327,19914.8935197407
"Kathmandu",2017,1063821,13492,0.0126825847581501,1.43032206697528,0.0181401808458665,19297.9053276305
"Kathmandu",2018,1063821,13492,0.0126825847581501,1.49575689760821,0.0189700636315038,20180.75206253
"Kathmandu",2019,1063821,13492,0.0126825847581501,1.52412751788842,0.0193298764278489,20563.5284713506
"Kathmandu",2020,1063821,13492,0.0126825847581501,1.60204375608999,0.0203180557228765,21614.7743571662
