sector,k,mean_y,beta,stars,beta_pp,pct_mean,se,pval,n
Finance / real-est. / prof.,100,0.0145050087931331,-0.0026867823407616,**,-0.268678234076161,-18.5231348638242,0.0010472671655029,0.0107692317415699,939
Public admin & defence,0,0.0149625649454763,0.000467748139304,,0.0467748139304015,3.12612270027562,0.0009199177382331,0.611282911099295,2142
Public admin & defence,25,0.0166916915974576,0.0006552840553426,,0.0655284055342609,3.92580974502558,0.0012878160940054,0.611105649118786,1425
Public admin & defence,50,0.0166754853350402,0.0007814574536237,,0.0781457453623728,4.68626512465969,0.0015053451207044,0.603962910570354,1203
Public admin & defence,100,0.0171225909948145,-0.0013127325451154,,-0.131273254511544,-7.66666998886437,0.0016142956427939,0.416728009926107,939
Education,0,0.0284541595278869,0.0002993356450109,,0.0299335645010962,1.05199257323905,0.0003006443590844,0.319759476062604,2142
Education,25,0.0305725060689085,0.00045454485337,,0.0454544853370042,1.48677655781808,0.00044130844746,0.303538311283215,1425
Education,50,0.0314756971976745,0.0002267147176027,,0.0226714717602716,0.720284974718421,0.0005464016105008,0.678420559166452,1203
Education,100,0.0329227798689556,0.000384403775842,,0.0384403775842034,1.16759209693743,0.0007288483327979,0.598281946587948,939
Health,0,0.0063256891168283,-0.0002237398541608,,-0.0223739854160808,-3.53700363752605,0.0001675106415668,0.182081570233783,2142
Health,25,0.0068463187303213,-0.0004837229755351,**,-0.0483722975535154,-7.06544633092838,0.0002204128382213,0.0286750854467994,1425
Health,50,0.007070314069642,-0.0004963655405309,*,-0.0496365540530966,-7.02041713623756,0.000266155219597,0.0629207966096878,1203
Health,100,0.0074410336531819,-0.0005594490321793,,-0.0559449032179365,-7.518431689126,0.0003393454743531,0.100233673350076,939
Arts & recreation,0,0.0008750989534172,-0.0005840364938216,***,-0.0584036493821603,-66.7394803228727,0.0001257204750006,4.03995237265416e-06,2142
Arts & recreation,25,0.0010280112243067,-0.0006508223762645,***,-0.0650822376264575,-63.3088784320865,0.000177319599342,0.0002697579465637,1425
Arts & recreation,50,0.0011132026582826,-0.0005644894204685,**,-0.0564489420468562,-50.7085943667637,0.0002225575043597,0.011580071023635,1203
Arts & recreation,100,0.0011960347251925,-0.0008138327179055,**,-0.0813832717905531,-68.0442382452153,0.0003416167054312,0.0178038267007602,939
Others,0,0.0433594073284384,5.35559013016299e-05,,0.0053555901301629,0.123516220819061,0.0011186983386216,0.961830539097546,2142
Others,25,0.0444304346637626,-0.0001606997161297,,-0.0160699716129771,-0.361688372724469,0.0014193460662284,0.909903319241199,1425
Others,50,0.0449549367582449,0.0005751694802817,,0.0575169480281709,1.27943563434381,0.0017931544143915,0.748560937657576,1203
Others,100,0.0459968469616923,0.0014337416262754,,0.143374162627543,3.11704327792186,0.0022843612243616,0.530703136909873,939
