dataset,outcome,sample,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_muni,sd_y
nec_cs,log_rev_total,urban,0,-0.217617581765166,*,22.0212552101329,-21.7617581765166,-0.98821606529055,0.129857022367417,0.0989767085562016,277,287,1.61202712799859
nec_cs,log_rev_total,urban,25,-0.339459798425186,*,22.3874878390061,-33.9459798425186,-1.51629249724813,0.185879477042025,0.0741705176185062,204,216,1.5314462026691
nec_cs,log_rev_total,urban,50,-0.205520175820378,"",22.4488838088571,-20.5520175820378,-0.915502871190822,0.177226760550225,0.252902178351992,176,190,1.5801666692631
nec_cs,log_rev_total,urban,100,-0.0508841486216788,"",22.5137331586427,-5.08841486216788,-0.226013821266888,0.219501066301914,0.81811143965217,142,161,1.63189818930028
nec_cs,log_value_added_total,full,0,-0.0876787799106552,"",17.2766504542778,-8.76787799106552,-0.507498719978707,0.423729646122467,0.836631913081284,714,714,6.29272198072288
nec_cs,log_value_added_total,full,25,-0.220915669432013,"",17.7636324671963,-22.0915669432013,-1.24364017235761,0.510302584945623,0.666713050705953,469,475,6.25052132866117
nec_cs,log_value_added_total,full,50,-0.295210897279871,"",17.7455236039287,-29.5210897279871,-1.66357952500491,0.555895989252609,0.597481285432733,399,401,6.37785245258007
nec_cs,log_value_added_total,full,100,-0.337496776103198,"",17.770620899893,-33.7496776103198,-1.8991839283749,0.710485098907689,0.636970644771171,305,313,6.50746464037325
nec_cs,log_value_added_total,rural,0,1.10433983406661,"",16.514747959006,110.433983406661,6.6869917531159,0.709272075822325,0.123916007995992,425,427,5.99322779949787
nec_cs,log_value_added_total,rural,25,1.00646602628516,"",16.8852187601225,100.646602628516,5.96063362034794,0.666380991646888,0.137945718275764,252,259,5.82444324969577
nec_cs,log_value_added_total,rural,50,0.962532846131233,"",16.7930146933771,96.2532846131234,5.73174539358227,0.614485057741993,0.124940278259917,206,211,5.92250527948806
nec_cs,log_value_added_total,rural,100,-0.250883767934128,"",16.4975369674334,-25.0883767934128,-1.52073469166567,0.815399819766743,0.760201343674793,147,152,6.19557847901503
nec_cs,log_value_added_total,urban,0,-0.814806329148165,"",18.4102127033407,-81.4806329148165,-4.42583875742138,0.681953099411479,0.236861828458986,277,287,6.56212043063855
nec_cs,log_value_added_total,urban,25,-1.30170994422584,"",18.8169155696599,-130.170994422584,-6.91776470701021,0.804477225969702,0.112337392088658,204,216,6.58638744053112
nec_cs,log_value_added_total,urban,50,-0.497880088143246,"",18.8033098151203,-49.7880088143246,-2.64783217975213,0.947815544731377,0.60220949610594,176,190,6.70654677002597
nec_cs,log_value_added_total,urban,100,-0.164976956065495,"",18.9725386497928,-16.4976956065495,-0.869556568631881,1.02908058343146,0.873610347522785,142,161,6.58463902255829
nec_cs,mean_emp_per_firm,full,0,-0.180227881422684,**,3.06449775328025,-18.0227881422684,-5.88115560632302,0.0729855712582763,0.015810400316053,714,714,1.26238187361952
nec_cs,mean_emp_per_firm,full,25,-0.0138193470183121,"",3.18447907286332,-1.38193470183121,-0.433959423256202,0.108967169529172,0.899528240462644,469,475,1.30935693273456
nec_cs,mean_emp_per_firm,full,50,0.0319445137260472,"",3.14333684187444,3.19445137260472,1.0162612323469,0.0867422781724663,0.714060958728252,399,401,1.21060150539441
nec_cs,mean_emp_per_firm,full,100,0.0298637707532897,"",3.05165632600572,2.98637707532897,0.978608583764677,0.0907892115963185,0.743665901698998,305,313,1.0298497007702
nec_cs,mean_emp_per_firm,rural,0,-0.188293225304266,"",3.02187633817244,-18.8293225304266,-6.23100366238487,0.11381000598053,0.102450236153302,425,427,1.44511589889676
nec_cs,mean_emp_per_firm,rural,25,-0.00277408084829277,"",3.14862377217099,-0.277408084829277,-0.088104551353877,0.174946327931079,0.987418767387905,252,259,1.54089938527856
nec_cs,mean_emp_per_firm,rural,50,0.159904328119843,"",3.09940621319404,15.9904328119843,5.1591923459125,0.143623697271486,0.272040399307424,206,211,1.44828679568312
nec_cs,mean_emp_per_firm,rural,100,0.105364103415862,"",2.90486955258903,10.5364103415862,3.62715438708611,0.111928222337654,0.3531641074736,147,152,1.13132130798229
nec_cs,mean_emp_per_firm,urban,0,-0.172575424855751,**,3.12791010258699,-17.2575424855751,-5.51727572710671,0.0721451159400148,0.0199039792812,277,287,0.924929428138195
nec_cs,mean_emp_per_firm,urban,25,-0.102231774614742,"",3.22747223434162,-10.2231774614742,-3.16754931388577,0.100330341651406,0.313442488975744,204,216,0.962827858699526
nec_cs,mean_emp_per_firm,urban,50,-0.0505910739391807,"",3.19212296109319,-5.05910739391807,-1.58487234219371,0.0919058544236943,0.584986521458585,176,190,0.875536726842961
nec_cs,mean_emp_per_firm,urban,100,-0.108717341566567,"",3.19023762761651,-10.8717341566567,-3.40781328091199,0.132523279767463,0.417895160310183,142,161,0.905794258432891
nec_cs,share_registered,full,0,0.00635825939190352,"",0.46305497272887,0.635825939190352,1.37311113504151,0.00973025762459315,0.515463113167706,714,714,0.143364859327703
nec_cs,share_registered,full,25,0.00717719348442176,"",0.485554741628495,0.717719348442176,1.47814301233066,0.00774634602633048,0.358079044979695,469,475,0.132074516918932
nec_cs,share_registered,full,50,0.00741686893673438,"",0.492433610985031,0.741686893673438,1.50616626714374,0.0078178665837405,0.346845688897505,399,401,0.127677543252542
nec_cs,share_registered,full,100,0.00104243952800502,"",0.499300767363738,0.104243952800502,0.208779877008602,0.009879418421108,0.916415200959834,305,313,0.129514861531072
nec_cs,share_registered,rural,0,0.0103967285513959,"",0.443778841615323,1.03967285513959,2.34277247503568,0.0108116407182646,0.339502344628417,425,427,0.142135481241642
nec_cs,share_registered,rural,25,0.010142701840186,"",0.468555373343907,1.0142701840186,2.16467517335278,0.0133894170222689,0.452689212666611,252,259,0.132731390125882
nec_cs,share_registered,rural,50,0.00781054084571261,"",0.47555777118629,0.781054084571261,1.64239579688269,0.0112238580320678,0.490425471271516,206,211,0.127397617815758
nec_cs,share_registered,rural,100,0.0159122390077515,"",0.481084101513819,1.59122390077515,3.30757947678603,0.0118461558880844,0.18809187974868,147,152,0.132214811805334
nec_cs,share_registered,urban,0,-0.00514601770525661,"",0.491734094629513,-0.514601770525661,-1.04650414959202,0.0110419695524939,0.642873199892664,277,287,0.140598808594793
nec_cs,share_registered,urban,25,0.00964624170270337,"",0.505938243414181,0.964624170270337,1.90660457640214,0.0121975746229526,0.433014212638308,204,216,0.128648905020659
nec_cs,share_registered,urban,50,0.0155119639953477,*,0.511174675182581,1.55119639953477,3.03457208434811,0.00909434474999765,0.0956354292726039,176,190,0.12568258362221
nec_cs,share_registered,urban,100,0.00566962488618544,"",0.516499110277946,0.566962488618544,1.097702740114,0.0132224270094122,0.670863327003508,142,161,0.124896531679061
nec_panel,log_new_firms,full,0,-0.0242759299791564,"",3.13147538115369,-2.42759299791564,-0.775223401890923,0.0158158852936558,0.125250011165904,12852,714,1.31111486938683
