dataset,outcome,spec,threshold,lag,c_mig_log_flag,beta,stars,se,pval,mean_y,sd_y,n,n_muni,err
census,amen_cooking_lpg,S0_baseline,25,0,FALSE,0.00409877603291266,"",0.00718772601620247,0.568780674988034,0.147392857949522,0.218559292389676,1425,475,
census,amen_cooking_lpg,S1_cmig_log,25,0,TRUE,0.00448751473024324,"",0.0284366020930296,0.874675535065774,0.147392857949522,0.218559292389676,1425,475,
census,amen_cooking_lpg,S2_lag1,25,1,FALSE,0.00238118512935105,"",0.00733257520522061,0.745520647741777,0.147392857949522,0.218559292389676,1425,475,
census,amen_cooking_lpg,S3_lag2,25,2,FALSE,0.0151513431720799,**,0.00681289300895358,0.0266241293816111,0.208609263082314,0.242376304579145,950,475,
census,amen_cooking_lpg,S4_lag3,25,3,FALSE,0.0150509642477117,**,0.00677178471795322,0.0267139043167404,0.208609263082314,0.242376304579145,950,475,
census,amen_cooking_lpg,S5_lag4,25,4,FALSE,0.0147608098965335,**,0.00679462855849357,0.0303185884429121,0.208609263082314,0.242376304579145,950,475,
census,amen_cooking_lpg,S6_lag5,25,5,FALSE,0.01474203313946,**,0.00695261616808666,0.0344946966229983,0.208609263082314,0.242376304579145,950,475,
census,amen_cooking_lpg,S7_lag10,25,10,FALSE,-0.00149412872147604,"",0.0162455758843006,0.926759601184115,0.208609263082314,0.242376304579145,950,475,
census,amen_cooking_modern,S0_baseline,25,0,FALSE,0.00406483383941117,"",0.00666411143362611,0.542181354667733,0.164312430867186,0.223207274656949,1425,475,
census,amen_cooking_modern,S1_cmig_log,25,0,TRUE,-0.000383734675696558,"",0.0274973941318482,0.988871506304336,0.164312430867186,0.223207274656949,1425,475,
census,amen_cooking_modern,S2_lag1,25,1,FALSE,0.00226943501062207,"",0.00683135326397252,0.739878526776157,0.164312430867186,0.223207274656949,1425,475,
census,amen_cooking_modern,S3_lag2,25,2,FALSE,0.0162280342333452,***,0.00617666124998399,0.00888505030253749,0.227191086979159,0.246365358956149,950,475,
census,amen_cooking_modern,S4_lag3,25,3,FALSE,0.0158264073329209,**,0.00616072238412646,0.0105065082378551,0.227191086979159,0.246365358956149,950,475,
census,amen_cooking_modern,S5_lag4,25,4,FALSE,0.0152628672693394,**,0.00620128137698362,0.0142008564942168,0.227191086979159,0.246365358956149,950,475,
census,amen_cooking_modern,S6_lag5,25,5,FALSE,0.0152622877829761,**,0.00633983666740145,0.0164494090197215,0.227191086979159,0.246365358956149,950,475,
census,amen_cooking_modern,S7_lag10,25,10,FALSE,-0.00723164912662346,"",0.0154714683475242,0.640415359602226,0.227191086979159,0.246365358956149,950,475,
census,amen_cooking_traditional,S0_baseline,25,0,FALSE,-0.00350786550024643,"",0.00664763405724851,0.597963992279355,0.830846952009908,0.222060036708862,1425,475,
