outcome_group,dataset,outcome,spec,threshold,beta,stars,se,pval,mean_y,sd_y,n,n_muni,interpret,err
Assets / amenities,census,amen_lighting_kerosene,S0_baseline,25,-0.0167528625418331,**,0.00738802479750937,0.0238048187841881,0.31327199677971,0.349704354060859,1425,475,-1.68pp (-5% of mean),
Assets / amenities,census,amen_lighting_kerosene,S_levels,25,-0.0101002382485805,***,0.00353708853867476,0.00448513824257096,0.31327199677971,0.349704354060859,1425,475,-1.01pp (-3% of mean),""
Assets / amenities,census,amen_lighting_others,S0_baseline,25,0.0134017060879466,***,0.00500508417306668,0.0076720764996005,0.0535775846381791,0.139656944579184,1425,475,+1.34pp (+25% of mean),
Assets / amenities,census,amen_lighting_others,S_levels,25,0.0034370925785858,"",0.00257853015696438,0.183183346662962,0.0535775846381791,0.139656944579184,1425,475,+0.34pp (+6% of mean),""
Assets / amenities,census,amen_toilet_any,S0_baseline,25,0.0587488593951909,***,0.00779177395818564,0.000000000000241488880287454,0.657911927117024,0.307261089135886,1425,475,+5.87pp (+9% of mean),
Assets / amenities,census,amen_toilet_any,S_levels,25,0.0489512250116708,***,0.00388463034548042,0.000000000000000000000000000000132441323265627,0.657911927117024,0.307261089135886,1425,475,+4.90pp (+7% of mean),""
Assets / amenities,census,amen_toilet_modern,S0_baseline,25,-0.01311130172602,"",0.0097880893634585,0.181044658273659,0.374970887567009,0.29800630083201,1425,475,-1.31pp (-3% of mean),
Assets / amenities,census,amen_toilet_modern,S_levels,25,-0.0106216153818488,**,0.00516668376073817,0.0403499429512298,0.374970887567009,0.29800630083201,1425,475,-1.06pp (-3% of mean),""
Assets / amenities,census,amen_toilet_none,S0_baseline,25,-0.058186760230308,***,0.00783332013573808,0.00000000000051678081821672,0.335955759867401,0.303317079378737,1425,475,-5.82pp (-17% of mean),
Assets / amenities,census,amen_toilet_none,S_levels,25,-0.0485488392584164,***,0.00388223582970663,0.000000000000000000000000000000328663971467521,0.335955759867401,0.303317079378737,1425,475,-4.85pp (-14% of mean),""
Assets / amenities,census,amen_toilet_ordinary,S0_baseline,25,0.0710292297550374,***,0.0114204624683162,0.00000000109638536120827,0.28147625070579,0.184734927959644,1425,475,+7.10pp (+25% of mean),
Assets / amenities,census,amen_toilet_ordinary,S_levels,25,0.0591322746575175,***,0.00611601421845481,0.0000000000000000000265686166520284,0.28147625070579,0.184734927959644,1425,475,+5.91pp (+21% of mean),""
Assets / amenities,census,amen_water_piped,S0_baseline,25,-0.00634667169955127,"",0.00736795551757642,0.3894596738826,0.604729354419555,0.318961694989695,1425,475,-0.63pp (-1% of mean),
Assets / amenities,census,amen_water_piped,S_levels,25,0.00471319422551574,"",0.00352094041657264,0.181336740665571,0.604729354419555,0.318961694989695,1425,475,+0.47pp (+1% of mean),""
Assets / amenities,census,amen_water_traditional,S0_baseline,25,0.0138117889705436,*,0.00722272429256206,0.0564442201040687,0.378656097981604,0.3151803274259,1425,475,+1.38pp (+4% of mean),
Assets / amenities,census,amen_water_traditional,S_levels,25,-0.00137945897747475,"",0.00348805541420717,0.692666009639948,0.378656097981604,0.3151803274259,1425,475,-0.14pp (-0% of mean),""
Consumption,hh,food_exp_homeprod_7day,S0_baseline,25,90.2258003278227,"",83.4236106632787,0.280828683748636,1428.30951581935,902.257916817475,11844,191,90 Rs (+6% of mean),
Consumption,hh,food_exp_homeprod_7day,S_levels,25,70.1169940179994,"",44.6533872613468,0.118020726871021,1428.30951581935,902.257916817475,11844,191,70 Rs (+5% of mean),""
Consumption,hh,food_exp_protein_7day,S0_baseline,25,-13.0483788026529,"",67.6317995691125,0.847217830383219,723.57801152016,599.735388118167,11844,191,-13 Rs (-2% of mean),
Consumption,hh,food_exp_protein_7day,S_levels,25,11.331060367386,"",30.8731394744497,0.714012522040219,723.57801152016,599.735388118167,11844,191,11 Rs (+2% of mean),""
Consumption,hh,food_exp_purchased_7day,S0_baseline,25,-97.9765749022152,"",69.6758996751859,0.161305212053155,810.631772268136,768.239933975865,11844,191,-98 Rs (-12% of mean),
Consumption,hh,food_exp_purchased_7day,S_levels,25,28.6067937788223,"",33.9649955714463,0.400710630836298,810.631772268136,768.239933975865,11844,191,29 Rs (+4% of mean),""
Consumption,hh,food_exp_staples_7day,S0_baseline,25,-13.3984804041279,"",41.296266941039,0.745956000292646,649.701853243176,412.762575285629,11844,191,-13 Rs (-2% of mean),
Consumption,hh,food_exp_staples_7day,S_levels,25,41.7820637627884,*,22.980808617188,0.0706193653569402,649.701853243176,412.762575285629,11844,191,42 Rs (+6% of mean),""
Consumption,hh,food_exp_total_7day,S0_baseline,25,1.56208306319217,"",119.927258900696,0.989621311068887,2282.24373403456,1191.31118969491,11844,191,2 Rs (+0% of mean),
Consumption,hh,food_exp_total_7day,S_levels,25,111.562216927762,*,60.4163587417274,0.0663668737858672,2282.24373403456,1191.31118969491,11844,191,112 Rs (+5% of mean),""
Consumption,hh,food_exp_vice_7day,S0_baseline,25,30.2446777024809,"",26.0968914611899,0.247935976867602,163.047958928124,335.896782753299,11844,191,30 Rs (+19% of mean),
Consumption,hh,food_exp_vice_7day,S_levels,25,19.2585186132925,"",13.4006442017391,0.152324716704831,163.047958928124,335.896782753299,11844,191,19 Rs (+12% of mean),""
Consumption,hh,food_insec_any,S0_baseline,25,0.000392322576643942,"",0.0332150697830144,0.990588331883714,0.120043409299608,0.325025857587435,11844,191,+0.04pp (+0% of mean),
Consumption,hh,food_insec_any,S_levels,25,-0.0195239873020557,"",0.0147288695387527,0.186577382246885,0.120043409299608,0.325025857587435,11844,191,-1.95pp (-16% of mean),""
Consumption,hh,food_insec_score,S0_baseline,25,-0.0458814743445407,"",0.221910670185523,0.836421431158355,0.764754987895484,2.40131801963319,11844,191,-4.59pp (-6% of mean),
