dataset,outcome,sample,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_muni,sd_y
nec_cs,share_modern_proxy,full,0,0.00490630783828804,**,0.137944843610644,0.490630783828804,3.55671709783971,0.00240232122980279,0.0446353535387481,714,714,0.0485865289193894
nec_cs,share_modern_proxy,full,25,0.00237319177106769,"",0.140401329357895,0.237319177106769,1.69029152496001,0.00289589730883094,0.415913950693769,469,475,0.0414019991176183
nec_cs,share_modern_proxy,full,50,-0.0017098891160661,"",0.143635517024938,-0.17098891160661,-1.19043614802405,0.00287182814380934,0.553974166387722,399,401,0.0404765455428884
nec_cs,share_modern_proxy,full,100,0.00118321749730943,"",0.144225535402556,0.118321749730943,0.820393901819736,0.00243250285015471,0.628930082184506,305,313,0.0391224841291697
nec_cs,share_modern_proxy,receiver,0,0.00419442504697302,*,0.137853390058511,0.419442504697302,3.04267094570017,0.00212684925147528,0.0526042542850356,559,564,0.049606505679352
nec_cs,share_modern_proxy,receiver,25,0.00756371952615438,***,0.140340957147929,0.756371952615439,5.38953109617295,0.00247212019494409,0.00352830162734756,327,338,0.040463235857058
nec_cs,share_modern_proxy,receiver,50,0.00259119432313993,"",0.144961150929104,0.259119432313993,1.78750948549463,0.00307478321993424,0.403395989392272,262,268,0.0385289906663719
nec_cs,share_modern_proxy,receiver,100,0.00494319401002052,"",0.147025196193548,0.494319401002052,3.36214073369652,0.00329706828912541,0.141855757399587,174,186,0.0358450334288604
nec_cs,share_modern_proxy,sender,0,-0.0197482396685353,*,0.138288708966667,-1.97482396685353,-14.2804425727161,0.0103898908720155,0.0676790725300764,137,150,0.044697951090704
nec_cs,share_modern_proxy,sender,25,-0.00439738866989797,"",0.140550276854015,-0.439738866989797,-3.12869442047802,0.00283445479760562,0.132893085196837,131,137,0.0437850763292686
nec_cs,share_modern_proxy,sender,50,-0.00341564697559419,"",0.14096431487218,-0.341564697559419,-2.42305790560635,0.00453064653004192,0.457952656455207,127,133,0.0441728137486321
nec_cs,share_modern_proxy,sender,100,-0.00290630687827578,"",0.140125244795276,-0.290630687827578,-2.07407800251977,0.0043219341927652,0.507462148418826,122,127,0.0433007301501416
nec_cs,share_operates_year_round,full,0,0.00893758930029992,*,0.990660196664447,0.893758930029992,0.902185162015471,0.0053658093761387,0.0999539888709,714,714,0.0277891257285849
nec_cs,share_operates_year_round,full,25,-0.000411049724924871,"",0.992603790725803,-0.0411049724924871,-0.0414112588290951,0.00166559925245034,0.805959054456481,469,475,0.0180401610689805
nec_cs,share_operates_year_round,full,50,-0.00050560623552781,"",0.99407665262916,-0.050560623552781,-0.0508618962321034,0.000972905709324078,0.605330121317975,399,401,0.0132968967724537
nec_cs,share_operates_year_round,full,100,0.000347704064594348,"",0.994632693440563,0.0347704064594348,0.034958036960518,0.00104293044021699,0.740321637208789,305,313,0.0119251284096309
nec_cs,share_operates_year_round,receiver,0,0.00940403834966133,"",0.990136925496633,0.940403834966133,0.949771502052048,0.00620117520669713,0.133963048395194,559,564,0.0292036290288836
nec_cs,share_operates_year_round,receiver,25,0.000417180939198313,"",0.991932483328897,0.0417180939198313,0.0420573926360659,0.00211899118386292,0.844706174893364,327,338,0.0191368446340768
nec_cs,share_operates_year_round,receiver,50,0.000131877255389071,"",0.993905950553983,0.0131877255389071,0.0132685849516813,0.00133759122361038,0.921855562933516,262,268,0.0123903896070753
nec_cs,share_operates_year_round,receiver,100,0.000484658673601621,"",0.994911763583558,0.0484658673601621,0.0487137343572998,0.00111644310383995,0.666601093725925,174,186,0.0089313410244531
nec_cs,share_operates_year_round,sender,0,-0.00307285605228092,"",0.99262769625543,-0.307285605228092,-0.309567833324911,0.00544445988728479,0.5769753301905,137,150,0.0216303884851513
nec_cs,share_operates_year_round,sender,25,-0.000993198160516155,"",0.994260008975105,-0.0993198160516155,-0.0998932021353203,0.00102937231221644,0.343505162006425,131,137,0.0149307740359196
nec_cs,share_operates_year_round,sender,50,-0.000266476059728021,"",0.994420623728011,-0.0266476059728021,-0.0267971171725121,0.00154466939769926,0.864423002247087,127,133,0.0150023058025608
