outcome_group,dataset,outcome,spec,threshold,treatment_type,beta,stars,se,pval,mean_y,sd_y,n,n_muni,interpret,err
Assets / amenities,census,amen_water_piped,S_fx_alone,25,fx_alone,-0.0933953574482209,"",0.067654985225642,0.168094067915778,0.604729354419555,0.318961694989695,1425,475,-9.34pp (-15% of mean),
Assets / amenities,census,amen_water_traditional,S0_baseline,25,log_int,0.0138117889705436,*,0.00722272429256206,0.0564442201040687,0.378656097981604,0.3151803274259,1425,475,+1.38pp (+4% of mean),
Assets / amenities,census,amen_water_traditional,S_fx_alone,25,fx_alone,0.0842657322329027,"",0.0682364469111335,0.217476546175777,0.378656097981604,0.3151803274259,1425,475,+8.43pp (+22% of mean),
Consumption,hh,food_exp_homeprod_7day,S0_baseline,25,log_int,90.2258003278227,"",83.4236106632787,0.280828683748636,1428.30951581935,902.257916817475,11844,191,90 Rs (+6% of mean),
Consumption,hh,food_exp_homeprod_7day,S_fx_alone,25,fx_alone,-206.95369009182,"",410.848683460088,0.615039994549841,1428.30951581935,902.257916817475,11844,191,-207 Rs (-14% of mean),
Consumption,hh,food_exp_protein_7day,S0_baseline,25,log_int,-13.0483788026529,"",67.6317995691125,0.847217830383219,723.57801152016,599.735388118167,11844,191,-13 Rs (-2% of mean),
Consumption,hh,food_exp_protein_7day,S_fx_alone,25,fx_alone,-448.602460083253,*,253.749885011555,0.0786838918632901,723.57801152016,599.735388118167,11844,191,-449 Rs (-62% of mean),
Consumption,hh,food_exp_purchased_7day,S0_baseline,25,log_int,-97.9765749022152,"",69.6758996751859,0.161305212053155,810.631772268136,768.239933975865,11844,191,-98 Rs (-12% of mean),
Consumption,hh,food_exp_purchased_7day,S_fx_alone,25,fx_alone,-135.379852668744,"",269.136026697712,0.615535293799482,810.631772268136,768.239933975865,11844,191,-135 Rs (-17% of mean),
Consumption,hh,food_exp_staples_7day,S0_baseline,25,log_int,-13.3984804041279,"",41.296266941039,0.745956000292646,649.701853243176,412.762575285629,11844,191,-13 Rs (-2% of mean),
Consumption,hh,food_exp_staples_7day,S_fx_alone,25,fx_alone,47.8289934197824,"",212.261111768087,0.821964017648376,649.701853243176,412.762575285629,11844,191,48 Rs (+7% of mean),
Consumption,hh,food_exp_total_7day,S0_baseline,25,log_int,1.56208306319217,"",119.927258900696,0.989621311068887,2282.24373403456,1191.31118969491,11844,191,2 Rs (+0% of mean),
Consumption,hh,food_exp_total_7day,S_fx_alone,25,fx_alone,-342.067625372572,"",522.485484235966,0.513457147786907,2282.24373403456,1191.31118969491,11844,191,-342 Rs (-15% of mean),
Consumption,hh,food_exp_vice_7day,S0_baseline,25,log_int,30.2446777024809,"",26.0968914611899,0.247935976867602,163.047958928124,335.896782753299,11844,191,30 Rs (+19% of mean),
Consumption,hh,food_exp_vice_7day,S_fx_alone,25,fx_alone,72.0159646745582,"",121.882634577771,0.555314286229734,163.047958928124,335.896782753299,11844,191,72 Rs (+44% of mean),
Consumption,hh,food_insec_any,S0_baseline,25,log_int,0.000392322576643942,"",0.0332150697830144,0.990588331883714,0.120043409299608,0.325025857587435,11844,191,+0.04pp (+0% of mean),
Consumption,hh,food_insec_any,S_fx_alone,25,fx_alone,-0.273635698289946,"",0.211598504249947,0.197517710454612,0.120043409299608,0.325025857587435,11844,191,-27.36pp (-228% of mean),
Consumption,hh,food_insec_score,S0_baseline,25,log_int,-0.0458814743445407,"",0.221910670185523,0.836421431158355,0.764754987895484,2.40131801963319,11844,191,-4.59pp (-6% of mean),
Consumption,hh,food_insec_score,S_fx_alone,25,fx_alone,-1.21535547519388,"",1.44478966337216,0.401293958658134,0.764754987895484,2.40131801963319,11844,191,-121.54pp (-159% of mean),
Consumption,hh,food_insec_worried,S0_baseline,25,log_int,0.000258007280428296,"",0.0332985715803669,0.993825943310763,0.12012688872193,0.325123428163192,11844,191,+0.03pp (+0% of mean),
