beta,se,pval,n,n_muni,mean_y,sd_y,dataset,outcome,lag,estimator,threshold,err,stars
-0.4090392444962145,0.10887400663895823,0.00017196501050720236,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,8,ppml,25,,***
-0.4058929008068091,0.11132683831857243,0.0002663981941490867,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,9,ppml,25,,***
-0.4158188877342599,0.09927060014017093,2.805056335519751e-05,469,475,4448.905263157894,16117.842710969819,nec_cs_2001,emp_total,10,ppml,25,,***
-0.3323174574970104,0.12498482280840237,0.007840495591450836,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,0,ppml,25,,***
-0.33971681211201243,0.12232440783553356,0.005483292325254352,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,1,ppml,25,,***
-0.32816145642392824,0.12204933257897348,0.007171779746921514,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,2,ppml,25,,***
-0.3494962551833542,0.11268983838946313,0.0019260797106219751,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,3,ppml,25,,***
-0.3920233053008952,0.10209244452488458,0.00012309166659973947,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,4,ppml,25,,***
-0.3961548803641033,0.1018913934534352,0.00010106895820660711,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,5,ppml,25,,***
-0.3923703094114137,0.0988630672300464,7.222760292457941e-05,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,6,ppml,25,,***
-0.40114131282560417,0.09730456418207904,3.7472830618057174e-05,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,7,ppml,25,,***
-0.40766939606935143,0.10045783437517597,4.9470509170257415e-05,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,8,ppml,25,,***
-0.4049386620453321,0.10273283322058238,8.091712320323907e-05,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,9,ppml,25,,***
-0.41346968142738755,0.09261550160024327,8.030543933834622e-06,469,475,2983.637894736842,9890.959769392575,nec_cs_2011,emp_total,10,ppml,25,,***
