dataset,outcome,sample,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err,group,spec,lag
hh,crop_simpson_diversity,receiver,100,-0.00630839504680248,"",0.218975943988676,-0.630839504680248,-2.88086213119771,0.0569774407277795,0.912124826442682,1574,1136,87,3,0.248542980364235,0.0282581888244566,,curated,net_receiver,0
hh,crop_simpson_diversity,sender,0,-0.181311219718023,"",0.199020611616188,-18.1311219718023,-91.1017297382657,0.171195891426234,0.295340104836826,538,505,53,3,0.24488461914652,0.115469719401506,,curated,net_sender,0
hh,crop_simpson_diversity,sender,25,-0.025717681830058,"",0.204496980526554,-2.5717681830058,-12.5760692230459,0.0771166416504912,0.74046350667205,508,482,49,3,0.246135284445546,0.12243864617957,,curated,net_sender,0
hh,crop_simpson_diversity,sender,50,-0.0131930021354793,"",0.208052807047667,-1.31930021354793,-6.34117958930333,0.0728736276014537,0.857250821355812,506,465,48,3,0.246994573660566,0.126029888032325,,curated,net_sender,0
hh,crop_simpson_diversity,sender,100,0.0494734548987768,"",0.20912823547606,4.94734548987768,23.6569943729288,0.105043955697902,0.640348620542554,494,451,46,3,0.24613291644052,0.134434518769095,,curated,net_sender,0
hh,food_exp_protein_7day,full,0,116.502674188998,**,695.108696920205,11650.2674188998,16.7603534102194,50.6196385971141,0.0220959187363583,16955,5906,281,3,585.704252253088,0.00664274184821245,,curated,net_full,0
hh,food_exp_protein_7day,full,25,-13.0483788026529,"",723.57801152016,-1304.83788026529,-1.80331333939234,67.6317995691125,0.847217830383219,11844,4130,191,3,599.735388118167,0.00783961155581003,,curated,net_full,0
hh,food_exp_protein_7day,full,50,-14.3753698513201,"",737.136907003012,-1437.53698513201,-1.95016281436325,64.9267632724853,0.825042869953501,10509,3657,169,3,597.368740192583,0.0093424317117683,,curated,net_full,0
hh,food_exp_protein_7day,full,100,-19.6803863040584,"",748.538094684192,-1968.03863040584,-2.62917631631848,68.2840749236036,0.773635441677008,8506,2956,133,3,607.720180363834,0.0144912087932358,,curated,net_full,0
hh,food_exp_protein_7day,receiver,0,148.152728697735,***,678.391860628155,14815.2728697735,21.8388128301765,53.5756259334031,0.00615481187690107,14111,4913,228,3,563.266711428427,0.00677828411619907,,curated,net_receiver,0
