lgcode,n_firms,emp_total,rev_total,cap_total,n_firms_size_2_9_workers,n_firms_size_1_worker,n_firms_size_10_50_workers,n_firms_size_51plus_workers,n_firms_manufacturing,n_firms_education,n_firms_other_services,n_firms_transport,n_firms_trade_retail,n_firms_health,n_firms_hospitality,n_firms_construction,n_firms_water_waste,n_firms_agriculture,n_firms_arts,n_firms_energy,n_firms_finance,n_firms_prof_tech,n_firms_admin_sup,n_firms_info_comm,n_firms_mining,n_firms_real_estate,n_firms_surviving_trd_tradable_goods,n_firms_surviving_trd_non_tradable_services,n_firms_surviving_trd_tradable_services,n_firms_surviving_trd_non_tradable_utilities,n_firms_surviving_agor_not_ag,n_firms_surviving_agor_agro_processing,n_firms_surviving_agor_agro_downstream_manuf,n_firms_surviving_agor_crop_livestock_primary,n_firms_surviving_agor_forestry_primary,n_firms_surviving_agor_fishery_primary,n_firms_surviving_mtier_medium_low_tech,n_firms_surviving_mtier_low_tech,n_firms_surviving_mtier_high_tech,n_firms_surviving_mtier_medium_high_tech,n_firms_surviving_modern_industrial_sector,n_firms_surviving_modern_other,n_firms_surviving_modern_public_sector,n_firms_surviving_modern_traditional_commerce,n_firms_surviving_modern_traditional_agriculture,n_firms_surviving_modern_modern_services,n_firms_surviving_modern_traditional_services,n_firms_surviving_modern_modern_manuf,median_firm_age_years_wmean,n_firms_finance_prof_info,n_firms_social_services,n_firms_utilities_mining,share_agriculture,share_manufacturing,share_construction,share_trade_retail,share_transport,share_hospitality,share_finance_prof_info,share_social_services,share_other_services,share_utilities_mining,share_size_1_worker,share_size_2_9_workers,share_size_10_50_workers,share_size_51plus_workers,industry_hhi,industry_diversity,n_industries_present,mean_emp_per_firm,log_n_firms,log_emp_total,log_rev_total,log_cap_total,DIST
40706,227,501,104223060,300599070,111,107,9,0,26,11,9,0,139,5,24,0,0,9,0,0,3,1,0,0,0,0,35,188,4,0,201,7,10,0,9,0,1,25,0,0,26,3,16,163,9,4,6,0,6.76211453744493,4,16,0,0.039647577092511,0.114537444933921,0,0.612334801762115,0,0.105726872246696,0.0176211453744493,0.0704845814977974,0.039647577092511,0,0.47136563876652,0.488986784140969,0.039647577092511,0,0.407673348987949,0.592326651012052,7,2.20704845814978,5.42934562895444,6.21860011969173,104223060,300599070,407
40707,422,813,199297212,179034143,188,226,8,0,44,14,38,0,188,43,32,0,23,35,0,0,2,1,0,2,0,0,79,315,5,23,362,16,9,4,31,0,10,34,0,0,44,59,57,220,35,5,2,0,6.08293838862559,5,57,23,0.0829383886255924,0.104265402843602,0,0.445497630331754,0,0.0758293838862559,0.0118483412322275,0.135071090047393,0.0900473933649289,0.0545023696682465,0.535545023696682,0.445497630331754,0.018957345971564,0,0.251431908537544,0.748568091462456,8,1.92654028436019,6.04737217904628,6.70196036600254,199297212,179034143,407
40708,285,646,637493688,255506554,236,44,5,0,20,8,8,1,164,14,51,0,0,17,0,0,1,0,0,1,0,0,37,245,3,0,251,5,12,1,15,1,2,18,0,0,20,8,22,215,16,2,2,0,5.02456140350877,2,22,0,0.0596491228070175,0.0701754385964912,0,0.575438596491228,0.00350877192982456,0.178947368421053,0.00701754385964912,0.0771929824561404,0.0280701754385965,0,0.154385964912281,0.828070175438597,0.0175438596491228,0,0.378442597722376,0.621557402277624,8,2.26666666666667,5.65599181081985,6.4723462945009,637493688,255506554,407
40709,1001,2532,1862863752,1643807171,613,367,20,1,76,22,52,2,462,45,226,2,15,55,3,1,29,2,4,5,0,0,131,816,38,16,896,5,45,36,18,1,10,66,0,0,79,36,67,688,54,36,41,0,5.83716283716284,36,67,16,0.054945054945055,0.0759240759240759,0.001998001998002,0.461538461538462,0.001998001998002,0.225774225774226,0.035964035964036,0.0669330669330669,0.051948051948052,0.015984015984016,0.366633366633367,0.612387612387613,0.01998001998002,0.000999000999000999,0.281510697095113,0.718489302904887,10,2.52947052947053,6.90975328164481,7.83715965000168,1862863752,1643807171,407
40710,866,2482,3771292848,1219960475,579,268,17,2,94,17,35,1,464,22,181,0,3,16,2,0,22,3,1,4,1,0,111,722,30,3,781,19,50,5,11,0,14,80,0,0,94,13,39,645,16,29,30,0,5.27944572748268,29,39,4,0.0184757505773672,0.108545034642032,0,0.535796766743649,0.00115473441108545,0.209006928406466,0.0334872979214781,0.0450346420323326,0.0404157043879908,0.0046189376443418,0.309468822170901,0.668591224018476,0.0196304849884527,0.0023094688221709,0.347691064542453,0.652308935457547,9,2.86605080831409,6.76503897678054,7.81722278550817,3771292848,1219960475,407
40801,2612,6969,7031670936,1006872613245,1483,1059,61,9,347,32,158,3,1487,26,433,3,5,55,4,0,27,15,5,11,0,1,402,2149,56,5,2331,46,180,51,4,0,52,293,1,1,349,30,58,1920,55,53,146,1,4.28598774885146,54,58,5,0.0210566615620214,0.132848392036753,0.00114854517611026,0.569295558958652,0.00114854517611026,0.165773353751914,0.0206738131699847,0.0222052067381317,0.060490045941807,0.00191424196018377,0.405436447166922,0.567764165390505,0.023353751914242,0.00344563552833078,0.374256142576728,0.625743857423272,10,2.66807044410414,7.86825426552061,8.84937050375457,7031670936,1006872613245,408
40802,453,775,341504964,1000253693153,199,251,3,0,36,20,48,0,240,39,27,0,4,5,0,11,22,1,0,0,0,0,41,374,23,15,418,3,27,2,2,1,1,35,0,0,47,47,59,267,4,23,6,0,6,23,59,15,0.011037527593819,0.0794701986754967,0,0.529801324503311,0,0.0596026490066225,0.0507726269315673,0.130242825607064,0.105960264900662,0.033112582781457,0.554083885209713,0.439293598233996,0.00662251655629139,0,0.322544332850898,0.677455667149102,8,1.71081677704194,6.11809719804135,6.65415252018322,341504964,1000253693153,408
40803,435,718,261026940,233712367,166,265,4,0,43,9,32,0,206,27,21,0,10,36,0,16,34,1,0,0,0,0,79,295,35,26,367,13,19,31,5,0,3,40,0,0,59,39,36,227,36,35,3,0,5.48045977011494,35,36,26,0.0827586206896552,0.0988505747126437,0,0.473563218390805,0,0.0482758620689655,0.0804597701149425,0.0827586206896552,0.0735632183908046,0.0597701149425287,0.609195402298851,0.381609195402299,0.00919540229885057,0,0.265519883736293,0.734480116263707,8,1.65057471264368,6.07764224334903,6.57786135772105,261026940,233712367,408
40804,781,1355,770572488,469553729,308,467,6,0,94,10,35,0,425,31,73,0,6,86,0,2,14,4,0,0,1,0,181,574,18,8,614,29,52,85,1,0,6,88,0,0,96,23,41,498,86,18,19,0,4.59411011523688,18,41,9,0.1101152368758,0.120358514724712,0,0.544174135723432,0,0.0934699103713188,0.0230473751600512,0.0524967989756722,0.0448143405889885,0.0115236875800256,0.597951344430218,0.394366197183099,0.00768245838668374,0,0.336901867496447,0.663098132503554,8,1.73495518565941,6.66185474054531,7.21229446850034,770572488,469553729,408
40805,1877,5242,5342569380,2260271862,1037,804,30,6,225,23,87,1,1169,15,283,2,3,17,3,1,26,13,4,3,2,0,244,1586,43,4,1697,39,124,13,3,1,37,186,1,1,226,24,38,1452,16,42,77,2,4.03090037293554,42,38,6,0.00905700586041556,0.119872136387853,0.00106553010122536,0.622802344166223,0.00053276505061268,0.150772509323388,0.0223761321257326,0.0202450719232818,0.0463505594033031,0.00319659030367608,0.428343100692595,0.552477357485349,0.0159829515183804,0.00319659030367608,0.428137033869609,0.571862966130392,10,2.79275439531167,7.53796265976821,8.56464913257253,5342569380,2260271862,408
