dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err,fe_struct,sample
hh,log_remit_amount_12m_rs,migrant HHs only,first_stage_pref,50,0.600244039886257,"",8.56497871284811,60.0244039886257,7.00812062715166,0.403469790209352,0.138703244370805,5124,2111,169,3,5.37656037423716,0.00901640771821632,,hhid + year,HH migrant-only
hh,log_remit_amount_12m_rs,migrant HHs only,first_stage_pref,100,0.978860827018021,**,8.72554665183375,97.8860827018021,11.2183323988338,0.385109437192418,0.0121851243780936,4213,1727,133,3,5.32123777836071,0.00804949863999538,,hhid + year,HH migrant-only
hh,remit_amount_intl_12m_rs,migrant HHs only,first_stage_pref,0,1205.15179468167,"",123599.055152395,120515.179468167,0.975049358747725,17188.9337706858,0.94415450418744,8268,3294,281,3,223150.151446203,0.00300778630332277,,lgcode + year,HH migrant-only
hh,remit_amount_intl_12m_rs,migrant HHs only,first_stage_pref,25,5693.37077959002,"",144245.213595525,569337.077959002,3.9470084571088,17602.0242743563,0.746710365685782,5899,2330,191,3,243146.816263664,0.00341504580043028,,lgcode + year,HH migrant-only
hh,remit_amount_intl_12m_rs,migrant HHs only,first_stage_pref,50,16087.6693200111,"",149331.005422588,1608766.93200111,10.7731607876643,16705.5939729096,0.336926124698852,5348,2111,169,3,249343.396093926,0.00340970556370823,,lgcode + year,HH migrant-only
hh,remit_amount_intl_12m_rs,migrant HHs only,first_stage_pref,100,16706.0235865169,"",157947.393891042,1670602.35865169,10.5769542472106,17863.2514535917,0.351384024895121,4387,1727,133,3,259199.596502309,0.00473065983646381,,lgcode + year,HH migrant-only
hh,remit_amount_intl_12m_rs,migrant HHs only,first_stage_pref,0,3629.49997062697,"",123599.055152395,362949.997062697,2.93651109723443,18936.411654983,0.848141365604061,7899,3294,281,3,223150.151446203,0.00461320949371191,,hhid + year,HH migrant-only
hh,remit_amount_intl_12m_rs,migrant HHs only,first_stage_pref,25,11273.9966058387,"",144245.213595525,1127399.66058387,7.81585490763799,18053.676102654,0.533067467292321,5646,2330,191,3,243146.816263664,0.00637113080440788,,hhid + year,HH migrant-only
hh,remit_amount_intl_12m_rs,migrant HHs only,first_stage_pref,50,19296.3978667056,"",149331.005422588,1929639.78667056,12.9218964354384,17005.2181925896,0.258103245459223,5124,2111,169,3,249343.396093926,0.00602320113046351,,hhid + year,HH migrant-only
hh,remit_amount_intl_12m_rs,migrant HHs only,first_stage_pref,100,22556.524338256,"",157947.393891042,2255652.4338256,14.281036098523,17469.9392456065,0.198904032699836,4213,1727,133,3,259199.596502309,0.00958977172453645,,hhid + year,HH migrant-only
hh,log_remit_amount_intl_12m_rs,migrant HHs only,first_stage_pref,0,-0.588055475462963,"",6.94889480359308,-58.8055475462963,-8.46257559056579,0.484334451631279,0.225712864456518,8268,3294,281,3,5.86910876712147,0.00470808894571662,,lgcode + year,HH migrant-only
hh,log_remit_amount_intl_12m_rs,migrant HHs only,first_stage_pref,25,0.315272620081283,"",7.29852903836602,31.5272620081283,4.31967343589367,0.378950689039687,0.406474739511618,5899,2330,191,3,5.89863650273945,0.00366369764082686,,lgcode + year,HH migrant-only
hh,log_remit_amount_intl_12m_rs,migrant HHs only,first_stage_pref,50,0.726383031951926,**,7.43866782510265,72.6383031951926,9.76496126767029,0.366388987707862,0.0490485280142376,5348,2111,169,3,5.87653548603356,0.00464172841977839,,lgcode + year,HH migrant-only
hh,log_remit_amount_intl_12m_rs,migrant HHs only,first_stage_pref,100,0.906153323967986,**,7.73186976354133,90.6153323967986,11.7197178907596,0.366412067143361,0.0146674777119246,4387,1727,133,3,5.80855809193842,0.00478608049710261,,lgcode + year,HH migrant-only
hh,log_remit_amount_intl_12m_rs,migrant HHs only,first_stage_pref,0,-0.613882804661671,"",6.94889480359308,-61.3882804661671,-8.83425094223975,0.460931748578463,0.183999113025789,7899,3294,281,3,5.86910876712147,0.0100604169414746,,hhid + year,HH migrant-only
hh,log_remit_amount_intl_12m_rs,migrant HHs only,first_stage_pref,25,0.497120929736248,"",7.29852903836602,49.7120929736248,6.81124822718446,0.345232756653386,0.151524715441227,5646,2330,191,3,5.89863650273945,0.00725714091490826,,hhid + year,HH migrant-only
hh,log_remit_amount_intl_12m_rs,migrant HHs only,first_stage_pref,50,0.831874080000576,**,7.43866782510265,83.1874080000576,11.1831056253557,0.340031778641665,0.0154572144715742,5124,2111,169,3,5.87653548603356,0.00978864310139527,,hhid + year,HH migrant-only
hh,log_remit_amount_intl_12m_rs,migrant HHs only,first_stage_pref,100,1.07271723122129,***,7.73186976354133,107.271723122129,13.8739692212556,0.33274111827735,0.00159377722997626,4213,1727,133,3,5.80855809193842,0.0103123778920214,,hhid + year,HH migrant-only
hh,n_migrants_total,migrant HHs only,first_stage_pref,0,-0.0348231918060407,"",1.66509433962264,-3.48231918060407,-2.09136449373389,0.0587269230935908,0.553681122906202,8268,3294,281,3,1.21029644898489,0.00223416226630047,,lgcode + year,HH migrant-only
hh,n_migrants_total,migrant HHs only,first_stage_pref,25,0.0381621859577531,"",1.65841668079336,3.81621859577531,2.30112169032797,0.044257086082602,0.38961816981401,5899,2330,191,3,1.22583177841232,0.00430475437532829,,lgcode + year,HH migrant-only
