outcome_group,dataset,outcome,spec,threshold,lag,treatment_kind,c_mig_log_flag,scale_form,beta,stars,se,pval,mean_y,sd_y,n,n_muni,n_unit,interpret,err
Assets / amenities,census,amen_assets_car,S_log_lin_lag6,100,6,log_int,FALSE,log/lin,-0.00281840403470063,***,0.000919360339877902,0.00236211828109721,0.0159548358937533,0.0191931033735734,626,313,313,-0.28pp (-18% of mean),
Assets / amenities,census,amen_assets_car,S_log_lin_lag7,0,7,log_int,FALSE,log/lin,-0.00340326911733737,***,0.000545446143483744,0.00000000075298290461693,0.0117554383176144,0.0151658398360243,1428,714,714,-0.34pp (-29% of mean),
Assets / amenities,census,amen_assets_car,S_log_lin_lag7,25,7,log_int,FALSE,log/lin,-0.00265777606491314,***,0.000768328309357657,0.000590761740817829,0.0144371932551387,0.0172204882008469,950,475,475,-0.27pp (-18% of mean),
Assets / amenities,census,amen_assets_car,S_log_lin_lag7,50,7,log_int,FALSE,log/lin,-0.00214721455279169,***,0.000785732580288146,0.00655924712679231,0.0150158344865028,0.0180190535994542,802,401,401,-0.21pp (-14% of mean),
Assets / amenities,census,amen_assets_car,S_log_lin_lag7,100,7,log_int,FALSE,log/lin,-0.0027216726592716,***,0.000939177049889179,0.00402225032478535,0.0159548358937533,0.0191931033735734,626,313,313,-0.27pp (-17% of mean),
Assets / amenities,census,amen_assets_car,S_log_lin_lag8,0,8,log_int,FALSE,log/lin,-0.00378896274092635,***,0.000597386329420551,0.000000000401213525654579,0.0117554383176144,0.0151658398360243,1428,714,714,-0.38pp (-32% of mean),
Assets / amenities,census,amen_assets_car,S_log_lin_lag8,25,8,log_int,FALSE,log/lin,-0.00282389602959615,***,0.000808464047957457,0.000522554470581224,0.0144371932551387,0.0172204882008469,950,475,475,-0.28pp (-20% of mean),
Assets / amenities,census,amen_assets_car,S_log_lin_lag8,50,8,log_int,FALSE,log/lin,-0.00205626053996059,**,0.000837254948951662,0.0144753940159297,0.0150158344865028,0.0180190535994542,802,401,401,-0.21pp (-14% of mean),
Assets / amenities,census,amen_assets_car,S_log_lin_lag8,100,8,log_int,FALSE,log/lin,-0.00251254922484472,**,0.000987970095046267,0.0114686113911521,0.0159548358937533,0.0191931033735734,626,313,313,-0.25pp (-16% of mean),
Assets / amenities,census,amen_assets_car,S_log_lin_lag9,0,9,log_int,FALSE,log/lin,-0.0043236808367442,***,0.000699916855071026,0.00000000109471547592031,0.0117554383176144,0.0151658398360243,1428,714,714,-0.43pp (-37% of mean),
Assets / amenities,census,amen_assets_car,S_log_lin_lag9,25,9,log_int,FALSE,log/lin,-0.00282766823403489,***,0.000944052674456837,0.00288582398818225,0.0144371932551387,0.0172204882008469,950,475,475,-0.28pp (-20% of mean),
Assets / amenities,census,amen_assets_car,S_log_lin_lag9,50,9,log_int,FALSE,log/lin,-0.00129538431944367,"",0.00104536298739552,0.216008481485674,0.0150158344865028,0.0180190535994542,802,401,401,-0.13pp (-9% of mean),
Assets / amenities,census,amen_assets_car,S_log_lin_lag9,100,9,log_int,FALSE,log/lin,-0.00116745089935714,"",0.0011879669467802,0.326501719667039,0.0159548358937533,0.0191931033735734,626,313,313,-0.12pp (-7% of mean),
Assets / amenities,census,amen_assets_car,S_log_log_lag6,0,6,log_int,TRUE,log/log,0.00339877824481541,***,0.00125291655714182,0.00683485958541963,0.0117554383176144,0.0151658398360243,1428,714,714,+0.34pp (+29% of mean),
Assets / amenities,census,amen_assets_car,S_log_log_lag6,25,6,log_int,TRUE,log/log,0.0145903980100503,***,0.00339028328587936,0.0000204262331508246,0.0144371932551387,0.0172204882008469,950,475,475,+1.46pp (+101% of mean),
Assets / amenities,census,amen_assets_car,S_log_log_lag6,50,6,log_int,TRUE,log/log,0.0102782526251934,**,0.00469587063640419,0.0291899559336042,0.0150158344865028,0.0180190535994542,802,401,401,+1.03pp (+68% of mean),
Assets / amenities,census,amen_assets_car,S_log_log_lag6,100,6,log_int,TRUE,log/log,0.0033175610473835,"",0.00533704776982304,0.534652417359193,0.0159548358937533,0.0191931033735734,626,313,313,+0.33pp (+21% of mean),
Assets / amenities,census,amen_assets_car,S_log_log_lag7,0,7,log_int,TRUE,log/log,0.00136724087406686,"",0.00126913160393858,0.281708716880584,0.0117554383176144,0.0151658398360243,1428,714,714,+0.14pp (+12% of mean),
Assets / amenities,census,amen_assets_car,S_log_log_lag7,25,7,log_int,TRUE,log/log,0.0152756111441329,***,0.00448167219902934,0.000709019976598012,0.0144371932551387,0.0172204882008469,950,475,475,+1.53pp (+106% of mean),
Assets / amenities,census,amen_assets_car,S_log_log_lag7,50,7,log_int,TRUE,log/log,0.0148719943810856,***,0.00533161651259979,0.00553305756755912,0.0150158344865028,0.0180190535994542,802,401,401,+1.49pp (+99% of mean),
Assets / amenities,census,amen_assets_car,S_log_log_lag7,100,7,log_int,TRUE,log/log,0.00887682948949321,"",0.00607726386046584,0.145114442265193,0.0159548358937533,0.0191931033735734,626,313,313,+0.89pp (+56% of mean),
