dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err,grid_c_mig,grid_c_fx,grid_block_set,grid_treatment
census,edu_attain_primary_plus,Education,tx_log_int_nocmig_cfx_blk_none,0,-0.0124136578643341,***,0.853466198332302,-1.24136578643341,-1.45449906376969,0.00152958060914207,2.11566461919747e-15,2142,714,714,3,0.114726573735517,0.038520882365387,,FALSE,TRUE,none,log_int
census,edu_attain_secondary_plus,Education,tx_log_int_nocmig_cfx_blk_none,0,-0.00855656444044315,***,0.549112487257879,-0.855656444044315,-1.558253479751,0.00150710328772395,1.98979488588559e-08,2142,714,714,3,0.144188510611148,0.0287617741948943,,FALSE,TRUE,none,log_int
census,edu_attain_higher_secondary_plus,Education,tx_log_int_nocmig_cfx_blk_none,0,0.0028715806707455,***,0.128158559426947,0.28715806707455,2.24064680781807,0.00107380423180959,0.00766208308473968,2142,714,714,3,0.0794445436000049,0.0119391187693004,,FALSE,TRUE,none,log_int
census,edu_attain_tertiary,Education,tx_log_int_nocmig_cfx_blk_none,0,0.000879016919624725,*,0.0490636358651743,0.0879016919624725,1.79158536485197,0.000486814447766031,0.071394544068857,2142,714,714,3,0.0398183907471633,0.00917083170342403,,FALSE,TRUE,none,log_int
census,edu_years_mean,Education,tx_log_int_nocmig_cfx_blk_none,0,-0.0423266812007732,***,7.1078787839108,-4.23266812007732,-0.59548963182353,0.0144533287658117,0.00351454175679206,2142,714,714,3,1.43692989665145,0.00596654429461707,,FALSE,TRUE,none,log_int
census,housing_own,Housing,tx_log_int_nocmig_cfx_blk_none,0,0.00110981402754904,*,0.929920629002053,0.110981402754904,0.119345027192271,0.000626208136337362,0.0767756289554062,2142,714,714,3,0.089909924759792,0.00447141683981223,,FALSE,TRUE,none,log_int
census,housing_rented,Housing,tx_log_int_nocmig_cfx_blk_none,0,-0.00226915227068249,***,0.051270415611312,-0.226915227068249,-4.42585113388829,0.000530668131711573,2.16166429262719e-05,2142,714,714,3,0.0815671838193877,0.0115810717488506,,FALSE,TRUE,none,log_int
census,housing_foundation_modern,Housing,tx_log_int_nocmig_cfx_blk_none,0,0.00500602880376257,*,0.240715241721307,0.500602880376257,2.07964762345976,0.00295946816082881,0.0911726197773666,1428,714,714,2,0.244758420920797,0.0120541833699457,,FALSE,TRUE,none,log_int
census,housing_foundation_traditional,Housing,tx_log_int_nocmig_cfx_blk_none,0,-0.00386868166620971,"",0.754381212555889,-0.386868166620971,-0.512828474757793,0.00293030275537116,0.187180983181829,1428,714,714,2,0.243936462899943,0.010737886898304,,FALSE,TRUE,none,log_int
census,housing_roof_modern,Housing,tx_log_int_nocmig_cfx_blk_none,0,0.00770480293018772,*,0.54272975531938,0.770480293018772,1.41963893718222,0.0042090025164234,0.0675845107001941,1428,714,714,2,0.336008424083018,0.0044532137059714,,FALSE,TRUE,none,log_int
census,housing_roof_traditional,Housing,tx_log_int_nocmig_cfx_blk_none,0,0.00695641910095611,*,0.153228753737781,0.695641910095611,4.53989145722648,0.00417307348511046,0.0959580596338386,1428,714,714,2,0.198157309122645,0.00610419070400947,,FALSE,TRUE,none,log_int
census,fem_ownership_house,Female Ownership,tx_log_int_nocmig_cfx_blk_none,0,-0.00237590196753537,***,0.0788328684231063,-0.237590196753537,-3.01384690809878,0.000867067700344968,0.00629459874592443,2142,714,714,3,0.0536354502970384,0.00766646604581434,,FALSE,TRUE,none,log_int
census,fem_ownership_land,Female Ownership,tx_log_int_nocmig_cfx_blk_none,0,-0.000457191576309755,"",0.14464779509554,-0.0457191576309755,-0.316072274733106,0.00101395023191924,0.652197708198112,2142,714,714,3,0.083081539485376,0.00194115401727346,,FALSE,TRUE,none,log_int
census,fem_ownership_both,Female Ownership,tx_log_int_nocmig_cfx_blk_none,0,-0.00120901749904478,*,0.0713804660104904,-0.120901749904478,-1.69376520863158,0.000667378208778119,0.070469783271352,2142,714,714,3,0.0484806960310248,0.00275020163817019,,FALSE,TRUE,none,log_int
census,fem_ownership_livestock,Female Ownership,tx_log_int_nocmig_cfx_blk_none,0,0.000139923595556424,"",0.0831342948278826,0.0139923595556424,0.168310317476217,0.00261762979462271,0.957384906818458,714,714,714,1,0.0557990550548397,,1-year outcome: cross-section (no entity FE),FALSE,TRUE,none,log_int
