outcome_group,dataset,outcome,spec,threshold,lag,treatment_kind,c_mig_log_flag,beta,stars,se,pval,mean_y,sd_y,n,n_muni,interpret,err
Assets / amenities,census,amen_assets_car,S_lag1,0,1,log_int,FALSE,-0.0026414129076457,***,0.000503318379914957,0.000000203038769028206,0.0117554383176144,0.0151658398360243,1428,714,-0.26pp (-22% of mean),
Assets / amenities,census,amen_assets_car,S_lag1,25,1,log_int,FALSE,-0.00244811225559813,***,0.000737782697992223,0.000975721611417634,0.0144371932551387,0.0172204882008469,950,475,-0.24pp (-17% of mean),
Assets / amenities,census,amen_assets_car,S_lag1,50,1,log_int,FALSE,-0.00217608043238211,***,0.000750222421154651,0.003930333506036,0.0150158344865028,0.0180190535994542,802,401,-0.22pp (-14% of mean),
Assets / amenities,census,amen_assets_car,S_lag1,100,1,log_int,FALSE,-0.00290773612743388,***,0.000911813983638324,0.00157285712705758,0.0159548358937533,0.0191931033735734,626,313,-0.29pp (-18% of mean),
Assets / amenities,census,amen_assets_car,S_lag2,0,2,log_int,FALSE,-0.00288323955406276,***,0.00054134812324357,0.000000134701938348701,0.0117554383176144,0.0151658398360243,1428,714,-0.29pp (-25% of mean),
Assets / amenities,census,amen_assets_car,S_lag2,25,2,log_int,FALSE,-0.0024341122770909,***,0.000745062651159721,0.0011658325464072,0.0144371932551387,0.0172204882008469,950,475,-0.24pp (-17% of mean),
Assets / amenities,census,amen_assets_car,S_lag2,50,2,log_int,FALSE,-0.00209263448417262,***,0.000755495445239233,0.00586888769648464,0.0150158344865028,0.0180190535994542,802,401,-0.21pp (-14% of mean),
Assets / amenities,census,amen_assets_car,S_lag2,100,2,log_int,FALSE,-0.00282363518040352,***,0.000912566722210233,0.00215233476263979,0.0159548358937533,0.0191931033735734,626,313,-0.28pp (-18% of mean),
Assets / amenities,census,amen_assets_car,S_lag3,0,3,log_int,FALSE,-0.00252838219953208,***,0.000500381643389414,0.000000553484978163897,0.0117554383176144,0.0151658398360243,1428,714,-0.25pp (-22% of mean),
Assets / amenities,census,amen_assets_car,S_lag3,25,3,log_int,FALSE,-0.00233601828284783,***,0.000734143356953021,0.00155884118741209,0.0144371932551387,0.0172204882008469,950,475,-0.23pp (-16% of mean),
Assets / amenities,census,amen_assets_car,S_lag3,50,3,log_int,FALSE,-0.00207489698182799,***,0.000743502250508732,0.00551114467964692,0.0150158344865028,0.0180190535994542,802,401,-0.21pp (-14% of mean),
Assets / amenities,census,amen_assets_car,S_lag3,100,3,log_int,FALSE,-0.00278264551834849,***,0.000906522035927226,0.00233186756962908,0.0159548358937533,0.0191931033735734,626,313,-0.28pp (-17% of mean),
Assets / amenities,census,amen_assets_car,S_lag4,0,4,log_int,FALSE,-0.00232575712590423,***,0.000484388434224325,0.00000192046823489233,0.0117554383176144,0.0151658398360243,1428,714,-0.23pp (-20% of mean),
Assets / amenities,census,amen_assets_car,S_lag4,25,4,log_int,FALSE,-0.00230007878492467,***,0.00073405788934378,0.00183516141237496,0.0144371932551387,0.0172204882008469,950,475,-0.23pp (-16% of mean),
