hhid,year,any_shock,coped_self,coped_external,cope_category
707,2017,1,0,0,neither
708,2016,1,0,0,neither
708,2017,1,0,0,neither
708,2018,1,0,0,neither
711,2016,1,1,0,self_only
711,2018,1,0,0,neither
712,2016,1,0,1,external_only
713,2017,1,0,0,neither
715,2016,1,1,0,self_only
716,2016,1,1,0,self_only
716,2017,1,0,0,neither
716,2018,1,0,0,neither
717,2016,1,0,0,neither
717,2018,1,0,0,neither
718,2016,1,0,0,neither
718,2017,1,0,0,neither
718,2018,1,0,0,neither
719,2016,1,1,1,both
720,2016,1,1,0,self_only
720,2018,1,1,0,self_only
721,2016,1,0,0,neither
722,2016,1,0,1,external_only
725,2016,1,0,0,neither
725,2017,1,0,0,neither
726,2018,1,0,1,external_only
727,2016,1,1,1,both
728,2016,1,0,0,neither
729,2016,1,0,0,neither
729,2017,1,0,0,neither
729,2018,1,0,0,neither
730,2017,1,0,0,neither
731,2017,1,1,0,self_only
732,2016,1,1,1,both
732,2017,1,0,0,neither
733,2016,1,0,0,neither
733,2017,1,1,0,self_only
734,2016,1,0,0,neither
734,2017,1,1,0,self_only
735,2016,1,0,1,external_only
737,2016,1,0,0,neither
737,2017,1,0,0,neither
738,2016,1,1,0,self_only
739,2016,1,1,0,self_only
740,2017,1,0,0,neither
740,2018,1,0,0,neither
741,2016,1,0,0,neither
742,2016,1,0,0,neither
743,2016,1,0,1,external_only
744,2016,1,0,0,neither
744,2017,1,0,0,neither
745,2016,1,0,0,neither
745,2018,1,0,0,neither
746,2016,1,1,0,self_only
747,2016,1,1,1,both
747,2018,1,0,0,neither
748,2016,1,1,0,self_only
748,2018,1,1,1,both
749,2016,1,0,0,neither
749,2017,1,0,0,neither
750,2016,1,1,0,self_only
751,2017,1,0,0,neither
752,2016,1,1,0,self_only
753,2016,1,0,0,neither
754,2016,1,0,0,neither
754,2018,1,0,0,neither
755,2016,1,1,0,self_only
756,2016,1,1,1,both
757,2017,1,1,0,self_only
758,2016,1,1,0,self_only
758,2017,1,0,1,external_only
759,2016,1,1,1,both
759,2018,1,0,0,neither
760,2016,1,1,1,both
760,2017,1,0,0,neither
761,2018,1,0,0,neither
762,2016,1,0,1,external_only
762,2017,1,0,0,neither
763,2016,1,0,0,neither
763,2018,1,0,0,neither
764,2016,1,0,0,neither
764,2017,1,1,0,self_only
764,2018,1,0,0,neither
765,2016,1,1,0,self_only
766,2016,1,1,0,self_only
767,2016,1,0,0,neither
768,2017,1,0,0,neither
769,2016,1,1,0,self_only
769,2018,1,1,0,self_only
771,2016,1,0,0,neither
773,2016,1,1,0,self_only
774,2016,1,1,0,self_only
775,2016,1,1,0,self_only
776,2016,1,1,0,self_only
777,2016,1,1,1,both
777,2017,1,0,0,neither
780,2017,1,0,0,neither
782,2016,1,1,0,self_only
783,2016,1,0,0,neither
784,2016,1,0,1,external_only
784,2017,1,0,0,neither
785,2016,1,0,1,external_only
785,2018,1,0,0,neither
786,2017,1,0,0,neither
787,2016,1,0,0,neither
788,2016,1,0,1,external_only
789,2016,1,1,0,self_only
789,2018,1,0,0,neither
790,2016,1,0,1,external_only
790,2017,1,0,0,neither
791,2016,1,0,0,neither
791,2017,1,0,1,external_only
791,2018,1,0,0,neither
793,2016,1,0,1,external_only
793,2018,1,0,0,neither
795,2016,1,0,1,external_only
796,2016,1,0,0,neither
796,2017,1,1,0,self_only
796,2018,1,1,0,self_only
797,2016,1,1,1,both
798,2016,1,1,1,both
798,2017,1,1,1,both
799,2016,1,1,0,self_only
800,2018,1,0,1,external_only
801,2016,1,0,0,neither
801,2018,1,0,1,external_only
802,2016,1,0,0,neither
802,2017,1,0,0,neither
803,2016,1,0,0,neither
805,2016,1,1,1,both
808,2016,1,1,0,self_only
809,2016,1,0,0,neither
810,2016,1,0,0,neither
810,2017,1,0,0,neither
811,2016,1,0,0,neither
812,2016,1,0,0,neither
813,2016,1,1,0,self_only
813,2017,1,1,1,both
814,2016,1,1,1,both
814,2017,1,0,0,neither
814,2018,1,0,0,neither
815,2016,1,1,1,both
817,2016,1,1,1,both
818,2016,1,0,0,neither
819,2016,1,1,1,both
820,2016,1,0,1,external_only
821,2016,1,0,0,neither
822,2016,1,1,1,both
822,2017,1,0,0,neither
823,2016,1,1,0,self_only
823,2017,1,0,0,neither
823,2018,1,0,0,neither
824,2016,1,0,0,neither
825,2016,1,1,0,self_only
826,2016,1,1,0,self_only
826,2018,1,1,0,self_only
827,2016,1,0,0,neither
828,2016,1,0,0,neither
828,2017,1,0,0,neither
828,2018,1,0,0,neither
829,2016,1,1,0,self_only
830,2016,1,1,0,self_only
831,2016,1,1,0,self_only
832,2017,1,0,0,neither
833,2016,1,1,0,self_only
833,2017,1,0,0,neither
834,2016,1,0,0,neither
835,2016,1,1,1,both
836,2016,1,1,1,both
837,2016,1,0,1,external_only
838,2016,1,0,0,neither
838,2017,1,0,0,neither
838,2018,1,0,0,neither
839,2016,1,0,0,neither
840,2016,1,1,1,both
841,2016,1,0,0,neither
842,2016,1,0,0,neither
843,2016,1,0,0,neither
844,2016,1,0,0,neither
845,2016,1,0,0,neither
846,2016,1,1,1,both
846,2017,1,0,0,neither
847,2016,1,0,0,neither
852,2016,1,1,1,both
852,2017,1,0,0,neither
852,2018,1,0,0,neither
853,2016,1,0,0,neither
854,2016,1,0,0,neither
855,2016,1,0,0,neither
856,2016,1,0,1,external_only
856,2017,1,1,0,self_only
857,2016,1,0,0,neither
858,2016,1,1,0,self_only
859,2016,1,0,0,neither
859,2017,1,0,0,neither
860,2016,1,0,1,external_only
861,2016,1,0,1,external_only
862,2016,1,0,1,external_only
862,2017,1,0,0,neither
862,2018,1,0,0,neither
863,2017,1,0,0,neither
864,2016,1,1,0,self_only
865,2016,1,0,0,neither
866,2016,1,0,1,external_only
867,2016,1,0,1,external_only
867,2017,1,0,0,neither
868,2016,1,1,0,self_only
869,2016,1,1,0,self_only
870,2016,1,1,1,both
870,2017,1,0,0,neither
871,2016,1,1,1,both
871,2018,1,0,0,neither
872,2016,1,0,1,external_only
873,2016,1,0,0,neither
873,2017,1,0,0,neither
875,2016,1,0,0,neither
875,2017,1,0,0,neither
876,2016,1,0,1,external_only
876,2017,1,0,0,neither
876,2018,1,0,1,external_only
877,2016,1,1,0,self_only
877,2018,1,1,0,self_only
878,2018,1,0,0,neither
879,2016,1,0,0,neither
879,2017,1,0,0,neither
880,2016,1,1,0,self_only
881,2016,1,0,0,neither
881,2017,1,0,0,neither
881,2018,1,0,0,neither
882,2016,1,0,1,external_only
882,2018,1,0,0,neither
883,2016,1,1,1,both
884,2016,1,0,0,neither
884,2017,1,0,0,neither
886,2017,1,0,0,neither
888,2016,1,0,0,neither
888,2018,1,0,0,neither
890,2016,1,0,0,neither
890,2017,1,0,0,neither
892,2016,1,0,0,neither
893,2017,1,0,0,neither
894,2016,1,0,0,neither
895,2016,1,0,1,external_only
896,2017,1,0,0,neither
897,2016,1,1,1,both
897,2018,1,0,0,neither
898,2016,1,1,0,self_only
898,2017,1,0,1,external_only
899,2016,1,0,0,neither
901,2016,1,1,0,self_only
901,2018,1,0,0,neither
902,2016,1,1,1,both
902,2017,1,0,0,neither
903,2016,1,0,1,external_only
904,2016,1,1,1,both
906,2016,1,1,0,self_only
908,2016,1,0,0,neither
908,2017,1,0,0,neither
908,2018,1,0,1,external_only
909,2016,1,0,0,neither
910,2016,1,0,0,neither
911,2016,1,0,0,neither
913,2016,1,1,0,self_only
914,2016,1,0,1,external_only
914,2018,1,1,1,both
915,2016,1,0,0,neither
916,2016,1,0,0,neither
916,2018,1,0,1,external_only
917,2016,1,1,1,both
917,2017,1,0,0,neither
918,2016,1,0,1,external_only
918,2017,1,0,0,neither
919,2016,1,0,0,neither
920,2016,1,0,0,neither
920,2017,1,1,1,both
921,2016,1,0,0,neither
922,2016,1,0,1,external_only
922,2018,1,0,0,neither
923,2016,1,1,0,self_only
923,2017,1,0,0,neither
924,2016,1,1,0,self_only
925,2016,1,0,0,neither
925,2018,1,0,0,neither
926,2016,1,0,1,external_only
926,2017,1,1,1,both
927,2017,1,0,0,neither
928,2017,1,0,0,neither
929,2016,1,0,0,neither
930,2016,1,1,0,self_only
931,2016,1,0,0,neither
932,2016,1,0,0,neither
932,2018,1,0,0,neither
933,2016,1,1,0,self_only
933,2018,1,0,0,neither
934,2016,1,1,0,self_only
935,2016,1,1,0,self_only
935,2017,1,0,0,neither
937,2016,1,0,1,external_only
938,2016,1,0,1,external_only
938,2017,1,0,0,neither
939,2016,1,0,0,neither
939,2017,1,1,0,self_only
940,2016,1,1,0,self_only
941,2016,1,0,0,neither
941,2018,1,0,0,neither
942,2016,1,0,0,neither
942,2017,1,0,0,neither
942,2018,1,0,0,neither
943,2016,1,0,0,neither
943,2017,1,0,0,neither
943,2018,1,0,0,neither
944,2016,1,1,1,both
944,2018,1,1,0,self_only
945,2016,1,0,0,neither
946,2016,1,0,0,neither
946,2017,1,0,0,neither
947,2016,1,1,0,self_only
947,2017,1,0,0,neither
949,2017,1,1,0,self_only
949,2018,1,1,0,self_only
950,2016,1,1,0,self_only
951,2016,1,0,1,external_only
951,2018,1,0,0,neither
952,2016,1,1,0,self_only
953,2017,1,0,0,neither
954,2016,1,1,0,self_only
954,2017,1,0,0,neither
956,2016,1,0,1,external_only
958,2016,1,1,0,self_only
959,2016,1,0,0,neither
960,2016,1,1,0,self_only
960,2017,1,1,0,self_only
962,2016,1,1,0,self_only
963,2016,1,1,1,both
963,2018,1,0,0,neither
964,2016,1,0,0,neither
965,2016,1,1,0,self_only
966,2016,1,0,0,neither
966,2017,1,0,0,neither
968,2016,1,0,0,neither
969,2016,1,0,1,external_only
