hhid,year,any_shock,n_shocks,total_loss_rs,mean_loss_per_shock_rs,health_shock_any,death_shock_any,natural_disaster_shock_any,agricultural_shock_any,economic_shock_any,other_shock_any,any_coping_reported,cope_self_insurance_any,cope_credit_or_asset_any,cope_external_support_any,cope_savings_any,cope_borrow_any,cope_sell_assets_any,cope_family_community_any,cope_public_private_aid_any,cope_migration_remittance_any,main_coping_savings_consumption,main_coping_borrow,main_coping_sell_assets,main_coping_external_support,severe_loss_any,multiple_shocks
28,2016,1,8,240100,30012.5,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1
29,2017,1,1,250000,250000,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0
30,2016,1,3,27500,9166.666666666666,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1
31,2016,1,2,5000,2500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,2017,1,1,5000,5000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2016,1,1,200000,200000,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
32,2017,1,2,40000,20000,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1
34,2016,1,1,30000,30000,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0
35,2017,1,1,5500,5500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,2016,1,1,300000,300000,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
37,2017,1,1,4200,4200,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
38,2018,1,2,12150,6075,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
39,2016,1,2,35000,17500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
40,2016,1,2,60000,30000,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
41,2016,1,1,45000,45000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
42,2016,1,1,80000,80000,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
42,2018,1,1,20000,20000,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0
43,2016,1,2,97800,48900,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
43,2017,1,2,114450,57225,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
44,2017,1,1,350000,350000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
45,2016,1,2,40000,20000,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
46,2016,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,2016,1,2,43800,21900,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1
48,2016,1,2,6500,3250,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
48,2018,1,1,15000,15000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
49,2016,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2016,1,1,35000,35000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
52,2016,1,1,8000,8000,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
52,2017,1,2,19500,9750,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
52,2018,1,1,40000,40000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
53,2017,1,1,10500,10500,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
54,2016,1,2,10000,5000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
55,2016,1,6,35900,5983.333333333333,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1
55,2017,1,1,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,2016,1,1,5000,5000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2016,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2018,1,1,30000,30000,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
59,2016,1,1,51000,51000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,2016,1,1,15000,15000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,2016,1,6,195000,32500,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1
62,2016,1,1,15000,15000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62,2017,1,1,850,850,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2016,1,2,450000,225000,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
64,2016,1,2,850000,425000,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1
64,2017,1,1,30000,30000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
65,2016,1,4,139500,34875,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1
65,2017,1,1,9500,9500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
66,2016,1,2,15500,7750,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
67,2018,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68,2016,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2018,1,1,80000,80000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
70,2017,1,1,50000,50000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
70,2018,1,1,65000,65000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
72,2016,1,3,830000,276666.6666666667,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1
73,2016,1,2,5000,2500,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
74,2017,1,1,15000,15000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2016,1,1,8000,8000,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0
75,2017,1,1,12850,12850,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,2016,1,3,28000,9333.333333333334,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
77,2016,1,1,300000,300000,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
77,2017,1,1,2500,2500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
77,2018,1,1,150000,150000,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0
78,2016,1,1,60000,60000,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
79,2016,1,1,400000,400000,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
79,2017,1,2,23050,11525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
79,2018,1,1,8000,8000,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
80,2016,1,2,8000,4000,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
80,2017,1,1,6640,6640,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81,2016,1,4,217000,54250,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1
81,2017,1,1,7000,7000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82,2016,1,1,600000,600000,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
83,2016,1,1,10000,10000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2016,1,2,7000,3500,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
84,2017,1,1,60000,60000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
84,2018,1,1,18000,18000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
85,2016,1,3,72000,24000,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1
86,2016,1,3,26500,8833.333333333334,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1
86,2017,1,1,10000,10000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,2016,1,1,6000,6000,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
87,2018,1,1,150000,150000,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
89,2016,1,1,50000,50000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
89,2018,1,1,30000,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
90,2016,1,2,8000,4000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
90,2017,1,3,27025,9008.333333333334,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
91,2016,1,1,100000,100000,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
91,2017,1,1,18900,18900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
91,2018,1,1,5000,5000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2016,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2017,1,1,50000,50000,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
93,2016,1,1,3000,3000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2017,1,1,10000,10000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2016,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2018,1,1,22500,22500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,2016,1,2,17500,8750,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
96,2016,1,1,10000,10000,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
96,2017,1,1,50000,50000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
97,2016,1,2,5000,2500,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
98,2016,1,2,20000,10000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
99,2016,1,1,5000,5000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
99,2017,1,1,7020,7020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
99,2018,1,1,4500,4500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2016,1,2,12000,6000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
100,2017,1,1,17000,17000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
101,2016,1,1,25000,25000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2016,1,2,45000,22500,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1
102,2018,1,1,24600,24600,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0
103,2016,1,4,66000,16500,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1
103,2017,1,1,150000,150000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
103,2018,1,1,45000,45000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
104,2016,1,2,25000,12500,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
105,2016,1,2,62000,31000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
105,2017,1,1,11200,11200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
106,2016,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2016,1,1,15000,15000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2017,1,2,8000,4000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107,2018,1,1,25000,25000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,2016,1,1,1600,1600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2017,1,2,162000,81000,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
109,2016,1,1,100000,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
109,2017,1,2,53000,26500,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1
110,2016,1,1,100000,100000,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0
110,2017,1,1,400000,400000,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0
111,2016,1,3,95000,31666.666666666668,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1
111,2018,1,1,300000,300000,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
112,2016,1,1,30000,30000,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
112,2017,1,1,1000000,1000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
112,2018,1,1,100000,100000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
113,2016,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,2016,1,1,4500,4500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2016,1,1,12000,12000,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0
117,2016,1,1,50000,50000,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
118,2016,1,1,350000,350000,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0
119,2016,1,1,300000,300000,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0
119,2017,1,1,6000,6000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
120,2017,1,2,380000,190000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
121,2018,1,1,30000,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
122,2016,1,2,23000,11500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
122,2017,1,2,117700,58850,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
122,2018,1,1,30000,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
123,2016,1,2,5500,2750,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
124,2016,1,1,50000,50000,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0
125,2018,1,1,120000,120000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
126,2016,1,1,5000,5000,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
127,2016,1,2,203000,101500,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1
127,2017,1,1,100000,100000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
127,2018,1,1,17000,17000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
129,2016,1,2,55000,27500,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1
130,2016,1,1,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2018,1,1,35000,35000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
131,2016,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2016,1,1,5000,5000,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
132,2018,1,1,150000,150000,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0
133,2016,1,6,44500,7416.666666666667,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1
133,2017,1,2,1015500,507750,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
134,2016,1,1,250000,250000,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
136,2016,1,1,150000,150000,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0
137,2016,1,1,75000,75000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
137,2017,1,1,6250,6250,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,2016,1,1,5000,5000,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0
138,2018,1,1,60000,60000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
139,2016,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
141,2016,1,2,6500,3250,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
141,2017,1,1,15000,15000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
141,2018,1,1,12000,12000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
142,2016,1,1,20000,20000,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
143,2016,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
146,2016,1,2,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
147,2016,1,2,6200,3100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
147,2018,1,1,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
148,2018,1,1,25000,25000,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
149,2016,1,1,17000,17000,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0
149,2017,1,1,32000,32000,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
150,2016,1,1,50000,50000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
150,2017,1,1,7000,7000,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
150,2018,1,2,15000,7500,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
152,2016,1,2,155000,77500,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1
153,2016,1,2,17000,8500,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
153,2017,1,1,100000,100000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
154,2016,1,3,152000,50666.666666666664,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
154,2017,1,3,60000,20000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
155,2016,1,1,8500,8500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,2016,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,2016,1,2,38000,19000,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
159,2016,1,2,2000,1000,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
160,2016,1,2,8000,4000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
160,2017,1,1,200000,200000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
161,2016,1,1,15000,15000,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
161,2018,1,1,40000,40000,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
162,2016,1,2,35000,17500,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
163,2017,1,1,1000,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,2016,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,2017,1,1,24500,24500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
165,2016,1,2,35000,17500,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1
166,2016,1,2,7200,3600,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
167,2016,1,1,20000,20000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
168,2016,1,1,2627,2627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
169,2016,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
