hhid,year,wt_hh,psu,vdc,vmun_code,lgname,district77,district_name,s00q03a,s00q03b,s00q03c,has_nonag_enterprise,n_nonag_enterprises,n_enterprises_valid_sector,n_full_owned,n_partial_owned,enterprise_workers_total,enterprise_workers_mean,enterprise_revenue_12m,enterprise_expenses_12m,enterprise_profit_12m,enterprise_capex_12m,enterprise_asset_sales_12m,enterprise_rev_per_firm,enterprise_profit_per_firm,enterprise_rev_per_worker,enterprise_profit_margin,ind_agri_forestry_fish,ind_mining_quarrying,ind_manufacturing,ind_electricity_gas_water,ind_water_waste,ind_construction,ind_wholesale_retail,ind_accommodation_food,ind_transport_storage,ind_information_comm,ind_financial_insurance,ind_real_estate,ind_professional_technical,ind_public_admin_defence,ind_education,ind_health_social,ind_others,sector_agriculture_share,sector_manufacturing_construction_share,sector_services_share
11,2018,487.4611206054687,7,Kankada,31204,Raksirang Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Raksingrang,7,1,1,1,1,0,1,1,25000,2000,23000,0,0,25000,23000,25000,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
12,2016,634.085205078125,5,Darakh,70805,Ghodaghodi Municipality,Kailali,Kailali,Municipality,Ghodaghodi,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,634.085205078125,5,Darakh,70805,Ghodaghodi Municipality,Kailali,Kailali,Municipality,Ghodaghodi,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,634.085205078125,5,Darakh,70805,Ghodaghodi Municipality,Kailali,Kailali,Municipality,Ghodaghodi,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2016,666.9111328125,5,Sitapur,51104,Khajura Gaunpalika,Banke,Banke,Rural municipality,khajura,2,1,1,1,0,0,1,1,1650000,6000,1644000,1320000,330000,1650000,1644000,1650000,0.9963636363636363,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
13,2017,666.9111328125,5,Sitapur,51104,Khajura Gaunpalika,Banke,Banke,Rural municipality,khajura,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,666.9111328125,5,Sitapur,51104,Khajura Gaunpalika,Banke,Banke,Rural municipality,khajura,2,1,1,1,1,0,1,1,360000,78000,282000,50000,6500,360000,282000,360000,0.7833333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,2016,585.5533447265625,1,Mahankal,30204,Helambu Gaunpalika,Sindhupalchok,Sindhupalchok,Rural municipality,helambu,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2017,585.5533447265625,1,Mahankal,30204,Helambu Gaunpalika,Sindhupalchok,Sindhupalchok,Rural municipality,helambu,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018,585.5533447265625,1,Mahankal,30204,Helambu Gaunpalika,Sindhupalchok,Sindhupalchok,Rural municipality,helambu,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016,634.085205078125,3,Durgauli,70808,Janaki Gaunpalika,Kailali,Kailali,Rural municipality,Janaki,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2017,634.085205078125,3,Durgauli,70808,Janaki Gaunpalika,Kailali,Kailali,Rural municipality,Janaki,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,634.085205078125,3,Durgauli,70808,Janaki Gaunpalika,Kailali,Kailali,Rural municipality,Janaki,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2016,990.53192138671875,9,Dhaubini,20811,Dhobini Gaunpalika,Parsa,Parsa,Rural municipality,Dhaubni Rural Municipality,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2017,990.53192138671875,9,Dhaubini,20811,Dhobini Gaunpalika,Parsa,Parsa,Rural municipality,Dhaubni Rural Municipality,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2018,990.53192138671875,9,Dhaubini,20811,Dhobini Gaunpalika,Parsa,Parsa,Rural municipality,Dhaubni Rural Municipality,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2016,487.4611206054687,8,Kharelthok,30906,Panchkhal Municipality,Kabhrepalanchok,Kabhrepalanchok,Municipality,Pachkhal,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2017,487.4611206054687,8,Kharelthok,30906,Panchkhal Municipality,Kabhrepalanchok,Kabhrepalanchok,Municipality,Pachkhal,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2018,487.4611206054687,8,Kharelthok,30906,Panchkhal Municipality,Kabhrepalanchok,Kabhrepalanchok,Municipality,Pachkhal,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2016,487.4611206054687,5,Faparbari,31210,Bagmati Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Bagmati,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2017,487.4611206054687,5,Faparbari,31210,Bagmati Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Bagmati,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2018,487.4611206054687,5,Faparbari,31210,Bagmati Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Bagmati,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2016,990.53192138671875,2,Hathiyon,20516,Balara Municipality,Sarlahi,Sarlahi,Municipality,Balra,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2017,990.53192138671875,2,Hathiyon,20516,Balara Municipality,Sarlahi,Sarlahi,Municipality,Balra,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2018,990.53192138671875,2,Hathiyon,20516,Balara Municipality,Sarlahi,Sarlahi,Municipality,Balra,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2016,544.4632568359375,7,Ketuke,10408,Manebhanjyang Gaunpalika,Okhaldhunga,Okhaldhunga,Rural municipality,Manabhangyang,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2017,544.4632568359375,7,Ketuke,10408,Manebhanjyang Gaunpalika,Okhaldhunga,Okhaldhunga,Rural municipality,Manabhangyang,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2018,544.4632568359375,7,Ketuke,10408,Manebhanjyang Gaunpalika,Okhaldhunga,Okhaldhunga,Rural municipality,Manabhangyang,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2016,487.4611206054687,4,Ganeshthan,30503,Suryagadhi Gaunpalika,Nuwakot,Nuwakot,Rural municipality,Surya Gadi,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
