hhid,year,wt_hh,psu,vdc,vmun_code,lgname,district77,district_name,s00q03a,s00q03b,s00q03c,agri_hh,owned_plots_n,owned_area_sqm,cultivated_area_sqm,rented_in_area_sqm,rented_in_any,plot_wet_farmed_share,plot_wet_rented_share,plot_wet_shared_share,plot_wet_fallow_share,plot_dry_farmed_share,plot_dry_rented_share,plot_dry_shared_share,plot_dry_fallow_share,double_crop_share,wet_use_seed,wet_use_fertiliser,wet_use_pesticide,wet_use_equipment,wet_use_hired_labour,dry_use_seed,dry_use_fertiliser,dry_use_pesticide,dry_use_equipment,dry_use_hired_labour,input_total_12m_rs,input_intensity_per_sqm,n_crop_types,grows_staple,grows_cashcrop,grows_horticulture,wet_grows_staple,dry_grows_staple,crop_sold_any,crop_sales_12m_rs,crop_sale_share,owns_tractor,owns_pump,owns_modern_equip,n_modern_equip_types,ag_equip_stock_value_rs,livestock_has
11,2016,487.4611206054687,7,Kankada,31204,Raksirang Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Raksingrang,7,1,3,2034.947998046875,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,1,0,0,0,0,0,0,0,0,3500,,7,1,0,0,1,1,1,18500,0.23333333333333334,0,0,0,0,1100,1
11,2017,487.4611206054687,7,Kankada,31204,Raksirang Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Raksingrang,7,1,3,2034.947998046875,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,1,0,0,0,0,0,0,0,0,1500,,5,1,0,0,1,1,1,28400,0.5,0,0,0,0,1000,1
11,2018,487.4611206054687,7,Kankada,31204,Raksirang Gaunpalika,Makwanpur,Makwanpur,Rural municipality,Raksingrang,7,1,3,2034.947998046875,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1400,,4,1,0,0,1,0,1,10000,0.41666666666666663,0,0,0,0,3500,1
12,2016,634.085205078125,5,Darakh,70805,Ghodaghodi Municipality,Kailali,Kailali,Municipality,Ghodaghodi,1,1,1,3386.31591796875,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,1,1,1,3000,1
12,2017,634.085205078125,5,Darakh,70805,Ghodaghodi Municipality,Kailali,Kailali,Municipality,Ghodaghodi,1,1,1,3386.31591796875,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0
12,2018,634.085205078125,5,Darakh,70805,Ghodaghodi Municipality,Kailali,Kailali,Municipality,Ghodaghodi,1,1,1,3386.31591796875,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,1
13,2016,666.9111328125,5,Sitapur,51104,Khajura Gaunpalika,Banke,Banke,Rural municipality,khajura,2,1,0,0,5079.47412109375,5079.47412109375,1,,,,,,,,,,0,1,0,0,1,0,1,0,0,1,6500,1.2796600287827378,2,1,0,0,1,1,1,16400,0.275,0,0,0,0,2500,1
13,2017,666.9111328125,5,Sitapur,51104,Khajura Gaunpalika,Banke,Banke,Rural municipality,khajura,2,1,0,0,0,0,0,,,,,,,,,,0,1,0,1,0,0,0,0,1,0,3750,,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1
13,2018,666.9111328125,5,Sitapur,51104,Khajura Gaunpalika,Banke,Banke,Rural municipality,khajura,2,1,0,0,0,0,0,,,,,,,,,,1,1,0,1,0,0,0,0,1,0,8100,,3,1,0,0,1,0,1,700,0.03333333333333333,0,0,0,0,0,1
14,2016,585.5533447265625,1,Mahankal,30204,Helambu Gaunpalika,Sindhupalchok,Sindhupalchok,Rural municipality,helambu,4,1,2,1526.2109985351563,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,1,0,0,0,2700,,4,1,0,0,1,1,0,0,0,0,0,0,0,0,1
14,2017,585.5533447265625,1,Mahankal,30204,Helambu Gaunpalika,Sindhupalchok,Sindhupalchok,Rural municipality,helambu,4,1,2,1526.2109985351563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5400,,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1
14,2018,585.5533447265625,1,Mahankal,30204,Helambu Gaunpalika,Sindhupalchok,Sindhupalchok,Rural municipality,helambu,4,1,2,1526.2109985351563,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2500,,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1
15,2016,634.085205078125,3,Durgauli,70808,Janaki Gaunpalika,Kailali,Kailali,Rural municipality,Janaki,1,1,1,3386.31591796875,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,7000,,3,1,1,0,1,1,1,2850,0.08333333333333333,0,1,1,1,32800,1
15,2017,634.085205078125,3,Durgauli,70808,Janaki Gaunpalika,Kailali,Kailali,Rural municipality,Janaki,1,1,1,3386.31591796875,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,25800,,4,1,1,0,1,1,1,3500,0.25,0,0,0,0,0,1
15,2018,634.085205078125,3,Durgauli,70808,Janaki Gaunpalika,Kailali,Kailali,Rural municipality,Janaki,1,1,1,3386.31591796875,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,22400,,4,1,1,0,1,1,0,0,0,0,0,0,0,0,1
16,2016,990.53192138671875,9,Dhaubini,20811,Dhobini Gaunpalika,Parsa,Parsa,Rural municipality,Dhaubni Rural Municipality,5,1,1,1693.157958984375,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2000,,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0
16,2017,990.53192138671875,9,Dhaubini,20811,Dhobini Gaunpalika,Parsa,Parsa,Rural municipality,Dhaubni Rural Municipality,5,1,1,1693.157958984375,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1250,,2,1,0,0,1,1,0,0,0,0,0,0,0,3000,1
