hhid,year,wt_hh,psu,vdc,vmun_code,lgname,district77,district_name,s00q03a,s00q03b,s00q03c,n_jobs_total,share_wage_agri,share_wage_nonagri,share_self_agri,share_self_nonagri,hh_has_wage_job,n_wage_jobs_hh,wage_total_income_12m_rs,wage_sector_primary_any,wage_sector_secondary_any,wage_sector_tertiary_any
4172,2017,754.5958251953125,8,Ghyachok,40102,Ajirkot Gaunpalika,Gorkha,Gorkha,Rural municipality,Aajirkot,1,2,0,0,1,0,0,0,0,0,0,0
4172,2018,754.5958251953125,8,Ghyachok,40102,Ajirkot Gaunpalika,Gorkha,Gorkha,Rural municipality,Aajirkot,1,2,0,0,1,0,0,0,0,0,0,0
4173,2016,487.4611206054687,8,Salme,,,,,,,,0,,,,,0,0,0,0,0,0
4174,2016,754.5958251953125,2,Tanahunsur,40701,Bhanu Municipality,Tanahun,Tanahun,Municipality,Bhanu,6,3,0,0,1,0,0,0,0,0,0,0
4174,2017,754.5958251953125,2,Tanahunsur,40701,Bhanu Municipality,Tanahun,Tanahun,Municipality,Bhanu,6,7,0,0.14285714285714285,0.8571428571428571,0,1,1,68000,0,1,0
4174,2018,754.5958251953125,2,Tanahunsur,40701,Bhanu Municipality,Tanahun,Tanahun,Municipality,Bhanu,6,3,0,0,1,0,0,0,0,0,0,0
4175,2016,547.52593994140625,8,Nandegada,70703,Mellekh Gaunpalika,Achham,Achham,Rural municipality,Melekh,7,5,0,0.4,0.6,0,1,2,312000,0,1,1
4175,2017,547.52593994140625,8,Nandegada,70703,Mellekh Gaunpalika,Achham,Achham,Rural municipality,Melekh,7,4,0,0,1,0,0,0,0,0,0,0
4175,2018,547.52593994140625,8,Nandegada,70703,Mellekh Gaunpalika,Achham,Achham,Rural municipality,Melekh,7,5,0,0.2,0.8,0,1,1,231000,0,1,0
4176,2016,544.4632568359375,4,Belhara,10704,Dhankuta Municipality,Dhankuta,Dhankuta,Municipality,Dhankuta,9,2,0,0,1,0,0,0,0,0,0,0
4176,2017,544.4632568359375,4,Belhara,10704,Dhankuta Municipality,Dhankuta,Dhankuta,Municipality,Dhankuta,9,3,0,0.3333333333333333,0.6666666666666666,0,1,1,157200,0,0,0
4176,2018,544.4632568359375,4,Belhara,10704,Dhankuta Municipality,Dhankuta,Dhankuta,Municipality,Dhankuta,9,3,0,0,1,0,0,0,0,0,0,0
4177,2016,898.64581298828125,5,Portaha,20116,Hanumannagar Kankalini Municipality,Saptari,Saptari,Municipality,Hanuman nagar Kankalini,3,1,1,0,0,0,1,1,39900,1,0,0
4177,2017,898.64581298828125,5,Portaha,20116,Hanumannagar Kankalini Municipality,Saptari,Saptari,Municipality,Hanuman nagar Kankalini,3,1,0,1,0,0,1,1,255000,0,0,1
4177,2018,898.64581298828125,5,Portaha,20116,Hanumannagar Kankalini Municipality,Saptari,Saptari,Municipality,Hanuman nagar Kankalini,3,4,0.25,0.5,0.25,0,1,3,291250,1,1,1
4178,2016,990.53192138671875,6,Ratanpuri,20701,Nijagadh Municipality,Bara,Bara,Municipality,Nijgadh,13,1,1,0,0,0,1,1,111500,1,0,0
4178,2017,990.53192138671875,6,Ratanpuri,20701,Nijagadh Municipality,Bara,Bara,Municipality,Nijgadh,13,3,0,0.3333333333333333,0.6666666666666666,0,1,1,42750,0,1,0
4178,2018,990.53192138671875,6,Ratanpuri,20701,Nijagadh Municipality,Bara,Bara,Municipality,Nijgadh,13,4,0,0.25,0.75,0,1,1,100800,0,1,0
4179,2016,634.085205078125,6,Geta,70803,Godawari Municipality,Kailali,Kailali,Municipality,Godawori,1,3,0,0.6666666666666666,0.3333333333333333,0,1,2,154550,0,1,0
4179,2017,634.085205078125,6,Geta,70803,Godawari Municipality,Kailali,Kailali,Municipality,Godawori,1,3,0,0.3333333333333333,0.6666666666666666,0,1,1,96000,0,0,1
4179,2018,634.085205078125,6,Geta,70803,Godawari Municipality,Kailali,Kailali,Municipality,Godawori,1,2,0,0.5,0.5,0,1,1,264000,1,0,0
4180,2016,618.27056884765625,9,Kalyan,61003,Lekabeshi Municipality,Surkhet,Surkhet,Municipality,Lekhbesi,7,3,0,0,1,0,0,0,0,0,0,0
4180,2017,618.27056884765625,9,Kalyan,61003,Lekabeshi Municipality,Surkhet,Surkhet,Municipality,Lekhbesi,7,4,0,0,0.75,0.25,0,0,0,0,0,0
4180,2018,618.27056884765625,9,Kalyan,61003,Lekabeshi Municipality,Surkhet,Surkhet,Municipality,Lekhbesi,7,3,0,0,0.6666666666666666,0.3333333333333333,0,0,0,0,0,0
4181,2016,990.53192138671875,2,Lahawarthakari,20813,Pakaha Mainpur Gaunpalika,Parsa,Parsa,Rural municipality,Pakha Mainpur Rural Municipality,4,1,0,0,1,0,0,0,0,0,0,0
4181,2017,990.53192138671875,2,Lahawarthakari,20813,Pakaha Mainpur Gaunpalika,Parsa,Parsa,Rural municipality,Pakha Mainpur Rural Municipality,4,2,0,0,1,0,0,0,0,0,0,0
