dcode,year,edu_literate_female,edu_literate_male,edu_school_attend_6_16_female,edu_school_attend_6_16_male,edu_attain_secondary_plus,mar_female_married_by_18,mar_female_age_first_mean,fert_birth_mean,fert_birth_son_mean,fert_birth_dau_mean,flfp_all,mlfp_all,fem_employment_rate,flfp_wage,fem_wage_share_of_employment,fem_share_of_ag_workers,fem_ag_specialization_ratio,work_share_agriculture,work_share_household_chores,fem_ownership_house,fem_ownership_land,fem_ownership_both,head_female_share,head_female_elderly,left_not_with_both,left_father_only,absent_hh_share
44,2011,0.6658,0.8419,0.9216,0.9229,0.3637,0.3803,18.1043,2.3149,1.2229,1.092,0.63,0.6748,0.6262,0.0768,0.1226,0.6992,1.5199,0.4128,0.1089,0.1147,0.2126,0.1147,0.405,0.0845,0.2871,0.0092,0.432
44,2021,0.7395,0.8952,0.9626,0.96,0.4254,0.2933,19.1201,1.8837,0.9947,0.8889,0.7885,0.809,0.7489,0.1062,0.1419,0.6091,1.2276,0.4946,0.2148,0.1431,0.2223,0.1161,0.3976,0.1134,0.3669,0.0123,0.3655
45,2001,0.5271,0.7382,0.8262,0.8781,0.3344,0.4023,18.116,2.4868,1.2844,1.2024,0.6503,0.7329,0.6467,0.0501,0.0775,0.6334,1.322,0.4593,0.1087,0.0527,0.0905,0.0453,0.2951,0.0486,0.2149,0.0115,0.3808
45,2011,0.657,0.8167,0.8934,0.9096,0.2611,0.3909,18.0819,2.0753,1.0817,0.9936,0.4788,0.6473,0.475,0.0722,0.152,0.6928,1.524,0.2821,0.1718,0.0826,0.143,0.0826,0.4191,0.0628,0.2747,0.0073,0.4738
45,2021,0.7268,0.8706,0.952,0.9427,0.4954,0.3085,18.5644,2.0194,1.0691,0.9503,0.7704,0.8057,0.7293,0.1367,0.1874,0.5953,1.2176,0.4511,0.2125,0.1443,0.2157,0.1174,0.3754,0.0966,0.3399,0.0108,0.3371
46,2001,0.4806,0.6978,0.8207,0.8754,0.2049,0.4392,17.7688,3.018,1.5378,1.4802,0.7404,0.7706,0.7342,0.0404,0.055,0.6462,1.194,0.5484,0.0725,0.0377,0.0728,0.0335,0.3145,0.0538,0.1921,0.009,0.4549
46,2011,0.6633,0.8278,0.9184,0.9334,0.2563,0.4301,17.8491,2.5472,1.3342,1.2129,0.6179,0.6808,0.6134,0.0699,0.1139,0.7415,1.63,0.4158,0.1214,0.1072,0.1661,0.1072,0.4255,0.0733,0.3146,0.008,0.5414
46,2021,0.7303,0.873,0.9488,0.9482,0.3648,0.3471,18.6796,2.0811,1.0945,0.9865,0.761,0.7902,0.7347,0.1102,0.15,0.6052,1.1961,0.4912,0.2858,0.1031,0.1618,0.0836,0.4034,0.0904,0.3552,0.0108,0.3554
47,2001,0.5825,0.7733,0.8313,0.8862,0.3891,0.4191,18.0023,2.7846,1.4426,1.3421,0.6109,0.7125,0.6056,0.0638,0.1053,0.6023,1.2383,0.3674,0.1193,0.0453,0.0906,0.0391,0.2543,0.0432,0.1987,0.0151,0.3293
47,2011,0.6987,0.8578,0.933,0.9372,0.2616,0.4167,17.9723,2.1351,1.1171,1.018,0.5522,0.6653,0.547,0.1004,0.1836,0.7103,1.7244,0.28,0.1228,0.0993,0.1877,0.0993,0.4064,0.0644,0.3289,0.01,0.4558
