"lgcode","year","geog_pop_2001","geog_total_mig_2001","geog_intensity_2001","shareshock_index_2001","shareshock_growth_yoy","shareshock_log_yoy","shareshock_growth_dec","shareshock_log_dec","ssiv_index_2001","ssiv_growth_yoy","ssiv_log_yoy","ssiv_growth_dec","ssiv_log_dec","absexp_index_2001","absexp_growth_yoy","absexp_log_yoy","absexp_growth_dec","absexp_log_dec"
70404,2008,16873,9,0.000533396550702305,0.945674750566667,-0.0371252382111111,-0.0380500765333333,0,0,0.000504419650038523,-0.0000198024740058081,-0.0000202957795768387,0,0,8.5110727551,-0.3341271439,-0.3424506888,0,0
70404,2009,16873,9,0.000533396550702305,0.861592224366667,-0.0782577146,-0.0824878554666667,0,0,0.000459570320589107,-0.0000417423950334855,-0.0000439987375807503,0,0,7.7543300193,-0.7043194314,-0.7423906992,0,0
70404,2010,16873,9,0.000533396550702305,0.905837350711111,0.0457936037333333,0.0444976135,0,0,0.000483170518366621,0.0000244261502755882,0.0000237348735553843,0,0,8.1525361564,0.4121424336,0.4004785215,0,0
70404,2011,16873,9,0.000533396550702305,0.898817867555556,-0.00682637245555556,-0.00687315021111111,0.00992897866666667,0.00986807452222222,0.000479426350263735,-0.00000364116352160256,-0.00000366611461506549,0.00000529608297279678,0.00000526359691222663,8.089360808,-0.0614373521,-0.0618583519,0.089360808,0.0888126707
70404,2012,16873,9,0.000533396550702305,0.794650990255556,-0.102882126666667,-0.110261188388889,0,0,0.000423864097214485,-0.0000548769714929177,-0.0000588129375629704,0,0,7.1518589123,-0.92593914,-0.9923506955,0,0
70404,2013,16873,9,0.000533396550702305,0.737347037733333,-0.0652198677333333,-0.0681591839333333,0,0,0.000393298366597523,-0.0000347880524862206,-0.000036355873608724,0,0,6.6361233396,-0.5869788096,-0.6134326554,0,0
70404,2014,16873,9,0.000533396550702305,0.707957223066667,-0.0363337614777778,-0.0371784033666667,0,0,0.000377621940828543,-0.000019380303046287,-0.000019830832116399,0,0,6.3716150076,-0.3270038533,-0.3346056303,0,0
70404,2015,16873,9,0.000533396550702305,0.679806902977778,-0.0366856343777778,-0.0375867079333333,0,0,0.000362606657191964,-0.0000195679908374326,-0.000020048620363895,0,0,6.1182621268,-0.3301707094,-0.3382803714,0,0
70404,2016,16873,9,0.000533396550702305,0.653290497977778,-0.0361852036444444,-0.0370479875777778,0,0,0.000348462898227938,-0.0000193010628104072,-0.0000197612687844485,0,0,5.8796144818,-0.3256668328,-0.3334318882,0,0
70404,2017,16873,9,0.000533396550702305,0.667740718522222,0.0209029072555556,0.0206135235888889,0,0,0.000356170596023232,0.0000111495386297635,0.0000109951823801339,0,0,6.0096664667,0.1881261653,0.1855217123,0,0
70404,2018,16873,9,0.000533396550702305,0.645951434722222,-0.0307041116666667,-0.0313649149111111,0,0,0.000344548267202039,-0.0000163774672553784,-0.000016729937426658,0,0,5.8135629125,-0.276337005,-0.2822842342,0,0
70404,2019,16873,9,0.000533396550702305,0.628028771533333,-0.0258514167888889,-0.0262767176777778,0,0,0.000334988380477686,-0.000013789056545961,-0.000014015910573105,0,0,5.6522589438,-0.2326627511,-0.2364904591,0,0
