lgcode,share_e_asia,share_gulf,share_oecd_europe,share_oecd_north,share_other,share_s_asia,share_se_asia
10510,0.022988505747126436,0.7586206896551724,0.0,0.0,0.10344827586206896,0.05747126436781609,0.05747126436781609
10601,0.05066079295154185,0.7929515418502202,0.037444933920704845,0.013215859030837005,0.024229074889867842,0.019823788546255508,0.06167400881057269
10602,0.025510204081632654,0.7142857142857143,0.030612244897959183,0.01020408163265306,0.05102040816326531,0.07142857142857142,0.09693877551020408
10603,0.12244897959183673,0.7006802721088435,0.047619047619047616,0.02040816326530612,0.04081632653061224,0.003401360544217687,0.06462585034013606
10604,0.11748633879781421,0.6502732240437158,0.06284153005464481,0.01366120218579235,0.040983606557377046,0.01639344262295082,0.09836065573770492
10605,0.029166666666666667,0.8166666666666667,0.0125,0.020833333333333332,0.020833333333333332,0.004166666666666667,0.09583333333333334
10606,0.08536585365853659,0.7804878048780488,0.03048780487804878,0.03048780487804878,0.006097560975609756,0.018292682926829267,0.04878048780487805
10607,0.1839080459770115,0.5747126436781609,0.09195402298850575,0.011494252873563218,0.011494252873563218,0.034482758620689655,0.09195402298850575
10608,0.0859375,0.625,0.0390625,0.0078125,0.0546875,0.015625,0.171875
10609,0.14457831325301204,0.7590361445783133,0.024096385542168676,0.024096385542168676,0.024096385542168676,0.012048192771084338,0.012048192771084338
10701,0.007614213197969543,0.8908629441624365,0.012690355329949238,0.012690355329949238,0.017766497461928935,0.0025380710659898475,0.05583756345177665
10702,0.04946996466431095,0.8763250883392226,0.014134275618374558,0.0,0.024734982332155476,0.01060070671378092,0.024734982332155476
10703,0.018115942028985508,0.7898550724637681,0.036231884057971016,0.0036231884057971015,0.025362318840579712,0.0,0.12681159420289856
10704,0.07407407407407407,0.7663817663817664,0.022792022792022793,0.05982905982905983,0.03418803418803419,0.005698005698005698,0.037037037037037035
10705,0.16666666666666666,0.7,0.011111111111111112,0.0,0.022222222222222223,0.03333333333333333,0.06666666666666667
10706,0.07557117750439367,0.8172231985940246,0.012302284710017574,0.0035149384885764497,0.01054481546572935,0.0035149384885764497,0.0773286467486819
10707,0.03614457831325301,0.8286479250334672,0.01740294511378849,0.004016064257028112,0.008032128514056224,0.004016064257028112,0.10174029451137885
10801,0.06666666666666667,0.7849462365591398,0.03870967741935484,0.004301075268817204,0.015053763440860216,0.008602150537634409,0.08172043010752689
10802,0.10273972602739725,0.6986301369863014,0.05821917808219178,0.003424657534246575,0.02054794520547945,0.0136986301369863,0.10273972602739725
10803,0.11345646437994723,0.7255936675461742,0.04221635883905013,0.010554089709762533,0.013192612137203167,0.018469656992084433,0.07651715039577836
10804,0.11653116531165311,0.7100271002710027,0.051490514905149054,0.02168021680216802,0.032520325203252036,0.0027100271002710027,0.06504065040650407
10805,0.04986149584487535,0.7534626038781164,0.024930747922437674,0.008310249307479225,0.027700831024930747,0.00554016620498615,0.13019390581717452
10806,0.01327433628318584,0.6747787610619469,0.030973451327433628,0.004424778761061947,0.01327433628318584,0.004424778761061947,0.2588495575221239
10901,0.043726235741444866,0.7452471482889734,0.034220532319391636,0.0076045627376425855,0.019011406844106463,0.009505703422053232,0.14068441064638784
10902,0.015558698727015558,0.8967468175388967,0.011315417256011316,0.0,0.02263083451202263,0.0014144271570014145,0.05233380480905234
10903,0.06692913385826772,0.7440944881889764,0.03543307086614173,0.003937007874015748,0.027559055118110236,0.047244094488188976,0.07480314960629922
10904,0.035897435897435895,0.7914529914529914,0.03418803418803419,0.006837606837606838,0.039316239316239315,0.02735042735042735,0.06495726495726496
10905,0.04513064133016627,0.7315914489311164,0.047505938242280284,0.007125890736342043,0.011876484560570071,0.011876484560570071,0.14489311163895488
10906,0.065625,0.81875,0.009375,0.003125,0.009375,0.00625,0.0875
10907,0.003401360544217687,0.8571428571428571,0.013605442176870748,0.0,0.01020408163265306,0.013605442176870748,0.10204081632653061
10908,0.033444816053511704,0.8517279821627648,0.010033444816053512,0.0033444816053511705,0.012263099219620958,0.006688963210702341,0.08249721293199554
11001,0.10588235294117647,0.7411764705882353,0.047058823529411764,0.023529411764705882,0.011764705882352941,0.023529411764705882,0.047058823529411764
11002,0.06382978723404255,0.48936170212765956,0.20212765957446807,0.031914893617021274,0.05319148936170213,0.0,0.1595744680851064
11003,0.07006369426751592,0.5923566878980892,0.09554140127388536,0.050955414012738856,0.025477707006369428,0.050955414012738856,0.11464968152866242
11004,0.01652892561983471,0.7768595041322314,0.045454545454545456,0.024793388429752067,0.01652892561983471,0.024793388429752067,0.09504132231404959
11005,0.017467248908296942,0.8296943231441049,0.03056768558951965,0.0,0.039301310043668124,0.013100436681222707,0.06986899563318777
11006,0.024096385542168676,0.7409638554216867,0.030120481927710843,0.0,0.030120481927710843,0.006024096385542169,0.1686746987951807
11007,0.027227722772277228,0.8663366336633663,0.012376237623762377,0.0049504950495049506,0.012376237623762377,0.0049504950495049506,0.07178217821782178
11008,0.01694915254237288,0.7796610169491526,0.0423728813559322,0.01694915254237288,0.03389830508474576,0.01694915254237288,0.09322033898305085
11009,0.15126050420168066,0.5714285714285714,0.07563025210084033,0.05042016806722689,0.05042016806722689,0.05042016806722689,0.05042016806722689
11010,0.02631578947368421,0.8421052631578947,0.0,0.02631578947368421,0.0,0.02631578947368421,0.07894736842105263
11101,0.05846774193548387,0.7116935483870968,0.038306451612903226,0.05846774193548387,0.038306451612903226,0.024193548387096774,0.07056451612903226
11102,0.037037037037037035,0.7888888888888889,0.014814814814814815,0.07037037037037037,0.040740740740740744,0.007407407407407408,0.040740740740740744
11103,0.07936507936507936,0.6444444444444445,0.0380952380952381,0.08571428571428572,0.047619047619047616,0.047619047619047616,0.05714285714285714
11104,0.04419889502762431,0.7513812154696132,0.03314917127071823,0.06077348066298342,0.03314917127071823,0.0027624309392265192,0.07458563535911603
11105,0.07883211678832117,0.7751824817518248,0.016058394160583942,0.00583941605839416,0.02335766423357664,0.010218978102189781,0.0905109489051095
11106,0.08236808236808237,0.7657657657657657,0.02445302445302445,0.019305019305019305,0.028314028314028315,0.006435006435006435,0.07335907335907337
11107,0.2009966777408638,0.5514950166112956,0.059800664451827246,0.046511627906976744,0.05647840531561462,0.009966777408637873,0.07475083056478406
11108,0.03902439024390244,0.7707317073170732,0.00853658536585366,0.04024390243902439,0.026829268292682926,0.023170731707317073,0.09146341463414634
11109,0.0625,0.8125,0.008928571428571428,0.008928571428571428,0.026785714285714284,0.017857142857142856,0.0625
11110,0.05813953488372093,0.7441860465116279,0.011627906976744186,0.03488372093023256,0.046511627906976744,0.011627906976744186,0.09302325581395349
11111,0.03333333333333333,0.8222222222222222,0.0,0.0,0.025925925925925925,0.05555555555555555,0.06296296296296296
11112,0.10398230088495575,0.5287610619469026,0.10398230088495575,0.06415929203539823,0.10619469026548672,0.015486725663716814,0.07743362831858407
11113,0.03309692671394799,0.8368794326241135,0.009456264775413711,0.009456264775413711,0.014184397163120567,0.009456264775413711,0.08747044917257683
11114,0.06104328523862375,0.7513873473917869,0.03107658157602664,0.049944506104328525,0.029966703662597113,0.017758046614872364,0.058823529411764705
11115,0.03296703296703297,0.7582417582417582,0.0,0.0,0.16483516483516483,0.0,0.04395604395604396
11201,0.019498607242339833,0.8885793871866295,0.004178272980501393,0.001392757660167131,0.027855153203342618,0.009749303621169917,0.04874651810584958
11202,0.019,0.885,0.005,0.008,0.021,0.009,0.053
11203,0.04054054054054054,0.8368725868725869,0.016409266409266408,0.003861003861003861,0.015444015444015444,0.006756756756756757,0.08011583011583012
