dname,year,DIST,founding_year_ad,n_new_firms,emp_new_firms,rev_new_firms,cap_new_firms,n_new_firms_size_micro_1,n_new_firms_size_small_2_9,n_new_firms_size_medium_10_50,n_new_firms_size_large_51p,n_new_firms_education_health_social,n_new_firms_manufacturing,n_new_firms_other_services,n_new_firms_trade_retail,n_new_firms_finance_prof_realestate,n_new_firms_hospitality_food,n_new_firms_transport_storage,n_new_firms_agriculture,n_new_firms_construction,log_n_new_firms,log_emp_new_firms,log_rev_new_firms,log_cap_new_firms,log_n_new_firms_size_micro_1,log_n_new_firms_size_small_2_9,log_n_new_firms_size_medium_10_50,log_n_new_firms_size_large_51p,log_n_new_firms_education_health_social,log_n_new_firms_manufacturing,log_n_new_firms_other_services,log_n_new_firms_trade_retail,log_n_new_firms_finance_prof_realestate,log_n_new_firms_hospitality_food,log_n_new_firms_transport_storage,log_n_new_firms_agriculture,log_n_new_firms_construction
Nuwakot,1980,305,1980,9,53,12199992,42841916,1,6,2,0,4,1,1,1,0,0,1,1,0,2.302585092994046,3.9889840465642745,16.31694593593283,17.573027550441825,0.6931471805599453,1.9459101490553132,1.0986122886681098,0,1.6094379124341003,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,0,0.6931471805599453,0.6931471805599453,0
Nuwakot,1981,305,1981,12,66,19017792,63206924,1,8,3,0,6,0,1,3,0,2,0,0,0,2.5649493574615367,4.204692619390966,16.760885572597008,17.961924425899237,0.6931471805599453,2.1972245773362196,1.3862943611198906,0,1.9459101490553132,0,0.6931471805599453,1.3862943611198906,0,1.0986122886681098,0,0,0
Nuwakot,1982,305,1982,18,144,60849372,138996947,2,10,6,0,12,0,2,3,1,0,0,0,0,2.9444389791664403,4.976733742420574,17.92391207331843,18.749962534019378,1.0986122886681098,2.3978952727983707,1.9459101490553132,0,2.5649493574615367,0,1.0986122886681098,1.3862943611198906,0.6931471805599453,0,0,0,0
Nuwakot,1983,305,1983,31,113,63737988,77682220,10,20,1,0,7,7,0,13,0,1,0,3,0,3.4657359027997265,4.736198448394496,17.970291316408684,18.168136973196695,2.3978952727983707,3.044522437723423,0.6931471805599453,0,2.0794415416798357,2.0794415416798357,0,2.6390573296152584,0,0.6931471805599453,0,1.3862943611198906,0
Nuwakot,1984,305,1984,8,56,18735396,51540000,0,6,2,0,3,0,2,1,0,0,1,1,0,2.1972245773362196,4.04305126783455,16.745925180270977,17.757868782590897,0,1.9459101490553132,1.0986122886681098,0,1.3862943611198906,0,1.0986122886681098,0.6931471805599453,0,0,0.6931471805599453,0.6931471805599453,0
Nuwakot,1985,305,1985,28,264,58951212,366614000,5,19,2,2,8,2,2,7,2,0,1,6,0,3.367295829986474,5.579729825986222,17.89222076149592,19.719820084129964,1.791759469228055,2.995732273553991,1.0986122886681098,1.0986122886681098,2.1972245773362196,1.0986122886681098,1.0986122886681098,2.0794415416798357,1.0986122886681098,0,0.6931471805599453,1.9459101490553132,0
Nuwakot,1986,305,1986,18,69,23214000,11965000,4,13,1,0,3,1,1,7,2,1,2,1,0,2.9444389791664403,4.248495242049359,16.960266145988157,16.297496362901708,1.6094379124341003,2.6390573296152584,0.6931471805599453,0,1.3862943611198906,0.6931471805599453,0.6931471805599453,2.0794415416798357,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.6931471805599453,0
Nuwakot,1987,305,1987,18,90,117261732,79024606,1,15,2,0,7,5,0,4,1,0,0,1,0,2.9444389791664403,4.51085950651685,18.57991902851445,18.185269842943814,0.6931471805599453,2.772588722239781,1.0986122886681098,0,2.0794415416798357,1.791759469228055,0,1.6094379124341003,0.6931471805599453,0,0,0.6931471805599453,0
Nuwakot,1988,305,1988,94,473,206763444,507487978,7,72,15,0,60,10,1,15,1,5,0,2,0,4.553876891600541,6.161207321695077,19.147085919983446,20.044983581900176,2.0794415416798357,4.290459441148391,2.772588722239781,0,4.110873864173311,2.3978952727983707,0.6931471805599453,2.772588722239781,0.6931471805599453,1.791759469228055,0,1.0986122886681098,0
Nuwakot,1989,305,1989,26,130,73289748,110403176,5,19,2,0,16,1,1,4,0,1,1,2,0,3.295836866004329,4.875197323201151,18.109931307145178,18.519649468567128,1.791759469228055,2.995732273553991,1.0986122886681098,0,2.833213344056216,0.6931471805599453,0.6931471805599453,1.6094379124341003,0,0.6931471805599453,0.6931471805599453,1.0986122886681098,0
Nuwakot,1990,305,1990,23,100,35999856,128676625,4,17,2,0,5,3,5,6,1,1,1,1,0,3.1780538303479458,4.61512051684126,17.39902552419027,18.672813039910526,1.6094379124341003,2.8903717578961645,1.0986122886681098,0,1.791759469228055,1.3862943611198906,1.791759469228055,1.9459101490553132,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0
Nuwakot,1991,305,1991,46,172,180903948,195254380,6,39,1,0,20,6,2,7,0,3,0,8,0,3.8501476017100584,5.153291594497779,19.013476779867446,19.08981378433247,1.9459101490553132,3.6888794541139363,0.6931471805599453,0,3.044522437723423,1.9459101490553132,1.0986122886681098,2.0794415416798357,0,1.3862943611198906,0,2.1972245773362196,0
Nuwakot,1992,305,1992,28,149,78845700,69392589,1,23,4,0,9,1,2,3,2,4,0,6,1,3.367295829986474,5.0106352940962555,18.183003348644117,18.055290647442167,0.6931471805599453,3.1780538303479458,1.6094379124341003,0,2.302585092994046,0.6931471805599453,1.0986122886681098,1.3862943611198906,1.0986122886681098,1.6094379124341003,0,1.9459101490553132,0.6931471805599453
Nuwakot,1993,305,1993,101,417,554299776,162595454,17,77,7,0,22,8,5,43,2,10,1,10,0,4.624972813284271,6.035481432524756,20.133216212080733,18.906775802657798,2.8903717578961645,4.356708826689592,2.0794415416798357,0,3.1354942159291497,2.1972245773362196,1.791759469228055,3.784189633918261,1.0986122886681098,2.3978952727983707,0.6931471805599453,2.3978952727983707,0
Nuwakot,1994,305,1994,42,154,44348628,75991652,7,34,1,0,17,0,3,11,1,1,1,8,0,3.7612001156935624,5.043425116919247,17.607592353051512,18.146134063271596,2.0794415416798357,3.5553480614894135,0.6931471805599453,0,2.8903717578961645,0,1.3862943611198906,2.4849066497880004,0.6931471805599453,0.6931471805599453,0.6931471805599453,2.1972245773362196,0
Nuwakot,1995,305,1995,112,417,86122896,365773524,23,82,7,0,22,10,5,22,6,6,0,41,0,4.727387818712341,6.035481432524756,18.271285869002874,19.71752491568671,3.1780538303479458,4.418840607796598,2.0794415416798357,0,3.1354942159291497,2.3978952727983707,1.791759469228055,3.1354942159291497,1.9459101490553132,1.9459101490553132,0,3.7376696182833684,0
Nuwakot,1996,305,1996,77,323,89044536,186136394,12,59,6,0,19,5,6,9,8,5,2,23,0,4.356708826689592,5.780743515792329,18.304647218260556,19.04199026939128,2.5649493574615367,4.0943445622221,1.9459101490553132,0,2.995732273553991,1.791759469228055,1.9459101490553132,2.302585092994046,2.1972245773362196,1.791759469228055,1.0986122886681098,3.1780538303479458,0
Nuwakot,1997,305,1997,86,303,292448532,134603240,17,66,3,0,15,13,8,17,3,6,1,21,2,4.465908118654584,5.717027701406222,19.493799253598635,18.717842053636872,2.8903717578961645,4.204692619390966,1.3862943611198906,0,2.772588722239781,2.6390573296152584,2.1972245773362196,2.8903717578961645,1.3862943611198906,1.9459101490553132,0.6931471805599453,3.091042453358316,1.0986122886681098
Nuwakot,1998,305,1998,140,457,221229744,294427673,35,101,3,1,20,28,3,56,4,13,1,13,2,4.948759890378168,6.126869184114185,19.21471228963894,19.50054394175984,3.58351893845611,4.624972813284271,1.3862943611198906,0.6931471805599453,3.044522437723423,3.367295829986474,1.3862943611198906,4.04305126783455,1.6094379124341003,2.6390573296152584,0.6931471805599453,2.6390573296152584,1.0986122886681098
Nuwakot,1999,305,1999,67,306,199374528,250525740,10,50,7,0,11,9,8,13,6,2,0,18,0,4.219507705176107,5.726847747587197,19.110695669118147,19.339072231692935,2.3978952727983707,3.9318256327243257,2.0794415416798357,0,2.4849066497880004,2.302585092994046,2.1972245773362196,2.6390573296152584,1.9459101490553132,1.0986122886681098,0,2.9444389791664403,0
Nuwakot,2000,305,2000,80,277,114274548,134893366,15,63,2,0,3,9,17,29,2,5,0,14,1,4.394449154672439,5.627621113690637,18.554114435554297,18.719995150213737,2.772588722239781,4.1588830833596715,1.0986122886681098,0,1.3862943611198906,2.302585092994046,2.8903717578961645,3.4011973816621555,1.0986122886681098,1.791759469228055,0,2.70805020110221,0.6931471805599453
