"outcome","group","n_obs","coef","se","t_stat","p_val","mean_y","note","sig"
"edu_literate","education",148,0.0443501535551783,0.0192808695456679,2.30021542597611,0.0242960465813451,0.703499980255728,"","**"
"edu_literate_female","education",148,0.0618330386256787,0.0250773678664455,2.46569093514849,0.0160251964503495,0.619238405486266,"","**"
"edu_literate_male","education",148,0.0340452216897992,0.0208616234011335,1.63195457204684,0.106995827056415,0.794811458695464,"",""
"edu_school_attend_6_16","education",148,0.0729144468027333,0.0257161818540086,2.83535274469089,0.00591837256865098,0.894765869907117,"","***"
"edu_school_attend_6_16_female","education",148,0.0875219438092093,0.033984975998517,2.57531280331133,0.0120395744858657,0.889948982852155,"","**"
"edu_school_attend_6_16_male","education",148,0.0586253239430229,0.0233972536636933,2.50564979914693,0.014452429815637,0.899536410985056,"","**"
"edu_attain_primary_plus","education",148,-0.0601948502175187,0.0438012080191899,-1.37427374585529,0.173561335844944,0.901225672719579,"",""
"edu_attain_secondary_plus","education",148,-0.0373685371262042,0.0378829162707942,-0.986421870457039,0.327184377761416,0.60597719799496,"",""
"edu_attain_higher_secondary_plus","education",148,0.0211221090841197,0.0264704620948384,0.797950145654555,0.427487564443293,0.16915167369335,"",""
"edu_attain_tertiary","education",148,0.00666311302620304,0.0104065767927837,0.640279042655362,0.523995873729439,0.0668570135248497,"",""
"edu_years_mean","education",148,0.0383605341751017,0.32377703763026,0.118478241866268,0.90601414906056,7.9511973377802,"",""
"mar_ever_married_15_60","demography",148,-0.0403806155220717,0.0229653233913654,-1.7583299322166,0.082882680089576,0.737048574437765,"","*"
"mar_never_married_15_60","demography",148,0.0403806155220727,0.0229653233913655,1.75832993221663,0.0828826800895698,0.262951425562235,"","*"
"mar_female_age_first_mean","demography",148,-0.20080813806613,0.427241272681708,-0.470011094213106,0.639748198571357,18.1643904775702,"",""
"mar_female_married_by_18","demography",148,0.0154821622999798,0.0510734715088142,0.303135107965158,0.762649099842424,0.39374486782672,"",""
"mar_female_married_by_20","demography",148,0.0112156737652097,0.0466309302573317,0.2405200518908,0.810601309262526,0.717001736430414,"",""
"fert_birth_mean","demography",148,0.474812210498539,0.215525680982517,2.20304238610458,0.030748146800187,2.30287863653523,"","**"
"fert_birth_son_mean","demography",148,0.23706771465167,0.112765882684308,2.10229999542812,0.0389764106705432,1.19826572222027,"","**"
"fert_birth_dau_mean","demography",148,0.23774449584687,0.104992859005972,2.26438729355249,0.0265205526090965,1.10461291431496,"","**"
"mort_children_dead_mean","mortality",148,0.0813122993548664,0.0819393456707974,0.99234743320443,0.324306045206905,0.12903898430054,"",""
"mort_child_dead_any","mortality",148,0.0565757006586766,0.0407219601837931,1.38931673238051,0.16895981190166,0.0852676053567486,"",""
"mort_child_death_ratio","mortality",148,0.0220949928775308,0.0227940022199202,0.969333628397275,0.33557948791697,0.0524894969128802,"",""
"work_share_agriculture","work",148,0.111611737748052,0.0857311152419608,1.30188132317009,0.197050136956007,0.442320146813038,"",""
"work_share_nonagriculture","work",148,0.0461238875332288,0.0601922458377552,0.766276235273779,0.445982805507734,0.256433356915579,"",""
"work_share_wage_nonagri","work",148,0.015791483589539,0.0446765213700627,0.353462693720839,0.724760336725141,0.155501858640931,"",""
"work_share_own_nonagri","work",148,0.0217570370294563,0.0153563341251945,1.41681190654483,0.160791487641952,0.0704946846056319,"",""
"work_lfp","work",148,0.158597443759088,0.067768340550786,2.3402881414845,0.0220049836515639,0.699061327808016,"","**"
