dataset,outcome,variant,dropped_dname,beta,se,p,sig,n
census,amen_assets_radio,baseline,NA,0.2245302794341422,0.0854344292886759,0.010434352298223357,**,150
census,amen_assets_tv,baseline,NA,0.16491333762648816,0.08295789719975685,0.050520710754586216,*,150
census,amen_cooking_kerosene,baseline,NA,0.013532828313482804,0.006005883540649428,0.02720570379826009,**,150
census,amen_water_traditional,baseline,NA,0.12899390608939215,0.07674778810435559,0.09702799748290841,*,150
census,ind_agri_forestry_fish,baseline,NA,-0.14016622074235488,0.07712637596094687,0.07321063293583521,*,150
census,mig_in_internal_share,baseline,NA,-0.16065265346807334,0.08257602295167447,0.05551187078788869,*,150
census,mig_in_temp_noneconomic_share,baseline,NA,-0.31614500182200467,0.09970471745633125,0.002212373536184801,***,150
census,mig_in_temp_share,baseline,NA,-0.502907012753918,0.18360442148597914,0.007715308142570358,***,150
census,net_internal_mig_share,baseline,NA,-0.3415142754027664,0.13140724361905998,0.011281747297190906,**,150
census,net_temp_mig_share,baseline,NA,-0.7365248271642508,0.23532958778689123,0.0025037474029101334,***,150
hh,edu_spend_total_12m,baseline,NA,-4982.4427329905275,1112.7161664690577,4.5144121995092813e-05,***,16961
hh,input_intensity_per_sqm,baseline,NA,-0.8222833427565306,0.33359312702741134,0.01725640626600204,**,13310
hh,n_workers_total,baseline,NA,-0.14083643852522448,0.07830418101123705,0.07824603845595608,*,17362
hh,nonfood_exp_12m,baseline,NA,-18604.440506446317,9017.462473120215,0.04441700546902986,**,17362
hh,remit_amount_intl_12m_rs,baseline,NA,-8254.681099357069,4878.103611972664,0.09696020276649706,*,17362
hh,sector_transport,baseline,NA,-0.005461786331699834,0.001359456698334221,2.0183454982619853e-4,***,17362
hh,share_fallow_wet,baseline,NA,0.013894256077673528,0.007882054706154835,0.08417523796313478,*,14826
hh,total_input_cost_rs,baseline,NA,-2075.456216077327,993.1405172913949,0.04184938210286274,**,17362
nec_cs,emp_total,baseline,NA,-40901.64451601221,16196.741376252741,0.014008041674781934,**,75
nec_cs,n_firms,baseline,NA,-9077.586287612916,3424.556301790462,0.01007685877646982,**,75
nec_cs,share_keeps_accounts,baseline,NA,0.043883270721642234,0.024397850622515562,0.0767165362845187,*,75
nec_panel,log_n_new_firms_education_health_social,baseline,NA,0.3890978754616716,0.19628985770049348,0.05116326484063083,*,600
nec_panel,log_n_new_firms_size_medium_10_50,baseline,NA,0.418297763850291,0.24063384560455692,0.08631441140496371,*,600
nec_panel,log_rev_new_firms,baseline,NA,1.0403893186683806,0.5057148789842236,0.04318498782039994,**,600
census,amen_assets_car,loo,Achham,-0.01815171783247442,0.008675667185475527,0.03989302287425101,**,148
census,amen_assets_computer,loo,Achham,-0.03490122724073566,0.019349831044945268,0.07540468590955907,*,148
census,amen_assets_landline,loo,Achham,0.10437124170097832,0.024736775310552232,6.95274506669919e-5,***,148
census,amen_assets_mobile,loo,Achham,0.20674283867448665,0.11009147029107565,0.06438651235990571,*,148
census,amen_assets_radio,loo,Achham,0.22387640090100497,0.08541601567622824,0.010661185767895367,**,148
census,amen_assets_tv,loo,Achham,0.16609698488886576,0.08192172781582102,0.046261602007401606,**,148
census,amen_cooking_kerosene,loo,Achham,0.01362323419044525,0.005971463312231795,0.02544344382595031,**,148
census,amen_water_traditional,loo,Achham,0.13068245467285192,0.07629315799709428,0.09097569671177635,*,148
census,ind_agri_forestry_fish,loo,Achham,-0.1404358543728685,0.07697740732913799,0.07218711828842643,*,148
census,mig_in_internal_share,loo,Achham,-0.16235544408914393,0.08323189905185342,0.05493896869115663,*,148
census,mig_in_temp_noneconomic_share,loo,Achham,-0.31840844059389095,0.09823845023035797,0.0017945846083737,***,148
census,mig_in_temp_share,loo,Achham,-0.5067174150211373,0.182962889636586,0.00711370668927318,***,148
census,net_internal_mig_share,loo,Achham,-0.3435817068358261,0.1328696129726026,0.011707974889711538,**,148
census,net_temp_mig_share,loo,Achham,-0.7370838765722401,0.2364050120054326,0.002606094517007875,***,148
hh,edu_spend_total_12m,loo,Achham,-4920.645925544842,1088.4032446053247,4.0313622346430424e-5,***,16685
hh,input_intensity_per_sqm,loo,Achham,-0.8199066406231641,0.33129337047464924,0.016912771005328134,**,13053
hh,n_workers_total,loo,Achham,-0.13911030064083002,0.0783378402489031,0.08210975549754104,*,17074
hh,nonfood_exp_12m,loo,Achham,-18776.753907087896,9080.246629571773,0.044064799627732916,**,17074
hh,remit_amount_intl_12m_rs,loo,Achham,-8430.640747058857,4857.349702932275,0.08904274258799429,*,17074
hh,sector_transport,loo,Achham,-0.005375652584871522,0.0013049632972619452,1.4909754859133902e-4,***,17074
hh,share_fallow_wet,loo,Achham,0.01378857867611499,0.007853925784113789,0.08553173106156578,*,14552
hh,total_input_cost_rs,loo,Achham,-2055.1882007254503,982.9948480287833,0.04187011085885513,**,17074
nec_cs,emp_total,loo,Achham,-41101.32801186936,16047.665503778413,0.012798699402944303,**,74
nec_cs,n_firms,loo,Achham,-9121.52480087126,3390.5642422914975,0.009096010093419208,***,74
nec_cs,share_keeps_accounts,loo,Achham,0.042641285947148166,0.022987817256219456,0.06821036182425388,*,74
nec_panel,log_n_new_firms_education_health_social,loo,Achham,0.3826585824544179,0.19661834212747645,0.05547993276163402,*,592
nec_panel,log_n_new_firms_size_medium_10_50,loo,Achham,0.41224765155241,0.23627502886916138,0.08523188234780328,*,592
nec_panel,log_rev_new_firms,loo,Achham,1.041873585750904,0.5059478147228994,0.04303772319404611,**,592
