dname,n_dest,z_mean,z_sd,log_mi_z,mi_raw,top_dest,top_share,top3_share,top5_share,main_region,main_region_share,thin
Panchthar,12,0.11309594156804913,0.1808067409872866,1.162092369273555,15.496540973949129,Malaysia,0.5242261103633916,0.8931695827725437,0.9670255720053835,share_gulf,0.815184815184815,well-covered
Parbat,12,0.14735562296725166,0.19441260889796516,0.7393802084683743,9.683470905245924,Saudi Arabia,0.32111071555713777,0.7892488430046279,0.9611961552153792,share_gulf,0.756453804347826,well-covered
Sarlahi,12,0.09844189053336357,0.17864538365429924,0.19773987248848315,5.301216402136337,Malaysia,0.6291212158352739,0.9133472239245005,0.973648731462189,share_gulf,0.651438240270728,well-covered
Siraha,12,0.1328618437163461,0.19098532052272935,0.9371953944597499,12.066785077699395,Saudi Arabia,0.43261166374097915,0.9581951758663286,0.9900526623756583,share_gulf,0.959399332591769,well-covered
Udayapur,12,0.10693828841236225,0.17974278281982767,0.6560131799559958,8.825882115818247,Malaysia,0.5674518201284796,0.8847251962883654,0.9694860813704497,share_gulf,0.703170028818444,well-covered
Bhaktapur,13,0.12111038938196236,0.1862550723593686,-0.892110543969007,1.5772145832444338,Malaysia,0.47604166666666664,0.859375,0.9666666666666667,share_gulf,0.416116248348745,well-covered
Myagdi,13,0.14311043783378266,0.18942853169259943,0.9516450742497382,12.262299698172313,Malaysia,0.3091368725171542,0.7919826652221018,0.9407728421812929,share_gulf,0.778605539637058,well-covered
Okhaldhunga,13,0.11032174863981227,0.18142413091847653,0.6118650002933993,8.40293545248135,Malaysia,0.5469190495368506,0.8530004027386227,0.9665726943213854,share_gulf,0.684422921711057,well-covered
Ramechhap,13,0.12028506858637546,0.1848052871112971,0.46830275786700737,7.162736989627232,Malaysia,0.476551724137931,0.8275862068965517,0.9613793103448276,share_gulf,0.735483870967742,well-covered
Dang,14,0.11157415326447061,0.18318962986657783,0.415082816392813,6.751022018411714,Malaysia,0.5426387771520514,0.9086886564762671,0.9867256637168141,share_gulf,0.616267942583732,well-covered
Dhading,14,0.11369237198222319,0.1830433284399489,0.5917609748806577,8.21711146884401,Malaysia,0.5251902863356288,0.8722363175063428,0.9695541862993837,share_gulf,0.763611615245009,well-covered
Dhankuta,14,0.11536854804538997,0.1822578174166892,1.0067615693440675,13.037598218001127,Malaysia,0.5102136651796196,0.8826015496595445,0.9704155905142052,share_gulf,0.823985239852399,well-covered
Dhanusa,14,0.1293059806332073,0.1890677714492189,0.9923973857363236,12.830942119327961,Malaysia,0.42423460168310184,0.949403686302855,0.9859053126129381,share_gulf,0.945631354059231,well-covered
Dolakha,14,0.11670940966419689,0.18371475457787784,0.4057907891501542,6.6816040137866715,Malaysia,0.49879614767255215,0.8370786516853932,0.9610754414125201,share_gulf,0.613114754098361,well-covered
Kanchanpur,14,0.08983512537160301,0.17601028581466974,-0.6077555237131871,2.163998510796724,Malaysia,0.6866359447004609,0.9098822324628777,0.9856630824372761,share_gulf,0.44758064516129,well-covered
Sindhuli,14,0.10370734511841323,0.17974340868332706,0.6015541114211719,8.307111603284355,Malaysia,0.5909368014631172,0.8831538305222515,0.9723633407843933,share_gulf,0.814558058925477,well-covered
Solukhumbu,14,0.12479822967188074,0.1865611832543965,0.39107264930275487,6.573106926316982,Malaysia,0.4499640028797696,0.7998560115190785,0.9647228221742261,share_gulf,0.405381944444444,well-covered
Gulmi,15,0.13002367401998827,0.18948975757425227,0.2972363153652973,5.921616219303256,Malaysia,0.41560798548094374,0.8405928614640048,0.9748941318814277,share_gulf,0.639788732394366,well-covered
Lalitpur,15,0.13247747752930503,0.18767424655376738,-0.9902332996057037,1.4141310570522845,Malaysia,0.3907435508345979,0.8247344461305008,0.9362670713201822,share_oecd_north,0.268870135958744,well-covered
Makwanpur,15,0.11494283537014933,0.18256727659455996,0.30213218009531967,5.953952297034083,Malaysia,0.5114885114885115,0.8573426573426574,0.9682317682317683,share_gulf,0.567307692307692,well-covered
Morang,15,0.11842295573565216,0.18396669628375217,0.5243504444776034,7.623501869749422,Malaysia,0.49086090915268055,0.8528232656111979,0.9668410681524767,share_gulf,0.735320686540199,well-covered
Nawalparasi,15,0.11187101863541325,0.18167877543143218,0.563300310258012,7.9610509892650905,Malaysia,0.5346882939222201,0.8611491108071135,0.9700996677740864,share_gulf,0.745799327892463,well-covered
Nuwakot,15,0.12148923145394884,0.18466230112090518,0.4346825727613039,6.899820161386235,Malaysia,0.4688807531380753,0.8462343096234309,0.9589435146443515,share_gulf,0.742622950819672,well-covered
Sankhuwasabha,15,0.11299312627811843,0.18225827492897106,0.9669663851761304,12.473069509014627,Malaysia,0.5245197168857432,0.8566734074823054,0.9711830131445905,share_gulf,0.805485384337784,well-covered
Sindhupalchok,15,0.11713898714142104,0.1827339359958481,0.4917955363315444,7.352379099229321,Malaysia,0.4888941398865784,0.7783553875236295,0.9614839319470699,share_gulf,0.525965379494008,well-covered
Syangja,15,0.14078141448253667,0.19085459130508936,0.7115144231309932,9.387925906456209,Malaysia,0.33626168224299063,0.8091588785046728,0.9514018691588785,share_gulf,0.718200468933177,well-covered
Gorkha,16,0.12331738168126168,0.18609168853977393,0.7002446482040589,9.270975905792422,Malaysia,0.45935690033952464,0.8589974036349111,0.9646494907130018,share_gulf,0.707739699653446,well-covered
Kaski,16,0.1534561790081969,0.19428579691730585,0.168772016606158,5.133123889956879,Saudi Arabia,0.3125878337683196,0.7359967877936158,0.933346717526601,share_gulf,0.525893879628451,well-covered
Mahottari,16,0.10335269392788975,0.1794250674564528,1.4885000475037649,22.280028044233404,Malaysia,0.5945501358890002,0.9340938349306251,0.9846588470891146,share_gulf,0.917225950782998,well-covered
Rupandehi,16,0.11460460843148362,0.18350894020099714,-0.08856285180503458,3.8553912992106305,Malaysia,0.5187157863589288,0.8606302707501109,0.9720372836218375,share_gulf,0.53834808259587,well-covered
Kathmandu,17,0.14874590817571678,0.19616916976894774,-1.5841858079584072,0.7304040728340137,United Arab Emirates,0.31943351691581434,0.8265145554681353,0.9496459480723839,share_oecd_north,0.362697011313845,well-covered
Kavrepalanchok,17,0.11861587505364657,0.18370338767048422,0.22216741833741777,5.4472334442591315,Malaysia,0.48533653846153846,0.8240384615384615,0.9533653846153846,share_gulf,0.538285714285714,well-covered
Khotang,17,0.12748963892250473,0.18651023501863884,0.9322988406435501,12.001240839117452,Malaysia,0.4269254093389933,0.8613300990499293,0.9644228825550839,share_gulf,0.801223241590214,well-covered
Tanahu,17,0.14643294769939583,0.1948323884861481,0.8733218979902803,11.239204671995248,Saudi Arabia,0.34996534996534995,0.8008316008316008,0.9573111573111573,share_gulf,0.80553563745877,well-covered
Baglung,18,0.12842095971084752,0.1845885456874749,0.6833710846977764,9.098591654164169,Malaysia,0.41239228559704555,0.8393516618793598,0.9610176446450555,share_gulf,0.685054043980619,well-covered
Ilam,18,0.10595845619568046,0.17919136970908262,0.8586733593661859,11.057556485009682,Malaysia,0.5741895261845387,0.8815461346633416,0.9660224438902744,share_gulf,0.75363196125908,well-covered
Jhapa,18,0.12005274883229188,0.18422830243105884,0.7397488382170685,9.68744231834123,Malaysia,0.4788383324860193,0.8411921708185053,0.9606634468734113,share_gulf,0.727559291504053,well-covered
Sunsari,18,0.11571582178826914,0.18387969266584528,0.29900889625179394,5.9333033830307524,Malaysia,0.511499336576736,0.854046881910659,0.9672711189739054,share_gulf,0.418342474101158,well-covered
Chitawan,19,0.14099633514904503,0.19360927006596781,0.2631058420269171,5.701019338464509,Malaysia,0.34237236782305713,0.8332070898348736,0.9663687320103015,share_gulf,0.566712248486032,well-covered
Lamjung,19,0.14872175393441053,0.19539507905132167,0.897746079783502,11.548734826262192,Saudi Arabia,0.3320302319520459,0.7745634610372687,0.948136565024759,share_gulf,0.753754469606675,well-covered
