period,scaling,model,beta,se,p,sig,n,mean_y,mean_permits_per_1000
2019-2022,lin,A2,0.11244697432926859,0.06309962329936625,0.07895666526889132,*,75,2.554898187985295,16.144560289759937
2019-2022,lin,A3,0.11244697432926859,0.06309962329936625,0.07895666526889132,*,75,2.554898187985295,16.144560289759937
2019-2022,lin,A4,0.09523628800751616,0.03566391419223026,0.009529883261010839,***,75,2.554898187985295,16.144560289759937
2019-2022,lin,A4_dropKTM,0.1421432452346879,0.03340883906376362,7.081050138448407e-5,***,72,2.6048320035050683,16.650840159043632
2019-2022,lin,A4_dropLowMig,0.10862292631651416,0.03610347525773515,0.0038544547770964534,***,68,2.70473733611046,17.49564527837041
2019-2022,log,A2,0.07271695087753899,0.037144806806939115,0.05414594061104351,*,75,2.554898187985295,16.144560289759937
2019-2022,log,A3,0.07271695087753899,0.037144806806939115,0.05414594061104351,*,75,2.554898187985295,16.144560289759937
2019-2022,log,A4,0.09079621282449224,0.027784232050793983,0.0017219003947494442,***,75,2.554898187985295,16.144560289759937
2019-2022,log,A4_dropKTM,0.12664685753369276,0.026586644938897862,1.1583669633537093e-5,***,72,2.6048320035050683,16.650840159043632
2019-2022,log,A4_dropLowMig,0.0902385163070647,0.02982293690930053,0.0036704083758260435,***,68,2.70473733611046,17.49564527837041
