dataset,outcome,scaling,model,beta,se,p,sig,mean_y,n
hh,owns_plough,log,M3,-0.03751900371829292,0.025032322506431278,0.1403351842185644,,0.6262130856725451,8172
hh,owns_plough,log,M4,-0.05065059644820645,0.04122594090967138,0.2250863889064998,,0.6262130856725451,8172
hh,owns_powered_machinery,log,M2,-1.964952217704541e-4,0.0037223321064985947,0.9581152884886721,,0.027131378482729833,8172
hh,owns_powered_machinery,log,M3,-4.1673458548679475e-5,0.003441076139526189,0.9903865591833885,,0.027131378482729833,8172
hh,owns_powered_machinery,log,M4,0.004666202107304754,0.004822666593091499,0.338017515006809,,0.027131378482729833,8172
hh,owns_irrigation_kit,log,M2,0.0217090359314486,0.023165000119510077,0.3532786555009937,,0.0976729625378274,8172
hh,owns_irrigation_kit,log,M3,0.01857310456972512,0.020666946287340237,0.3732147458224465,,0.0976729625378274,8172
hh,owns_irrigation_kit,log,M4,-0.030530768056069555,0.0324602285453172,0.3515446509506118,,0.0976729625378274,8172
hh,owns_storage_struct,log,M2,-0.09192033190394489,0.051066451677557544,0.07801629646242421,*,0.2385474277366169,8172
hh,owns_storage_struct,log,M3,-0.09957902723932179,0.04554364128589223,0.03358776746700627,**,0.2385474277366169,8172
hh,owns_storage_struct,log,M4,-0.01897738920600682,0.06519055876673001,0.7721986556313982,,0.2385474277366169,8172
hh,owns_transport,log,M2,0.005559752337308861,0.008269157629196227,0.5045203663616398,,0.026296566837107377,8172
hh,owns_transport,log,M3,0.004385648240742619,0.00744011747746849,0.558261273460818,,0.026296566837107377,8172
hh,owns_transport,log,M4,-0.01331375349547716,0.010795855021603247,0.22337410094534532,,0.026296566837107377,8172
hh,n_equip_categories,log,M2,-0.1030801601889102,0.06155359765023739,0.1003765833973791,,1.0158614212668267,8172
hh,n_equip_categories,log,M3,-0.1141809516056936,0.05699276791916361,0.05067767437855659,*,1.0158614212668267,8172
hh,n_equip_categories,log,M4,-0.10880630509845582,0.09075894176499393,0.23635228013515538,,1.0158614212668267,8172
hh,n_powered_types,log,M2,-6.108631257972447e-4,0.0036984648587014505,0.8694923351537786,,0.029844516331002817,8172
hh,n_powered_types,log,M3,-4.0223213491825515e-4,0.003418970358749526,0.906828170340527,,0.029844516331002817,8172
hh,n_powered_types,log,M4,0.003902468037110568,0.006254474242321143,0.5355557499003032,,0.029844516331002817,8172
hh,equip_stock_value_rs,log,M2,-1871.2627956797387,1622.6604469283832,0.25442006697744574,,16462.050741282106,8165
hh,equip_stock_value_rs,log,M3,-1665.97213358205,1617.6022942582315,0.308112964342612,,16462.050741282106,8165
hh,equip_stock_value_rs,log,M4,96.39996238571518,4925.595231669344,0.9844648918336081,,16462.050741282106,8165
hh,total_input_cost_rs,log,M2,-553.9457381407283,713.4088306795477,0.4411994189117425,,7324.949370693092,17362
hh,total_input_cost_rs,log,M3,-587.6671950547542,685.2955388366075,0.39532244080001544,,7324.949370693092,17362
hh,total_input_cost_rs,log,M4,-2075.456216077327,993.1405172913949,0.04184938210286274,**,7324.949370693092,17362
hh,wet_cost_seed,log,M2,-114.06120367648971,67.94415791616369,0.09956804482104291,*,501.2647439452764,15506
hh,wet_cost_seed,log,M3,-106.20966072730134,64.02562237567359,0.10353206831077495,,501.2647439452764,15506
hh,wet_cost_seed,log,M4,-166.7169014509876,101.65335655606525,0.10739916314387142,,501.2647439452764,15506
hh,dry_cost_seed,log,M2,-57.88209637121395,61.6127291387883,0.35210776064751215,,419.4705121094472,15506
hh,dry_cost_seed,log,M3,-62.45649671096353,59.63796620530767,0.3001178726637719,,419.4705121094472,15506
hh,dry_cost_seed,log,M4,-117.01895253561622,92.03142286906771,0.20954935549341555,,419.4705121094472,15506
hh,wet_cost_fert,log,M2,76.56854547444969,145.09606050804376,0.6000826992078092,,1573.4194860417822,15506
hh,wet_cost_fert,log,M3,26.18760230959726,119.84917844973162,0.8279434599058126,,1573.4194860417822,15506
hh,wet_cost_fert,log,M4,-213.29701510247384,170.5385578270054,0.21697390800577132,,1573.4194860417822,15506
hh,dry_cost_fert,log,M2,145.35601502880368,100.47991540901393,0.15437111609198165,,996.2495840266223,15506
hh,dry_cost_fert,log,M3,158.4859971190475,119.97220734677995,0.1926299391679423,,996.2495840266223,15506
hh,dry_cost_fert,log,M4,-36.359736317953455,130.04807146240202,0.7809712829171195,,996.2495840266223,15506
hh,wet_cost_labour,log,M2,100.88546555195302,155.2418352764851,0.518817784294966,,1707.2348554877674,15506
hh,wet_cost_labour,log,M3,61.71299414797457,127.0946725724863,0.629438307510337,,1707.2348554877674,15506
hh,wet_cost_labour,log,M4,-100.41993541411935,159.25542974279819,0.5312589822797491,,1707.2348554877674,15506
hh,dry_cost_labour,log,M2,193.42711016260733,125.69266410473536,0.13026464186265965,,824.7865286251309,15506
hh,dry_cost_labour,log,M3,126.73785474786155,92.62424990362324,0.1774595748870006,,824.7865286251309,15506
hh,dry_cost_labour,log,M4,91.5490799466426,131.6873012676366,0.4902135018893343,,824.7865286251309,15506
hh,wet_cost_insect,log,M2,-14.882641908464258,38.77819133251067,0.7027951861883915,,199.78535773710482,15506
hh,wet_cost_insect,log,M3,-29.475374351955512,38.540943769268225,0.4480697841255149,,199.78535773710482,15506
hh,wet_cost_insect,log,M4,-79.67827156744006,60.33522834538074,0.1927722056463186,,199.78535773710482,15506
hh,dry_cost_insect,log,M2,7.186191884123563,24.54581745973371,0.7709368959930789,,159.09441055031738,15506
hh,dry_cost_insect,log,M3,6.854486891107558,26.27372312869188,0.795272589545081,,159.09441055031738,15506
hh,dry_cost_insect,log,M4,-21.99869893389089,34.06777570572208,0.5214646915356559,,159.09441055031738,15506
hh,input_intensity_per_sqm,log,M2,-0.5227437350381636,0.25706122567061895,0.04743227316264453,**,2.478957789733526,13310
hh,input_intensity_per_sqm,log,M3,-0.44904659627120247,0.2147484242272902,0.041732642175157174,**,2.478957789733526,13310
hh,input_intensity_per_sqm,log,M4,-0.8222833427565306,0.33359312702741134,0.01725640626600204,**,2.478957789733526,13310
hh,food_exp_total_7day,log,M2,-147.74850945544154,93.4445248077352,0.12028113255768591,,2224.8898280084286,17362
hh,food_exp_total_7day,log,M3,-150.84274422985192,93.31494902003553,0.1124091619220409,,2224.8898280084286,17362
hh,food_exp_total_7day,log,M4,-109.30028732221956,116.1990575812183,0.35150888332010677,,2224.8898280084286,17362
