dataset,outcome,label,group,scaling,lag,model,variant,beta,se,p,sig,mean_y,sd_y,n,n_unit
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,raw,3,M2,baseline,-0.00761344569388594,0.00363692921393647,0.03974291034889306,**,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,raw,3,M3,baseline,-0.00825870319152972,0.0055711693531716,0.1424800848830686,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,raw,3,M4,baseline,-0.00233579601251361,0.00634169600084773,0.7136835615862509,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,raw,3,M5,baseline,-0.00123248565100835,0.00383574653983106,0.7488769323131945,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,raw,5,M2,baseline,-0.01093567449980115,0.00528149863199339,0.04188848209039007,**,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,raw,5,M3,baseline,-0.01200352803619599,0.00815041025408234,0.14505887669035494,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,raw,5,M4,baseline,-0.00334153785767643,0.00921209018863601,0.7178376395325581,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_biogas,Cooking fuel: biogas,amenities_cooking,raw,5,M5,baseline,-0.00179624065475072,0.00555745833350708,0.7474458094062151,NA,0.01393885467174237,0.021698012921437988,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,lin,0,M2,baseline,3.237190527167865e-4,0.00246773529373104,0.8959884127872315,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,lin,0,M3,baseline,-1.833567726464119e-4,0.00252722537035786,0.9423578909302436,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,lin,0,M4,baseline,-0.00141663425117278,0.00229111427361275,0.5382651163054721,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,lin,1,M2,baseline,5.607886613984059e-4,0.00288350310435489,0.8463316338008884,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,lin,1,M3,baseline,-7.304035860814266e-5,0.00294728819952219,0.9802953768442264,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,lin,1,M4,baseline,-0.00201911473528329,0.0028431692795332,0.47983486314855506,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,lin,2,M2,baseline,8.004496531152778e-4,0.00410230079820938,0.8458320888827799,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,lin,2,M3,baseline,-7.867144244837567e-5,0.00420775102547798,0.9851333084943794,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,lin,2,M4,baseline,-0.00280458147310239,0.00403361731411559,0.4890438734828788,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,lin,3,M2,baseline,8.852206080188206e-4,0.00415142488609317,0.8317316295602484,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,lin,3,M3,baseline,1.895906670195508e-5,0.00426041426080737,0.9964613584949829,NA,0.00227371235609772,0.003891787394459012,150,75
census,amen_cooking_electric,Cooking fuel: electric,amenities_cooking,lin,3,M4,baseline,-0.00278594202227021,0.00410008047319757,0.49895076713698705,NA,0.00227371235609772,0.003891787394459012,150,75
