"dname","country","dist_mig_pop_2001"
"Jumla","Malaysia",1
"Jumla","Qatar",1
"Jumla","Saudi Arabia",1
"Jumla","South Korea",1
"Jumla","United States",4
"Kailali","Australia",12
"Kailali","Bahrain",2
"Kailali","Bangladesh",34
"Kailali","Bhutan",1
"Kailali","China",16
"Kailali","Germany",2
"Kailali","Hong Kong SAR China",7
"Kailali","Japan",9
"Kailali","Kuwait",5
"Kailali","Malaysia",1
"Kailali","Pakistan",4
"Kailali","Qatar",7
"Kailali","Russia",10
"Kailali","Saudi Arabia",47
"Kailali","Singapore",3
"Kailali","South Korea",2
"Kailali","Sri Lanka",3
"Kailali","United Arab Emirates",18
"Kailali","United Kingdom",17
"Kailali","United States",20
"Kanchanpur","Australia",9
"Kanchanpur","Bahrain",1
"Kanchanpur","Bangladesh",12
"Kanchanpur","Bhutan",1
"Kanchanpur","China",4
"Kanchanpur","Germany",6
"Kanchanpur","Hong Kong SAR China",4
"Kanchanpur","Japan",7
"Kanchanpur","Kuwait",5
"Kanchanpur","Malaysia",25
"Kanchanpur","Pakistan",5
"Kanchanpur","Qatar",33
"Kanchanpur","Russia",5
"Kanchanpur","Saudi Arabia",54
"Kanchanpur","Singapore",3
"Kanchanpur","South Korea",6
"Kanchanpur","United Arab Emirates",18
"Kanchanpur","United Kingdom",10
"Kanchanpur","United States",19
"Kapilbastu","Australia",9
"Kapilbastu","Bahrain",4
"Kapilbastu","Bangladesh",14
"Kapilbastu","China",9
"Kapilbastu","Germany",7
"Kapilbastu","Hong Kong SAR China",13
"Kapilbastu","Japan",11
"Kapilbastu","Kuwait",23
"Kapilbastu","Malaysia",40
"Kapilbastu","Maldives",3
"Kapilbastu","Pakistan",11
"Kapilbastu","Qatar",339
"Kapilbastu","Russia",10
"Kapilbastu","Saudi Arabia",657
"Kapilbastu","Singapore",5
"Kapilbastu","South Korea",34
"Kapilbastu","Sri Lanka",1
"Kapilbastu","United Arab Emirates",63
"Kapilbastu","United Kingdom",17
"Kapilbastu","United States",16
"Kaski","Australia",137
"Kaski","Bahrain",168
"Kaski","Bangladesh",27
"Kaski","Bhutan",3
"Kaski","China",75
"Kaski","France",26
"Kaski","Germany",225
"Kaski","Hong Kong SAR China",2790
"Kaski","Japan",663
"Kaski","Kuwait",317
"Kaski","Malaysia",530
"Kaski","Maldives",17
"Kaski","Pakistan",20
"Kaski","Qatar",1896
"Kaski","Russia",31
"Kaski","Saudi Arabia",4813
"Kaski","Singapore",276
"Kaski","South Korea",257
"Kaski","Sri Lanka",11
"Kaski","United Arab Emirates",1072
"Kaski","United Kingdom",1027
"Kaski","United States",423
"Kathmandu","Australia",949
"Kathmandu","Bahrain",89
"Kathmandu","Bangladesh",187
"Kathmandu","Bhutan",28
"Kathmandu","China",294
"Kathmandu","France",85
"Kathmandu","Germany",324
"Kathmandu","Hong Kong SAR China",959
"Kathmandu","Japan",910
"Kathmandu","Kuwait",211
"Kathmandu","Malaysia",208
"Kathmandu","Maldives",28
"Kathmandu","Pakistan",57
"Kathmandu","Qatar",502
"Kathmandu","Russia",135
"Kathmandu","Saudi Arabia",1306
"Kathmandu","Singapore",236
"Kathmandu","South Korea",278
"Kathmandu","Sri Lanka",36
"Kathmandu","United Arab Emirates",937
"Kathmandu","United Kingdom",1545
"Kathmandu","United States",4597
"Kavrepalanchok","Australia",12
"Kavrepalanchok","Bahrain",4
"Kavrepalanchok","Bangladesh",5
"Kavrepalanchok","Bhutan",25
"Kavrepalanchok","China",13
"Kavrepalanchok","France",14
"Kavrepalanchok","Germany",18
"Kavrepalanchok","Hong Kong SAR China",11
"Kavrepalanchok","Japan",32
"Kavrepalanchok","Kuwait",26
"Kavrepalanchok","Malaysia",19
"Kavrepalanchok","Maldives",3
"Kavrepalanchok","Pakistan",7
"Kavrepalanchok","Qatar",41
"Kavrepalanchok","Russia",6
"Kavrepalanchok","Saudi Arabia",299
"Kavrepalanchok","Singapore",11
"Kavrepalanchok","South Korea",15
"Kavrepalanchok","Sri Lanka",2
"Kavrepalanchok","United Arab Emirates",101
"Kavrepalanchok","United Kingdom",30
"Kavrepalanchok","United States",102
"Khotang","Australia",5
"Khotang","Bahrain",182
"Khotang","Bangladesh",5
"Khotang","Bhutan",16
"Khotang","China",8
"Khotang","France",2
"Khotang","Germany",8
"Khotang","Hong Kong SAR China",228
"Khotang","Japan",18
"Khotang","Kuwait",94
"Khotang","Malaysia",177
"Khotang","Maldives",3
"Khotang","Pakistan",2
"Khotang","Qatar",632
"Khotang","Russia",2
"Khotang","Saudi Arabia",2227
"Khotang","Singapore",116
"Khotang","South Korea",30
"Khotang","Sri Lanka",3
"Khotang","United Arab Emirates",271
"Khotang","United Kingdom",116
"Khotang","United States",25
"Lalitpur","Australia",221
"Lalitpur","Bahrain",33
"Lalitpur","Bangladesh",43
"Lalitpur","Bhutan",7
"Lalitpur","China",194
"Lalitpur","France",17
"Lalitpur","Germany",61
"Lalitpur","Hong Kong SAR China",363
"Lalitpur","Japan",245
"Lalitpur","Kuwait",37
"Lalitpur","Malaysia",46
"Lalitpur","Maldives",10
"Lalitpur","Pakistan",23
"Lalitpur","Qatar",121
"Lalitpur","Russia",28
"Lalitpur","Saudi Arabia",654
"Lalitpur","Singapore",86
"Lalitpur","South Korea",62
"Lalitpur","Sri Lanka",20
"Lalitpur","United Arab Emirates",197
"Lalitpur","United Kingdom",413
"Lalitpur","United States",926
"Lamjung","Australia",34
"Lamjung","Bahrain",31
"Lamjung","Bangladesh",9
"Lamjung","Bhutan",3
"Lamjung","China",10
"Lamjung","France",1
"Lamjung","Germany",7
"Lamjung","Hong Kong SAR China",257
"Lamjung","Japan",28
"Lamjung","Kuwait",85
"Lamjung","Malaysia",219
"Lamjung","Maldives",2
"Lamjung","Pakistan",3
"Lamjung","Qatar",632
"Lamjung","Russia",5
"Lamjung","Saudi Arabia",2129
"Lamjung","Singapore",64
"Lamjung","South Korea",68
"Lamjung","United Arab Emirates",285
"Lamjung","United Kingdom",136
"Lamjung","United States",56
"Mahottari","Australia",3
"Mahottari","Bahrain",5
"Mahottari","Bangladesh",19
"Mahottari","Bhutan",3
"Mahottari","China",9
"Mahottari","Germany",1
"Mahottari","Hong Kong SAR China",1
"Mahottari","Japan",6
"Mahottari","Kuwait",10
"Mahottari","Malaysia",35
"Mahottari","Maldives",2
"Mahottari","Pakistan",27
"Mahottari","Qatar",501
"Mahottari","Russia",28
"Mahottari","Saudi Arabia",1481
"Mahottari","Singapore",7
"Mahottari","South Korea",1
"Mahottari","Sri Lanka",1
"Mahottari","United Arab Emirates",53
"Mahottari","United Kingdom",4
"Mahottari","United States",20
"Makwanpur","Australia",19
"Makwanpur","Bahrain",9
"Makwanpur","Bangladesh",1
"Makwanpur","Bhutan",11
"Makwanpur","China",7
