hhid,year,member_id,wt_hh,vmun_code,lgname,district77,district_name,is_internal,is_international,dest_india,dest_gulf,dest_malaysia,dest_other_country,s11q02b_raw,s11q02d_raw,s11q02a_raw,migrant_male,migrant_female,migrant_third_gender,migrant_age,months_away,long_term_migrant,reason_work,reason_education,reason_family,reason_disaster,earning_primary_rs,earning_secondary_rs,earning_total_rs,has_secondary_job,remit_sent_flag,remit_amount_rs,remit_freq_per_year,remit_via_formal,remit_via_informal,remit_via_bank_ime,remit_via_friends,remit_via_hundi,remit_via_other,remit_use_consumption,remit_use_human_capital,remit_use_business_investment,remit_use_land_housing,remit_use_investment_any,remit_use_debt,mig_cost_any,mig_cost_rs,mig_cost_loan_flag,cost_to_monthly_earning_ratio
15,2017,34014,634.085205078125,70808,Janaki Gaunpalika,Kailali,Kailali,1,0,0,0,0,0,,,Parsa,1,0,0,20,24,0,1,0,0,0,16000,0,16000,,1,80000,2,1,0,1,0,0,0,0,0,0,1,1,0,1,1500,0,0.09375
15,2018,34014,634.085205078125,70808,Janaki Gaunpalika,Kailali,Kailali,1,0,0,0,0,0,,,Parsa,1,0,0,21,36,1,1,0,0,0,15000,0,15000,,1,60000,2,1,0,1,0,0,0,1,1,0,0,0,0,1,5000,0,0.3333333333333333
20,2016,28976,544.4632568359375,10408,Manebhanjyang Gaunpalika,Okhaldhunga,Okhaldhunga,0,1,0,0,1,0,Malayasia,,,1,0,0,22,14,0,1,0,0,0,40000,0,40000,,1,150000,3,1,0,1,0,0,0,1,0,0,0,0,0,1,155000,1,3.875
20,2017,28976,544.4632568359375,10408,Manebhanjyang Gaunpalika,Okhaldhunga,Okhaldhunga,0,1,0,0,1,0,Malayasia,,,1,0,0,23,27,1,1,0,0,0,998,0,998,,1,40000,1,1,0,1,0,0,0,1,1,0,0,0,0,1,50000,1,50.100200400801604
20,2018,28976,544.4632568359375,10408,Manebhanjyang Gaunpalika,Okhaldhunga,Okhaldhunga,0,1,0,0,1,0,Malayasia,,,1,0,0,24,39,1,1,0,0,0,25000,0,25000,,1,50000,2,1,0,1,0,0,0,1,0,0,0,0,0,1,80000,1,3.2
22,2016,2616,898.64581298828125,20118,Chhinnamasta Gaunpalika,Saptari,Saptari,0,1,0,1,0,0,Qatar,,,1,0,0,48,6,0,1,0,0,0,998,0,998,,1,200000,2,1,0,1,0,0,0,1,1,0,0,0,1,1,100000,1,100.20040080160321
22,2017,2616,898.64581298828125,20118,Chhinnamasta Gaunpalika,Saptari,Saptari,0,0,0,0,0,0,,,,0,0,0,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,,0,,
22,2018,2616,898.64581298828125,20118,Chhinnamasta Gaunpalika,Saptari,Saptari,0,1,0,1,0,0,Qatar,,,1,0,0,52,5,0,1,0,0,0,0,0,0,,1,110000,3,1,0,1,0,0,0,1,1,0,0,0,1,1,150000,1,
23,2016,28978,634.085205078125,70810,Tikapur Municipality,Kailali,Kailali,0,1,0,0,1,0,Malayasia,,,1,0,0,22,29,1,1,0,0,0,25000,0,25000,,1,200000,4,1,0,1,0,0,0,0,0,0,1,1,0,1,180000,0,7.2
23,2017,28978,634.085205078125,70810,Tikapur Municipality,Kailali,Kailali,0,0,0,0,0,0,,,,0,0,0,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,,0,,
24,2016,2623,547.52593994140625,70704,Sanphebagar Municipality,Achham,Achham,0,1,1,0,0,0,India,,,1,0,0,43,3,0,1,0,0,0,8000,0,8000,,0,0,,,,,,,,,,,,,,1,4000,1,0.5
24,2017,2623,547.52593994140625,70704,Sanphebagar Municipality,Achham,Achham,0,1,1,0,0,0,India,,,1,0,0,44,16,0,1,0,0,0,12000,0,12000,,0,0,,,,,,,,,,,,,,1,5000,1,0.4166666666666667
24,2018,2623,547.52593994140625,70704,Sanphebagar Municipality,Achham,Achham,0,1,1,0,0,0,India,,,1,0,0,45,28,1,1,0,0,0,16000,0,16000,,1,80000,3,1,0,1,0,0,0,1,1,0,0,0,1,1,5000,1,0.3125
25,2017,2629,754.5958251953125,40606,Sundarbazar Municipality,Lamjung,Lamjung,1,0,0,0,0,0,,,Kathmandu,0,1,0,17,11,0,0,1,0,0,0,0,0,,0,0,,,,,,,,,,,,,,1,50000,0,
